idkec;nmkec;MNDWI
6301010;PANYIPATAN;0.102101766
6301020;TAKISUNG;0.072752315
6301030;KURAU;0.105592343
6301031;BUMI MAKMUR;0.121941944
6301040;BATI-BATI;0.035156194
6301050;TAMBANG ULANG;0.03391356
6301060;PELAIHARI;0.057006355
6301061;BAJUIN;0.061883085
6301070;BATU AMPAR;0.094818123
6301080;JORONG;0.102348917
6301090;KINTAP;0.097447754
6302010;PULAU SEMBILAN;0.146314498
6302020;PULAU LAUT BARAT;0.102520679
6302021;PULAU LAUT TANJUNG SELAYAR;0.117372741
6302030;PULAU LAUT SELATAN;0.129111453
6302031;PULAU LAUT KEPULAUAN;0.116326781
6302040;PULAU LAUT TIMUR;0.105691502
6302050;PULAU SEBUKU;0.107183411
6302060;PULAU LAUT UTARA;0.133855762
6302061;PULAU LAUT TENGAH;0.090221539
6302062;PULAU LAUT SIGAM;0.129117737
6302120;KELUMPANG SELATAN;0.138041741
6302121;KELUMPANG HILIR;0.118920372
6302130;KELUMPANG HULU;0.079507513
6302140;HAMPANG;0.103433641
6302150;SUNGAI DURIAN;0.102667916
6302160;KELUMPANG TENGAH;0.099867675
6302161;KELUMPANG BARAT;0.087239838
6302170;KELUMPANG UTARA;0.095220229
6302180;PAMUKAN SELATAN;0.129934318
6302190;SAMPANAHAN;0.121892119
6302200;PAMUKAN UTARA;0.098324206
6302201;PAMUKAN BARAT;0.092692426
6303010;ALUH - ALUH;0.122448795
6303011;BERUNTUNG BARU;0.10171842
6303020;GAMBUT;0.072371076
6303030;KERTAK HANYAR;0.083231391
6303031;TATAH MAKMUR;0.095979726
6303040;SUNGAI TABUK;0.093611808
6303050;MARTAPURA;0.022074442
6303051;MARTAPURA TIMUR;0.101729359
6303052;MARTAPURA BARAT;0.076015297
6303060;ASTAMBUL;0.06539681
6303070;KARANG INTAN;0.018535607
6303080;ARANIO;0.092764128
6303090;SUNGAI PINANG;0.069827973
6303091;PARAMASAN;0.086950135
6303100;PENGARON;0.026349097
6303101;SAMBUNG MAKMUR;0.01709223
6303110;MATARAMAN;0.018794146
6303120;SIMPANG EMPAT;0.020417008
6303121;TELAGA BAUNTUNG;0.041707955
6303122;CINTAPURI DARUSSALAM;0.0547415
6304010;TABUNGANEN;0.152470516
6304020;TAMBAN;0.068888869
6304030;MEKAR SARI;0.041670216
6304040;ANJIR PASAR;0.043508396
6304050;ANJIR MUARA;0.068138794
6304060;ALALAK;0.056939992
6304070;MANDASTANA;0.054011575
6304071;JEJANGKIT;0.062316343
6304080;BELAWANG;0.048477257
6304090;WANARAYA;0.010595213
6304100;BARAMBAI;0.034906266
6304110;RANTAU BADAUH;0.050624834
6304120;CERBON;0.060522038
6304130;BAKUMPAI;0.057682637
6304140;MARABAHAN;0.032387955
6304150;TABUKAN;0.044928732
6304160;KURIPAN;0.058371985
6305010;BINUANG;0.034219761
6305011;HATUNGUN;0.026064936
6305020;TAPIN SELATAN;0.03799114
6305021;SALAM BABARIS;0.018288073
6305030;TAPIN TENGAH;0.038984542
6305040;BUNGUR;0.036947068
6305050;PIANI;0.068719917
6305060;LOKPAIKAT;0.032746929
6305070;TAPIN UTARA;0.052682854
6305080;BAKARANGAN;0.0472164
6305090;CANDI LARAS SELATAN;0.075986225
6305100;CANDI LARAS UTARA;0.061746603
6306010;PADANG BATUNG;0.038783094
6306020;LOKSADO;0.09495856
6306030;TELAGA LANGSAT;0.064039165
6306040;ANGKINANG;0.063722328
6306050;KANDANGAN;0.029535972
6306060;SUNGAI RAYA;0.038942953
6306070;SIMPUR;0.062195038
