idkec;nmkec;MNDWI
1601052;LENGKITI;-0.045463773
1601070;SOSOH BUAY RAYAP;-0.054763109
1601080;PENGANDONAN;-0.042367181
1601081;SEMIDANG AJI;-0.04771585
1601082;ULU OGAN;-0.014501353
1601083;MUARA JAYA;-0.015067502
1601090;PENINJAUAN;-0.027099093
1601091;LUBUK BATANG;-0.032728842
1601092;SINAR PENINJAUAN;-0.035352694
1601093;KEDATON PENINJAUAN RAYA;-0.010685576
1601130;BATU RAJA TIMUR;-0.049850166
1601131;LUBUK RAJA;-0.042441776
1601140;BATU RAJA BARAT;-0.046102562
1602010;LEMPUING;0.022158919
1602011;LEMPUING JAYA;0.026102225
1602020;MESUJI;0.032959647
1602021;SUNGAI MENANG;0.130514435
1602022;MESUJI MAKMUR;-0.013003817
1602023;MESUJI RAYA;0.032093337
1602030;TULUNG SELAPAN;0.117726886
1602031;CENGAL;0.131207655
1602040;PEDAMARAN;0.0615084
1602041;PEDAMARAN TIMUR;0.051985607
1602050;TANJUNG LUBUK;0.025926543
1602051;TELUK GELAM;0.022354282
1602060;KOTA KAYU AGUNG;0.053567871
1602120;SIRAH PULAU PADANG;0.090934773
1602121;JEJAWI;0.076177701
1602130;PAMPANGAN;0.083175031
1602131;PANGKALAN LAPAM;0.07828252
1602140;AIR SUGIHAN;0.090655745
1603010;SEMENDO DARAT LAUT;-0.031525582
1603011;SEMENDO DARAT ULU;0.029211454
1603012;SEMENDO DARAT TENGAH;-0.004073277
1603020;TANJUNG AGUNG;-0.040792553
1603021;PANANG ENIM;-0.034052628
1603031;RAMBANG;-0.009467088
1603032;LUBAI;-0.015382566
1603033;LUBAI ULU;-0.029719715
1603040;LAWANG KIDUL;-0.038067061
1603050;MUARA ENIM;-0.013564741
1603051;UJAN MAS;-0.020738307
1603060;GUNUNG MEGANG;-0.006213752
1603061;BENAKAT;-0.01755531
1603062;BELIMBING;-0.001947605
1603070;RAMBANG NIRU;-0.009996186
1603071;EMPAT PETULAI DANGKU;-0.007741887
1603090;GELUMBANG;0.003075882
1603091;LEMBAK;-0.017126818
1603092;SUNGAI ROTAN;-0.02158177
1603093;MUARA BELIDA;0.080500847
1603094;KELEKAR;0.001477195
1603095;BELIDA DARAT;-0.008979081
1604011;TANJUNG SAKTI PUMI;-0.00439612
1604012;TANJUNG SAKTI PUMU;4.16E-04
1604040;KOTA AGUNG;-0.019566922
1604041;MULAK ULU;-0.065238717
1604042;TANJUNG TEBAT;-0.089902182
1604043;MULAK SEBINGKAI;-0.088797323
1604050;PULAU PINANG;-0.079406091
1604051;PAGAR GUNUNG;-0.035838965
1604052;GUMAY ULU;-0.050386035
1604060;JARAI;0.017242103
1604061;PAJAR BULAN;-0.055307679
1604062;MUARA PAYANG;-0.02738328
1604063;SUKAMERINDU;-0.02143598
1604111;KIKIM BARAT;-0.041689006
1604112;KIKIM TIMUR;-0.047344792
1604113;KIKIM SELATAN;-0.008777488
1604114;KIKIM TENGAH;-0.048848955
1604120;LAHAT;-0.062311639
1604121;GUMAY TALANG;-0.048341266
1604122;PSEKSU;0.017506947
1604123;LAHAT SELATAN;-0.077970518
1604131;MERAPI BARAT;-0.056496124
1604132;MERAPI TIMUR;-0.03944632
1604133;MERAPI SELATAN;-0.033410857
1605030;SUKU TENGAH LAKITAN ULU;0.013683452
1605031;SELANGIT;0.018087618
1605032;SUMBER HARTA;0.004039149
1605040;TUGUMULYO;0.013447655
1605041;PURWODADI;0.007056549
1605050;MUARA BELITI;-0.029679748
1605051;TIANG PUMPUNG KEPUNGUT;-0.031198403
1605060;JAYALOKA;-0.019750216
1605061;SUKA KARYA;-0.02460057
1605070;MUARA KELINGI;-0.002161467
1605071;BULANG TENGAH SUKU ULU;-0.011093112
1605072;TUAH NEGERI;-0.01758947
1605080;MUARA LAKITAN;-0.013751371
1605090;MEGANG SAKTI;-0.002538289
1606010;SANGA DESA;0.01691348
1606020;BABAT TOMAN;0.008799462
1606021;BATANGHARI LEKO;0.023404982
1606022;PLAKAT TINGGI;-0.00462906
1606023;LAWANG WETAN;0.012415992
1606030;SUNGAI KERUH;-0.015347704
1606031;JIRAK JAYA;-0.037208438
1606040;SEKAYU;0.004542336
1606041;LAIS;-0.001607716
1606090;SUNGAI LILIN;-7.01E-04
1606091;KELUANG;-0.004381267
1606092;BABAT SUPAT;0.005674109
1606100;BAYUNG LENCIR;0.034396114
1606101;LALAN;0.032973565
1606102;TUNGKAL JAYA;0.003675561
1607010;RANTAU BAYUR;0.041466038
1607020;BETUNG;-0.020781026
1607021;SUAK TAPEH;-0.01831332
1607030;PULAU RIMAU;4.06E-04
1607031;TUNGKAL ILIR;0.011900687
1607032;SELAT PENUGUAN;0.030586846
1607040;BANYUASIN III;-0.020160037
1607041;SEMBAWA;-0.015381188
1607050;TALANG KELAPA;0.005941625
1607051;TANJUNG LAGO;0.023165358
1607060;BANYUASIN I;0.053156895
1607061;AIR KUMBANG;0.020528712
1607070;RAMBUTAN;0.053044508
1607080;MUARA PADANG;0.057518217
1607081;MUARA SUGIHAN;0.097670888
1607090;MAKARTI JAYA;0.09454299
1607091;AIR SALEK;0.035378035
1607100;BANYUASIN II;0.129977629
1607101;KARANG AGUNG ILIR;0.067354459
1607110;MUARA TELANG;0.025597964
1607111;SUMBER MARGA TELANG;0.053107223
1608010;MEKAKAU ILIR;-0.051383322
1608020;BANDING AGUNG;-0.047440085
1608021;WARKUK RANAU SELATAN;-0.023592741
1608022;BUAY PEMATANG RIBU RANAU TENGAH;-0.051689867
1608030;BUAY PEMACA;-0.081208918
1608040;SIMPANG;-0.075032898
1608041;BUANA PEMACA;-0.085688728
1608050;MUARADUA;-0.084374184
1608051;BUAY RAWAN;-0.09307583
1608060;BUAY SANDANG AJI;-0.08992259
1608061;TIGA DIHAJI;-0.09185485
1608070;BUAY RUNJUNG;-0.087105896
1608071;RUNJUNG AGUNG;-0.07198299
1608080;KISAM TINGGI;-0.029558865
1608090;MUARADUA KISAM;0.002889192
1608091;KISAM ILIR;-0.036414002
1608100;PULAU BERINGIN;-0.033200173
1608101;SINDANG DANAU;-0.008113611
1608102;SUNGAI ARE;-0.084739041
1609010;MARTAPURA;-0.045250382
1609011;BUNGA MAYANG;-0.056030171
1609012;JAYA PURA;-0.080075013
1609020;BUAY PEMUKA PELIUNG;-0.047128446
1609030;BUAY MADANG;-0.00705018
1609031;BUAY MADANG TIMUR;-0.019725379
1609032;BUAY PEMUKA BANGSA RAJA;-0.050440567
1609040;MADANG SUKU II;-0.017150778
1609041;MADANG SUKU III;-0.037882655
1609050;MADANG SUKU I;0.013185543
1609051;BELITANG MADANG RAYA;-0.011072553
1609060;BELITANG;0.044033198
1609061;BELITANG JAYA;-0.030377253
1609070;BELITANG III;-0.013478
1609080;BELITANG II;0.009954972
1609081;BELITANG MULYA;0.032096972
1609090;SEMENDAWAI SUKU III;0.012287312
1609091;SEMENDAWAI TIMUR;-0.001536206
1609100;CEMPAKA;0.010382224
1609101;SEMENDAWAI BARAT;0.010576219
1610010;MUARA KUANG;0.016011723
1610011;RAMBANG KUANG;9.95E-05
1610012;LUBUK KELIAT;0.011234846
1610020;TANJUNG BATU;0.012515689
1610021;PAYARAMAN;2.41E-04
1610030;RANTAU ALAI;0.022940493
1610031;KANDIS;0.054254181
1610040;TANJUNG RAJA;0.035753734
1610041;RANTAU PANJANG;0.074279869
1610042;SUNGAI PINANG;0.076517876
1610050;PEMULUTAN;0.106204096
1610051;PEMULUTAN SELATAN;0.116098973
1610052;PEMULUTAN BARAT;0.064117622
1610060;INDRALAYA;0.051680703
1610061;INDRALAYA UTARA;0.028934968
1610062;INDRALAYA SELATAN;0.02761606
1611010;MUARA PINANG;-0.051354273
1611020;LINTANG KANAN;-0.039131123
1611030;PENDOPO;-0.06744007
1611031;PENDOPO BARAT;-0.077940138
1611040;PASEMAH AIR KERUH;-0.072505441
1611050;ULU MUSI;-0.099385411
1611051;SIKAP DALAM;-0.096050383
1611060;TALANG PADANG;-0.053054969
1611070;TEBING TINGGI;-0.03896757
1611071;SALING;-0.02199539
1612010;TALANG UBI;-0.02336845
1612020;TANAH ABANG;-0.02477488
1612030;ABAB;-0.046255624
1612040;PENUKAL;-0.040149456
1612050;PENUKAL UTARA;-0.021414038
1613010;ULU RAWAS;1.44E-04
1613020;KARANG JAYA;0.002058083
1613030;RAWAS ULU;-0.027138022
1613040;RUPIT;-0.021440265
1613050;KARANG DAPO;-0.008820385
1613060;RAWAS ILIR;0.002575689
1613070;NIBUNG;-0.013292693
1671010;ILIR BARAT II;0.038876493
1671011;GANDUS;0.030581275
1671020;SEBERANG ULU I;0.035978261
1671021;KERTAPATI;0.055844045
1671022;JAKABARING;0.035053934
1671030;SEBERANG ULU II;0.021358049
1671031;PLAJU;0.062019458
1671040;ILIR BARAT I;-0.001709298
1671041;BUKIT KECIL;0.040564383
1671050;ILIR TIMUR I;0.032030844
1671051;KEMUNING;0.024728052
1671060;ILIR TIMUR II;0.067651908
1671061;KALIDONI;0.068616214
1671062;ILIR TIMUR TIGA;0.029890979
1671070;SAKO;0.008898027
1671071;SEMATANG BORANG;0.016036314
1671080;SUKARAMI;0.007697152
1671081;ALANG ALANG LEBAR;-0.001878125
1672010;RAMBANG KAPAK TENGAH;-0.016018894
1672020;PRABUMULIH TIMUR;-0.010540033
1672021;PRABUMULIH SELATAN;-0.017177426
1672030;PRABUMULIH BARAT;-0.010673628
1672031;PRABUMULIH UTARA;-0.002709538
1672040;CAMBAI;-0.015280736
1673010;DEMPO SELATAN;-0.02354489
1673011;DEMPO TENGAH;-0.011395513
1673020;DEMPO UTARA;-0.029661716
