idkec;nmkec;NDWI
1601052;LENGKITI;-0.275277715
1601070;SOSOH BUAY RAYAP;-0.276792448
1601080;PENGANDONAN;-0.285117255
1601081;SEMIDANG AJI;-0.291251939
1601082;ULU OGAN;-0.245655307
1601083;MUARA JAYA;-0.255507855
1601090;PENINJAUAN;-0.252172155
1601091;LUBUK BATANG;-0.26668369
1601092;SINAR PENINJAUAN;-0.240810985
1601093;KEDATON PENINJAUAN RAYA;-0.249185946
1601130;BATU RAJA TIMUR;-0.24959171
1601131;LUBUK RAJA;-0.239016693
1601140;BATU RAJA BARAT;-0.281893633
1602010;LEMPUING;-0.218491959
1602011;LEMPUING JAYA;-0.226992195
1602020;MESUJI;-0.237085249
1602021;SUNGAI MENANG;-0.162868348
1602022;MESUJI MAKMUR;-0.226351697
1602023;MESUJI RAYA;-0.242623461
1602030;TULUNG SELAPAN;-0.191958018
1602031;CENGAL;-0.17076415
1602040;PEDAMARAN;-0.20959278
1602041;PEDAMARAN TIMUR;-0.215915556
1602050;TANJUNG LUBUK;-0.230269713
1602051;TELUK GELAM;-0.227245153
1602060;KOTA KAYU AGUNG;-0.217605393
1602120;SIRAH PULAU PADANG;-0.207747346
1602121;JEJAWI;-0.180110352
1602130;PAMPANGAN;-0.182196594
1602131;PANGKALAN LAPAM;-0.203011081
1602140;AIR SUGIHAN;-0.194224675
1603010;SEMENDO DARAT LAUT;-0.261287494
1603011;SEMENDO DARAT ULU;-0.199315728
1603012;SEMENDO DARAT TENGAH;-0.225833151
1603020;TANJUNG AGUNG;-0.27404059
1603021;PANANG ENIM;-0.273659533
1603031;RAMBANG;-0.250915226
1603032;LUBAI;-0.255269617
1603033;LUBAI ULU;-0.259916878
1603040;LAWANG KIDUL;-0.229761033
1603050;MUARA ENIM;-0.230512617
1603051;UJAN MAS;-0.259083444
1603060;GUNUNG MEGANG;-0.248163278
1603061;BENAKAT;-0.258760342
1603062;BELIMBING;-0.237057046
1603070;RAMBANG NIRU;-0.250655752
1603071;EMPAT PETULAI DANGKU;-0.229909783
1603090;GELUMBANG;-0.233228878
1603091;LEMBAK;-0.246194669
1603092;SUNGAI ROTAN;-0.233311261
1603093;MUARA BELIDA;-0.177427517
1603094;KELEKAR;-0.235425992
1603095;BELIDA DARAT;-0.247526595
1604011;TANJUNG SAKTI PUMI;-0.269998556
