idkec;nmkec;BUI
6301010;PANYIPATAN;1554.156371
6301020;TAKISUNG;1623.164365
6301030;KURAU;1554.143061
6301031;BUMI MAKMUR;1606.006102
6301040;BATI-BATI;1713.19202
6301050;TAMBANG ULANG;1610.952647
6301060;PELAIHARI;1542.694096
6301061;BAJUIN;1547.397235
6301070;BATU AMPAR;1643.376974
6301080;JORONG;1596.002381
6301090;KINTAP;1553.771375
6302010;PULAU SEMBILAN;1570.534362
6302020;PULAU LAUT BARAT;1588.859648
6302021;PULAU LAUT TANJUNG SELAYAR;1622.401548
6302030;PULAU LAUT SELATAN;1581.338301
6302031;PULAU LAUT KEPULAUAN;1555.220687
6302040;PULAU LAUT TIMUR;1639.789212
6302050;PULAU SEBUKU;1545.371188
6302060;PULAU LAUT UTARA;1677.671931
6302061;PULAU LAUT TENGAH;1778.846606
6302062;PULAU LAUT SIGAM;1558.407978
6302120;KELUMPANG SELATAN;1424.286806
6302121;KELUMPANG HILIR;1441.740561
6302130;KELUMPANG HULU;1349.7702
6302140;HAMPANG;1543.637743
6302150;SUNGAI DURIAN;1495.086368
6302160;KELUMPANG TENGAH;1479.051025
6302161;KELUMPANG BARAT;1429.846712
6302170;KELUMPANG UTARA;1556.922692
6302180;PAMUKAN SELATAN;1549.925665
6302190;SAMPANAHAN;1559.663445
6302200;PAMUKAN UTARA;1549.387448
6302201;PAMUKAN BARAT;1467.912403
6303010;ALUH - ALUH;1630.691637
6303011;BERUNTUNG BARU;1644.19278
6303020;GAMBUT;1675.643008
6303030;KERTAK HANYAR;1693.064065
6303031;TATAH MAKMUR;1610.793277
6303040;SUNGAI TABUK;1518.184919
6303050;MARTAPURA;1657.74
6303051;MARTAPURA TIMUR;1493.259111
6303052;MARTAPURA BARAT;1531.62865
6303060;ASTAMBUL;1602.266579
6303070;KARANG INTAN;1545.266695
6303080;ARANIO;1554.142333
6303090;SUNGAI PINANG;1599.703914
6303091;PARAMASAN;1653.352901
6303100;PENGARON;1652.121221
6303101;SAMBUNG MAKMUR;1658.316956
6303110;MATARAMAN;1706.247873
6303120;SIMPANG EMPAT;1604.643873
6303121;TELAGA BAUNTUNG;1712.197301
6303122;CINTAPURI DARUSSALAM;1610.81692
6304010;TABUNGANEN;1513.183396
6304020;TAMBAN;1572.550548
6304030;MEKAR SARI;1561.021407
6304040;ANJIR PASAR;1548.288935
6304050;ANJIR MUARA;1493.215549
6304060;ALALAK;1598.279514
6304070;MANDASTANA;1512.62513
6304071;JEJANGKIT;1542.294401
6304080;BELAWANG;1516.059411
6304090;WANARAYA;1458.71509
6304100;BARAMBAI;1380.434853
6304110;RANTAU BADAUH;1509.378137
6304120;CERBON;1497.455657
6304130;BAKUMPAI;1410.337678
6304140;MARABAHAN;1376.132407
6304150;TABUKAN;1403.368344
6304160;KURIPAN;1417.849332
6305010;BINUANG;1655.936178
6305011;HATUNGUN;1704.464706
6305020;TAPIN SELATAN;1669.589275
6305021;SALAM BABARIS;1740.656749
6305030;TAPIN TENGAH;1527.788237
6305040;BUNGUR;1708.604411
6305050;PIANI;1742.596801
6305060;LOKPAIKAT;1684.675296
6305070;TAPIN UTARA;1593.749446
6305080;BAKARANGAN;1458.539582
6305090;CANDI LARAS SELATAN;1417.417419
6305100;CANDI LARAS UTARA;1375.620645
6306010;PADANG BATUNG;1597.786629
6306020;LOKSADO;1747.529802
6306030;TELAGA LANGSAT;1503.818714
6306040;ANGKINANG;1551.988499
6306050;KANDANGAN;1454.195658
6306060;SUNGAI RAYA;1575.592417
6306070;SIMPUR;1440.896771
6306080;KALUMPANG;1499.264079
6306090;DAHA SELATAN;1435.814442
6306091;DAHA BARAT;1464.163749
6306100;DAHA UTARA;1477.379438
6307010;HARUYAN;1443.974515
6307020;BATU BENAWA;1353.462796
6307030;HANTAKAN;1577.368314
6307040;BATANG ALAI SELATAN;1371.603715
6307041;BATANG ALAI TIMUR;1667.085227
6307050;BARABAI;1507.245949
6307060;LABUAN AMAS SELATAN;1508.41519
6307070;LABUAN AMAS UTARA;1327.657779
6307080;PANDAWAN;1380.54949
6307090;BATANG ALAI UTARA;1410.877077
6307091;LIMPASU;1495.393717
6308010;DANAU PANGGANG;1302.329388
6308011;PAMINGGIR;1286.368368
6308020;BABIRIK;1343.825553
6308030;SUNGAI PANDAN;1242.644499
6308031;SUNGAI TABUKAN;1209.093668
6308040;AMUNTAI SELATAN;1347.890466
6308050;AMUNTAI TENGAH;1341.37606
6308060;BANJANG;1320.003165
6308070;AMUNTAI UTARA;1336.063853
6308071;HAUR GADING;1352.375486
6309010;BANUA LAWAS;1328.439864
6309020;PUGAAN;1387.403655
6309030;KELUA;1434.406632
6309040;MUARA HARUS;1422.04324
6309050;TANTA;1533.347165
6309060;TANJUNG;1482.611021
6309070;MURUNG PUDAK;1611.360328
6309080;HARUAI;1468.043812
6309081;BINTANG ARA;1377.336481
6309090;UPAU;1565.788483
6309100;MUARA UYA;1409.93998
6309110;JARO;1541.775312
6310010;KUSAN HILIR;1383.199273
6310020;SUNGAI LOBAN;1534.203481
6310030;SATUI;1519.899991
6310031;ANGSANA;1502.038963
6310040;KUSAN HULU;1595.270998
6310041;KURANJI;1526.728551
6310050;BATU LICIN;1439.088538
6310051;KARANG BINTANG;1493.000362
6310052;SIMPANG EMPAT;1517.516911
6310053;MANTEWE;1572.739204
6311010;LAMPIHONG;1414.441983
6311020;BATU MANDI;1495.108259
6311030;AWAYAN;1435.012388
6311031;TEBING TINGGI;1499.499843
6311040;PARINGIN;1748.684745
6311041;PARINGIN SELATAN;1542.745976
6311050;JUAI;1613.368485
6311060;HALONG;1564.392776
6371010;BANJARMASIN SELATAN;1770.243424
6371020;BANJARMASIN TIMUR;1946.174662
6371030;BANJARMASIN BARAT;2143.799357
6371031;BANJARMASIN TENGAH;2321.668681
