idkec;nmkec;BUI
1601052;LENGKITI;1570.308996
1601070;SOSOH BUAY RAYAP;1524.516978
1601080;PENGANDONAN;1447.45127
1601081;SEMIDANG AJI;1399.508836
1601082;ULU OGAN;1862.606019
1601083;MUARA JAYA;1757.942565
1601090;PENINJAUAN;1644.688954
1601091;LUBUK BATANG;1543.119658
1601092;SINAR PENINJAUAN;1665.883325
1601093;KEDATON PENINJAUAN RAYA;1529.510851
1601130;BATU RAJA TIMUR;1657.287581
1601131;LUBUK RAJA;1724.842694
1601140;BATU RAJA BARAT;1490.235436
1602010;LEMPUING;1654.279424
1602011;LEMPUING JAYA;1613.7115
1602020;MESUJI;1532.857285
1602021;SUNGAI MENANG;1634.989236
1602022;MESUJI MAKMUR;1713.494405
1602023;MESUJI RAYA;1522.606529
1602030;TULUNG SELAPAN;1497.897765
1602031;CENGAL;1627.949116
1602040;PEDAMARAN;1585.000157
1602041;PEDAMARAN TIMUR;1562.965674
1602050;TANJUNG LUBUK;1525.949028
1602051;TELUK GELAM;1597.212523
1602060;KOTA KAYU AGUNG;1479.304321
1602120;SIRAH PULAU PADANG;1355.246928
1602121;JEJAWI;1445.055912
1602130;PAMPANGAN;1508.18093
1602131;PANGKALAN LAPAM;1520.638374
1602140;AIR SUGIHAN;1533.336728
1603010;SEMENDO DARAT LAUT;1751.508771
1603011;SEMENDO DARAT ULU;2198.397427
1603012;SEMENDO DARAT TENGAH;2083.119989
1603020;TANJUNG AGUNG;1574.550507
1603021;PANANG ENIM;1658.987007
1603031;RAMBANG;1630.087338
1603032;LUBAI;1590.551399
1603033;LUBAI ULU;1649.871732
1603040;LAWANG KIDUL;1738.882043
1603050;MUARA ENIM;1775.680139
1603051;UJAN MAS;1668.251722
1603060;GUNUNG MEGANG;1640.465266
1603061;BENAKAT;1658.320577
1603062;BELIMBING;1665.640353
1603070;RAMBANG NIRU;1657.316432
1603071;EMPAT PETULAI DANGKU;1615.931766
1603090;GELUMBANG;1585.674872
1603091;LEMBAK;1631.987973
1603092;SUNGAI ROTAN;1584.491138
1603093;MUARA BELIDA;1495.958384
1603094;KELEKAR;1616.302139
1603095;BELIDA DARAT;1610.805603
1604011;TANJUNG SAKTI PUMI;1533.328968
1604012;TANJUNG SAKTI PUMU;1628.150353
1604040;KOTA AGUNG;1982.88465
1604041;MULAK ULU;1765.9508
1604042;TANJUNG TEBAT;1339.558925
1604043;MULAK SEBINGKAI;1485.649266
1604050;PULAU PINANG;1422.040285
1604051;PAGAR GUNUNG;1762.946497
1604052;GUMAY ULU;1664.255549
1604060;JARAI;1809.715783
1604061;PAJAR BULAN;1601.0892
1604062;MUARA PAYANG;1447.862506
1604063;SUKAMERINDU;1449.547035
1604111;KIKIM BARAT;1316.142549
1604112;KIKIM TIMUR;1495.8474
1604113;KIKIM SELATAN;1613.629139
1604114;KIKIM TENGAH;1355.686401
1604120;LAHAT;1574.440444
1604121;GUMAY TALANG;1484.13621
1604122;PSEKSU;1969.89383
1604123;LAHAT SELATAN;1486.373999
1604131;MERAPI BARAT;1678.45294
1604132;MERAPI TIMUR;1715.334246
1604133;MERAPI SELATAN;1856.354216
1605030;SUKU TENGAH LAKITAN ULU;1793.904832
1605031;SELANGIT;1891.64089
1605032;SUMBER HARTA;1519.576615
1605040;TUGUMULYO;1471.243541
1605041;PURWODADI;1521.021133
1605050;MUARA BELITI;1379.306948
1605051;TIANG PUMPUNG KEPUNGUT;1369.109038
1605060;JAYALOKA;1547.617441
1605061;SUKA KARYA;1615.025146
1605070;MUARA KELINGI;1625.327023
1605071;BULANG TENGAH SUKU ULU;1536.770946
1605072;TUAH NEGERI;1555.403557
1605080;MUARA LAKITAN;1655.512147
1605090;MEGANG SAKTI;1653.910744
1606010;SANGA DESA;1632.417068
1606020;BABAT TOMAN;1723.645379
1606021;BATANGHARI LEKO;1613.912792
1606022;PLAKAT TINGGI;1767.306567
1606023;LAWANG WETAN;1650.839524
1606030;SUNGAI KERUH;1652.455162
1606031;JIRAK JAYA;1651.226264
1606040;SEKAYU;1568.329492
1606041;LAIS;1474.424423
1606090;SUNGAI LILIN;1552.121053
1606091;KELUANG;1603.61482
1606092;BABAT SUPAT;1576.900969
1606100;BAYUNG LENCIR;1605.781621
1606101;LALAN;1559.322785
1606102;TUNGKAL JAYA;1596.687361
1607010;RANTAU BAYUR;1492.799546
1607020;BETUNG;1567.626615
1607021;SUAK TAPEH;1511.897537
1607030;PULAU RIMAU;1498.959885
1607031;TUNGKAL ILIR;1545.683941
1607032;SELAT PENUGUAN;1489.557675
1607040;BANYUASIN III;1508.265575
1607041;SEMBAWA;1609.038787
1607050;TALANG KELAPA;1574.439513
1607051;TANJUNG LAGO;1507.092784
1607060;BANYUASIN I;1538.140631
1607061;AIR KUMBANG;1536.506047
1607070;RAMBUTAN;1544.465957
1607080;MUARA PADANG;1630.326585
1607081;MUARA SUGIHAN;1569.042194
1607090;MAKARTI JAYA;1614.931013
1607091;AIR SALEK;1610.091326
1607100;BANYUASIN II;1481.009259
1607101;KARANG AGUNG ILIR;1593.566233
1607110;MUARA TELANG;1547.855486
1607111;SUMBER MARGA TELANG;1553.736212
1608010;MEKAKAU ILIR;1665.77072
1608020;BANDING AGUNG;1599.943571
1608021;WARKUK RANAU SELATAN;1912.243189
1608022;BUAY PEMATANG RIBU RANAU TENGAH;1528.391986
1608030;BUAY PEMACA;1507.215306
1608040;SIMPANG;1467.743033
1608041;BUANA PEMACA;1458.62484
1608050;MUARADUA;1346.137783
1608051;BUAY RAWAN;1270.956797
1608060;BUAY SANDANG AJI;1300.494575
1608061;TIGA DIHAJI;1341.437004
1608070;BUAY RUNJUNG;1436.20784
1608071;RUNJUNG AGUNG;1506.750704
1608080;KISAM TINGGI;1896.890406
1608090;MUARADUA KISAM;2174.018959
1608091;KISAM ILIR;2025.085574
1608100;PULAU BERINGIN;1886.166056
1608101;SINDANG DANAU;1936.032653
1608102;SUNGAI ARE;1419.351802
1609010;MARTAPURA;1627.51425
1609011;BUNGA MAYANG;1528.922141
1609012;JAYA PURA;1415.091911
1609020;BUAY PEMUKA PELIUNG;1675.947183
1609030;BUAY MADANG;1575.91158
1609031;BUAY MADANG TIMUR;1589.594489
1609032;BUAY PEMUKA BANGSA RAJA;1482.693467
1609040;MADANG SUKU II;1625.627493
1609041;MADANG SUKU III;1683.952579
1609050;MADANG SUKU I;1598.818153
1609051;BELITANG MADANG RAYA;1670.166111
1609060;BELITANG;1696.271688
1609061;BELITANG JAYA;1593.324929
1609070;BELITANG III;1665.07469
1609080;BELITANG II;1753.230526
1609081;BELITANG MULYA;1691.275419
1609090;SEMENDAWAI SUKU III;1633.706481
1609091;SEMENDAWAI TIMUR;1668.481055
1609100;CEMPAKA;1576.033927
1609101;SEMENDAWAI BARAT;1610.707419
1610010;MUARA KUANG;1553.725218
1610011;RAMBANG KUANG;1597.515926
1610012;LUBUK KELIAT;1616.03923
1610020;TANJUNG BATU;1719.904742
1610021;PAYARAMAN;1618.974619
1610030;RANTAU ALAI;1576.494614
1610031;KANDIS;1572.166358
1610040;TANJUNG RAJA;1581.719717
1610041;RANTAU PANJANG;1492.17957
1610042;SUNGAI PINANG;1444.697156
1610050;PEMULUTAN;1575.304023
1610051;PEMULUTAN SELATAN;1412.023059
1610052;PEMULUTAN BARAT;1622.985995
1610060;INDRALAYA;1616.806208
1610061;INDRALAYA UTARA;1603.924881
1610062;INDRALAYA SELATAN;1567.626209
1611010;MUARA PINANG;1312.883163
1611020;LINTANG KANAN;1366.111127
1611030;PENDOPO;1126.401469
1611031;PENDOPO BARAT;1174.924312
1611040;PASEMAH AIR KERUH;1352.128676
1611050;ULU MUSI;1100.393471
1611051;SIKAP DALAM;1094.829908
