idkec;nmkec;NDBI
6301010;PANYIPATAN;-0.288044034
6301020;TAKISUNG;-0.262655205
6301030;KURAU;-0.255669069
6301031;BUMI MAKMUR;-0.257599768
6301040;BATI-BATI;-0.228588536
6301050;TAMBANG ULANG;-0.251966637
6301060;PELAIHARI;-0.288476028
6301061;BAJUIN;-0.311142861
6301070;BATU AMPAR;-0.322276904
6301080;JORONG;-0.300374279
6301090;KINTAP;-0.306501691
6302010;PULAU SEMBILAN;-0.306677345
6302020;PULAU LAUT BARAT;-0.31531059
6302021;PULAU LAUT TANJUNG SELAYAR;-0.288217183
6302030;PULAU LAUT SELATAN;-0.32887877
6302031;PULAU LAUT KEPULAUAN;-0.304301793
6302040;PULAU LAUT TIMUR;-0.315817935
6302050;PULAU SEBUKU;-0.309645089
6302060;PULAU LAUT UTARA;-0.316708444
6302061;PULAU LAUT TENGAH;-0.313354172
6302062;PULAU LAUT SIGAM;-0.319570687
6302120;KELUMPANG SELATAN;-0.34118178
6302121;KELUMPANG HILIR;-0.331086965
6302130;KELUMPANG HULU;-0.336609147
6302140;HAMPANG;-0.336241124
6302150;SUNGAI DURIAN;-0.340210031
6302160;KELUMPANG TENGAH;-0.335601823
6302161;KELUMPANG BARAT;-0.334171212
6302170;KELUMPANG UTARA;-0.319956415
6302180;PAMUKAN SELATAN;-0.332746632
6302190;SAMPANAHAN;-0.337807533
6302200;PAMUKAN UTARA;-0.331350296
6302201;PAMUKAN BARAT;-0.347780832
6303010;ALUH - ALUH;-0.238546525
6303011;BERUNTUNG BARU;-0.232531542
6303020;GAMBUT;-0.226164199
6303030;KERTAK HANYAR;-0.235285237
6303031;TATAH MAKMUR;-0.254470615
6303040;SUNGAI TABUK;-0.242382839
6303050;MARTAPURA;-0.207392413
6303051;MARTAPURA TIMUR;-0.248310352
6303052;MARTAPURA BARAT;-0.216677558
6303060;ASTAMBUL;-0.23767531
6303070;KARANG INTAN;-0.264299911
6303080;ARANIO;-0.31161753
6303090;SUNGAI PINANG;-0.308074177
6303091;PARAMASAN;-0.322693423
6303100;PENGARON;-0.26527642
6303101;SAMBUNG MAKMUR;-0.25138374
6303110;MATARAMAN;-0.232333986
6303120;SIMPANG EMPAT;-0.241508691
6303121;TELAGA BAUNTUNG;-0.272532745
6303122;CINTAPURI DARUSSALAM;-0.229037874
6304010;TABUNGANEN;-0.275619813
6304020;TAMBAN;-0.255088599
6304030;MEKAR SARI;-0.245365591
6304040;ANJIR PASAR;-0.234240609
6304050;ANJIR MUARA;-0.244686729
6304060;ALALAK;-0.227514957
6304070;MANDASTANA;-0.229923418
6304071;JEJANGKIT;-0.24169897
6304080;BELAWANG;-0.239947859
6304090;WANARAYA;-0.270951839
6304100;BARAMBAI;-0.268375779
6304110;RANTAU BADAUH;-0.240552181
6304120;CERBON;-0.259312505
6304130;BAKUMPAI;-0.250559592
6304140;MARABAHAN;-0.275743683
6304150;TABUKAN;-0.270569114
6304160;KURIPAN;-0.253653842
6305010;BINUANG;-0.241423156
6305011;HATUNGUN;-0.252898211
6305020;TAPIN SELATAN;-0.237932935
6305021;SALAM BABARIS;-0.227313494
6305030;TAPIN TENGAH;-0.263548004
6305040;BUNGUR;-0.245239521
6305050;PIANI;-0.300503795
6305060;LOKPAIKAT;-0.22440792
6305070;TAPIN UTARA;-0.242533832
6305080;BAKARANGAN;-0.250117294
6305090;CANDI LARAS SELATAN;-0.270324619
6305100;CANDI LARAS UTARA;-0.2831505
6306010;PADANG BATUNG;-0.281547466
6306020;LOKSADO;-0.324527786
6306030;TELAGA LANGSAT;-0.301036976
6306040;ANGKINANG;-0.267950647
6306050;KANDANGAN;-0.278327017
6306060;SUNGAI RAYA;-0.248538222
6306070;SIMPUR;-0.270893072
6306080;KALUMPANG;-0.259351788
6306090;DAHA SELATAN;-0.269643805
6306091;DAHA BARAT;-0.287333985
6306100;DAHA UTARA;-0.270789468
6307010;HARUYAN;-0.294769856
6307020;BATU BENAWA;-0.291944375
6307030;HANTAKAN;-0.323290086
6307040;BATANG ALAI SELATAN;-0.293214257
6307041;BATANG ALAI TIMUR;-0.340860956
6307050;BARABAI;-0.253000366
6307060;LABUAN AMAS SELATAN;-0.260781393
6307070;LABUAN AMAS UTARA;-0.29789292
6307080;PANDAWAN;-0.278240773
6307090;BATANG ALAI UTARA;-0.271514405
6307091;LIMPASU;-0.282625316
6308010;DANAU PANGGANG;-0.298679588
6308011;PAMINGGIR;-0.298684347
6308020;BABIRIK;-0.294790791
6308030;SUNGAI PANDAN;-0.321637007
6308031;SUNGAI TABUKAN;-0.326973473
6308040;AMUNTAI SELATAN;-0.315634543
6308050;AMUNTAI TENGAH;-0.29556089
6308060;BANJANG;-0.295444605
6308070;AMUNTAI UTARA;-0.303332112
6308071;HAUR GADING;-0.308363001
6309010;BANUA LAWAS;-0.32844113
6309020;PUGAAN;-0.277484085
6309030;KELUA;-0.284292626
6309040;MUARA HARUS;-0.270929133
6309050;TANTA;-0.257301487
6309060;TANJUNG;-0.281458048
6309070;MURUNG PUDAK;-0.238405165
6309080;HARUAI;-0.288801128
6309081;BINTANG ARA;-0.338197816
6309090;UPAU;-0.306892615
6309100;MUARA UYA;-0.337892598
6309110;JARO;-0.330397978
6310010;KUSAN HILIR;-0.307180267
6310020;SUNGAI LOBAN;-0.284486659
6310030;SATUI;-0.318958285
6310031;ANGSANA;-0.305062588
6310040;KUSAN HULU;-0.327102977
6310041;KURANJI;-0.311723187
6310050;BATU LICIN;-0.307958318
6310051;KARANG BINTANG;-0.310356635
6310052;SIMPANG EMPAT;-0.301598654
6310053;MANTEWE;-0.335080435
6311010;LAMPIHONG;-0.275492182
6311020;BATU MANDI;-0.28197703
6311030;AWAYAN;-0.302680621
6311031;TEBING TINGGI;-0.336314968
6311040;PARINGIN;-0.215731828
6311041;PARINGIN SELATAN;-0.270990258
6311050;JUAI;-0.257753669
6311060;HALONG;-0.329722641
