idkec;nmkec;NDBI
1601052;LENGKITI;-0.241490988
1601070;SOSOH BUAY RAYAP;-0.233089975
1601080;PENGANDONAN;-0.254176634
1601081;SEMIDANG AJI;-0.255208673
1601082;ULU OGAN;-0.241921519
1601083;MUARA JAYA;-0.251581899
1601090;PENINJAUAN;-0.233960687
1601091;LUBUK BATANG;-0.243243485
1601092;SINAR PENINJAUAN;-0.212941792
1601093;KEDATON PENINJAUAN RAYA;-0.246743077
1601130;BATU RAJA TIMUR;-0.207130853
1601131;LUBUK RAJA;-0.203510695
1601140;BATU RAJA BARAT;-0.247222454
1602010;LEMPUING;-0.245239033
1602011;LEMPUING JAYA;-0.258077893
1602020;MESUJI;-0.276406553
1602021;SUNGAI MENANG;-0.294164325
1602022;MESUJI MAKMUR;-0.218694233
1602023;MESUJI RAYA;-0.281853091
1602030;TULUNG SELAPAN;-0.310020472
1602031;CENGAL;-0.302883865
1602040;PEDAMARAN;-0.273898744
1602041;PEDAMARAN TIMUR;-0.272355091
1602050;TANJUNG LUBUK;-0.261500071
1602051;TELUK GELAM;-0.254647787
1602060;KOTA KAYU AGUNG;-0.275084332
1602120;SIRAH PULAU PADANG;-0.300344652
1602121;JEJAWI;-0.257652985
1602130;PAMPANGAN;-0.267519338
1602131;PANGKALAN LAPAM;-0.283477635
1602140;AIR SUGIHAN;-0.284902773
1603010;SEMENDO DARAT LAUT;-0.24110446
1603011;SEMENDO DARAT ULU;-0.236311376
1603012;SEMENDO DARAT TENGAH;-0.231005136
1603020;TANJUNG AGUNG;-0.243947468
1603021;PANANG ENIM;-0.252183771
1603031;RAMBANG;-0.249758038
1603032;LUBAI;-0.249105596
1603033;LUBAI ULU;-0.239120205
1603040;LAWANG KIDUL;-0.19817664
1603050;MUARA ENIM;-0.223185335
1603051;UJAN MAS;-0.247031416
1603060;GUNUNG MEGANG;-0.249200818
1603061;BENAKAT;-0.249956755
1603062;BELIMBING;-0.240601238
1603070;RAMBANG NIRU;-0.248566101
1603071;EMPAT PETULAI DANGKU;-0.226932738
1603090;GELUMBANG;-0.24246675
1603091;LEMBAK;-0.23673674
1603092;SUNGAI ROTAN;-0.217239015
1603093;MUARA BELIDA;-0.260525567
1603094;KELEKAR;-0.243517711
1603095;BELIDA DARAT;-0.246880335
1604011;TANJUNG SAKTI PUMI;-0.277952084
1604012;TANJUNG SAKTI PUMU;-0.272589777
1604040;KOTA AGUNG;-0.226596142
1604041;MULAK ULU;-0.224531427
1604042;TANJUNG TEBAT;-0.228207736
1604043;MULAK SEBINGKAI;-0.232934967
1604050;PULAU PINANG;-0.239291471
1604051;PAGAR GUNUNG;-0.235397915
1604052;GUMAY ULU;-0.236379872
1604060;JARAI;-0.26507709
1604061;PAJAR BULAN;-0.243966454
1604062;MUARA PAYANG;-0.280562347
1604063;SUKAMERINDU;-0.25465582
1604111;KIKIM BARAT;-0.27535663
1604112;KIKIM TIMUR;-0.250523228
1604113;KIKIM SELATAN;-0.267544039
1604114;KIKIM TENGAH;-0.271360178
1604120;LAHAT;-0.227964188
1604121;GUMAY TALANG;-0.256084336
1604122;PSEKSU;-0.251926548
1604123;LAHAT SELATAN;-0.235893763
1604131;MERAPI BARAT;-0.202221048
1604132;MERAPI TIMUR;-0.221376297
1604133;MERAPI SELATAN;-0.226085381
1605030;SUKU TENGAH LAKITAN ULU;-0.25366698
1605031;SELANGIT;-0.254113323
1605032;SUMBER HARTA;-0.256791584
1605040;TUGUMULYO;-0.240112576
1605041;PURWODADI;-0.250413063
1605050;MUARA BELITI;-0.266834822
1605051;TIANG PUMPUNG KEPUNGUT;-0.275389341
1605060;JAYALOKA;-0.257309615
1605061;SUKA KARYA;-0.242747974
1605070;MUARA KELINGI;-0.257697314
1605071;BULANG TENGAH SUKU ULU;-0.262275913
1605072;TUAH NEGERI;-0.260968699
1605080;MUARA LAKITAN;-0.245119945
1605090;MEGANG SAKTI;-0.24660188
1606010;SANGA DESA;-0.249706983
1606020;BABAT TOMAN;-0.236594266
1606021;BATANGHARI LEKO;-0.262168115
1606022;PLAKAT TINGGI;-0.233833963
1606023;LAWANG WETAN;-0.25075688
1606030;SUNGAI KERUH;-0.246885387
1606031;JIRAK JAYA;-0.236356779
1606040;SEKAYU;-0.250844349
1606041;LAIS;-0.253435632
1606090;SUNGAI LILIN;-0.251567635
1606091;KELUANG;-0.252466939
1606092;BABAT SUPAT;-0.246977264
1606100;BAYUNG LENCIR;-0.263834882
1606101;LALAN;-0.253483529
1606102;TUNGKAL JAYA;-0.25671212
1607010;RANTAU BAYUR;-0.240623348
1607020;BETUNG;-0.236191916
1607021;SUAK TAPEH;-0.244669485
1607030;PULAU RIMAU;-0.248146042
1607031;TUNGKAL ILIR;-0.250659027
1607032;SELAT PENUGUAN;-0.255658875
1607040;BANYUASIN III;-0.242368482
1607041;SEMBAWA;-0.231942182
1607050;TALANG KELAPA;-0.234301956
1607051;TANJUNG LAGO;-0.245044655
1607060;BANYUASIN I;-0.25812971
1607061;AIR KUMBANG;-0.262658626
1607070;RAMBUTAN;-0.259103776
1607080;MUARA PADANG;-0.255129376
1607081;MUARA SUGIHAN;-0.260164526
1607090;MAKARTI JAYA;-0.250358867
1607091;AIR SALEK;-0.209041358
1607100;BANYUASIN II;-0.327959015
1607101;KARANG AGUNG ILIR;-0.247454914
1607110;MUARA TELANG;-0.206108264
1607111;SUMBER MARGA TELANG;-0.236978374
1608010;MEKAKAU ILIR;-0.235615176
1608020;BANDING AGUNG;-0.247940876
1608021;WARKUK RANAU SELATAN;-0.227706085
1608022;BUAY PEMATANG RIBU RANAU TENGAH;-0.251636014
1608030;BUAY PEMACA;-0.219202439
1608040;SIMPANG;-0.22416373
1608041;BUANA PEMACA;-0.226637568
1608050;MUARADUA;-0.247613407
1608051;BUAY RAWAN;-0.254141552
1608060;BUAY SANDANG AJI;-0.250607949
1608061;TIGA DIHAJI;-0.253685357
1608070;BUAY RUNJUNG;-0.224228998
1608071;RUNJUNG AGUNG;-0.224515501
1608080;KISAM TINGGI;-0.220386974
1608090;MUARADUA KISAM;-0.224274957
1608091;KISAM ILIR;-0.211356344
1608100;PULAU BERINGIN;-0.236236514
1608101;SINDANG DANAU;-0.24355596
1608102;SUNGAI ARE;-0.248863308
1609010;MARTAPURA;-0.208895955
1609011;BUNGA MAYANG;-0.220831108
1609012;JAYA PURA;-0.231165296
1609020;BUAY PEMUKA PELIUNG;-0.198146579
1609030;BUAY MADANG;-0.206266159
1609031;BUAY MADANG TIMUR;-0.207333046
1609032;BUAY PEMUKA BANGSA RAJA;-0.217673779
1609040;MADANG SUKU II;-0.221298535
1609041;MADANG SUKU III;-0.212154236
1609050;MADANG SUKU I;-0.233043029
1609051;BELITANG MADANG RAYA;-0.21085088
1609060;BELITANG;-0.221013697
1609061;BELITANG JAYA;-0.214894612
1609070;BELITANG III;-0.2135724
1609080;BELITANG II;-0.222573633
1609081;BELITANG MULYA;-0.223425604
1609090;SEMENDAWAI SUKU III;-0.224073968
1609091;SEMENDAWAI TIMUR;-0.220543525
1609100;CEMPAKA;-0.243659902
1609101;SEMENDAWAI BARAT;-0.233755022
1610010;MUARA KUANG;-0.244844046
1610011;RAMBANG KUANG;-0.247918758
1610012;LUBUK KELIAT;-0.231853975
1610020;TANJUNG BATU;-0.213938725
1610021;PAYARAMAN;-0.240171814
1610030;RANTAU ALAI;-0.247120052
1610031;KANDIS;-0.274630987
1610040;TANJUNG RAJA;-0.249958245
1610041;RANTAU PANJANG;-0.258842996
1610042;SUNGAI PINANG;-0.279384099
1610050;PEMULUTAN;-0.231933857
1610051;PEMULUTAN SELATAN;-0.265119345
1610052;PEMULUTAN BARAT;-0.216470538
1610060;INDRALAYA;-0.227253053
1610061;INDRALAYA UTARA;-0.233672062
1610062;INDRALAYA SELATAN;-0.229927762
1611010;MUARA PINANG;-0.264372559
1611020;LINTANG KANAN;-0.267905804
1611030;PENDOPO;-0.274708377
1611031;PENDOPO BARAT;-0.269764842
1611040;PASEMAH AIR KERUH;-0.238418412
1611050;ULU MUSI;-0.277842594
1611051;SIKAP DALAM;-0.271147853
1611060;TALANG PADANG;-0.269944253
1611070;TEBING TINGGI;-0.266303936
1611071;SALING;-0.268595501
1612010;TALANG UBI;-0.236492523
1612020;TANAH ABANG;-0.225187028
1612030;ABAB;-0.201974195
1612040;PENUKAL;-0.225238704
1612050;PENUKAL UTARA;-0.236831556
1613010;ULU RAWAS;-0.259822504
1613020;KARANG JAYA;-0.269430725
1613030;RAWAS ULU;-0.245290245
1613040;RUPIT;-0.24713301
1613050;KARANG DAPO;-0.232596169
1613060;RAWAS ILIR;-0.244423236
1613070;NIBUNG;-0.233911687
1671010;ILIR BARAT II;-0.134076891
1671011;GANDUS;-0.211479801
1671020;SEBERANG ULU I;-0.127739922
1671021;KERTAPATI;-0.212717983
1671022;JAKABARING;-0.169411127
1671030;SEBERANG ULU II;-0.133314764
1671031;PLAJU;-0.195818711
1671040;ILIR BARAT I;-0.18304306
1671041;BUKIT KECIL;-0.114543193
1671050;ILIR TIMUR I;-0.100238739
1671051;KEMUNING;-0.110631197
