idkec;nmkec;NDTI
6301010;PANYIPATAN;0.177673879
6301020;TAKISUNG;0.197245191
6301030;KURAU;0.193985593
6301031;BUMI MAKMUR;0.187721968
6301040;BATI-BATI;0.201052514
6301050;TAMBANG ULANG;0.207088293
6301060;PELAIHARI;0.204524397
6301061;BAJUIN;0.206470871
6301070;BATU AMPAR;0.191769381
6301080;JORONG;0.183619072
6301090;KINTAP;0.187723212
6302010;PULAU SEMBILAN;0.174402635
6302020;PULAU LAUT BARAT;0.195938766
6302021;PULAU LAUT TANJUNG SELAYAR;0.18793254
6302030;PULAU LAUT SELATAN;0.188306208
6302031;PULAU LAUT KEPULAUAN;0.185885969
6302040;PULAU LAUT TIMUR;0.201226421
6302050;PULAU SEBUKU;0.209806085
6302060;PULAU LAUT UTARA;0.179534509
6302061;PULAU LAUT TENGAH;0.200749179
6302062;PULAU LAUT SIGAM;0.185360082
6302120;KELUMPANG SELATAN;0.185588556
6302121;KELUMPANG HILIR;0.183117752
6302130;KELUMPANG HULU;0.211795191
6302140;HAMPANG;0.192594523
6302150;SUNGAI DURIAN;0.195002702
6302160;KELUMPANG TENGAH;0.206951707
6302161;KELUMPANG BARAT;0.207341498
6302170;KELUMPANG UTARA;0.203842186
6302180;PAMUKAN SELATAN;0.201276346
6302190;SAMPANAHAN;0.196181855
6302200;PAMUKAN UTARA;0.192059934
6302201;PAMUKAN BARAT;0.198664421
6303010;ALUH - ALUH;0.19628111
6303011;BERUNTUNG BARU;0.188507428
6303020;GAMBUT;0.192073293
6303030;KERTAK HANYAR;0.186384023
6303031;TATAH MAKMUR;0.200215125
6303040;SUNGAI TABUK;0.204342904
6303050;MARTAPURA;0.188929707
6303051;MARTAPURA TIMUR;0.197310283
6303052;MARTAPURA BARAT;0.201169054
6303060;ASTAMBUL;0.205296403
6303070;KARANG INTAN;0.22109914
6303080;ARANIO;0.207762448
6303090;SUNGAI PINANG;0.207644929
6303091;PARAMASAN;0.202503247
6303100;PENGARON;0.214960582
