idkec;nmkec;NDTI
1601052;LENGKITI;0.252669116
1601070;SOSOH BUAY RAYAP;0.261850937
1601080;PENGANDONAN;0.255822215
1601081;SEMIDANG AJI;0.261695043
1601082;ULU OGAN;0.227809264
1601083;MUARA JAYA;0.242976625
1601090;PENINJAUAN;0.249857877
1601091;LUBUK BATANG;0.253134512
1601092;SINAR PENINJAUAN;0.241457593
1601093;KEDATON PENINJAUAN RAYA;0.246551135
1601130;BATU RAJA TIMUR;0.23710107
1601131;LUBUK RAJA;0.233105646
1601140;BATU RAJA BARAT;0.260880067
1602010;LEMPUING;0.220086922
1602011;LEMPUING JAYA;0.224933146
1602020;MESUJI;0.223034449
1602021;SUNGAI MENANG;0.180782637
1602022;MESUJI MAKMUR;0.225732933
1602023;MESUJI RAYA;0.224255043
1602030;TULUNG SELAPAN;0.192807568
1602031;CENGAL;0.180503126
1602040;PEDAMARAN;0.214653549
1602041;PEDAMARAN TIMUR;0.212001471
1602050;TANJUNG LUBUK;0.228777106
1602051;TELUK GELAM;0.226896471
1602060;KOTA KAYU AGUNG;0.213416311
1602120;SIRAH PULAU PADANG;0.207904654
1602121;JEJAWI;0.205929859
1602130;PAMPANGAN;0.202295194
1602131;PANGKALAN LAPAM;0.206563034
1602140;AIR SUGIHAN;0.195902909
1603010;SEMENDO DARAT LAUT;0.23153053
1603011;SEMENDO DARAT ULU;0.20401923
1603012;SEMENDO DARAT TENGAH;0.213619272
1603020;TANJUNG AGUNG;0.257586763
1603021;PANANG ENIM;0.243732572
1603031;RAMBANG;0.244411302
1603032;LUBAI;0.251426914
1603033;LUBAI ULU;0.248994054
1603040;LAWANG KIDUL;0.240899431
1603050;MUARA ENIM;0.236779537
1603051;UJAN MAS;0.24926015
1603060;GUNUNG MEGANG;0.242479734
1603061;BENAKAT;0.2454384
1603062;BELIMBING;0.241590781
1603070;RAMBANG NIRU;0.24237918
1603071;EMPAT PETULAI DANGKU;0.242270125
1603090;GELUMBANG;0.2363193
1603091;LEMBAK;0.249257264
