idkec;nmkec;UI
6301010;PANYIPATAN;71.19559662
6301020;TAKISUNG;73.7344794
6301030;KURAU;74.43309312
6301031;BUMI MAKMUR;74.24002329
6301040;BATI-BATI;77.14114648
6301050;TAMBANG ULANG;74.80333635
6301060;PELAIHARI;71.15239713
6301061;BAJUIN;68.88571406
6301070;BATU AMPAR;67.77230948
6301080;JORONG;69.96257213
6301090;KINTAP;69.34983076
6302010;PULAU SEMBILAN;69.33226481
6302020;PULAU LAUT BARAT;68.46894095
6302021;PULAU LAUT TANJUNG SELAYAR;71.17828184
6302030;PULAU LAUT SELATAN;67.11212306
6302031;PULAU LAUT KEPULAUAN;69.56982065
6302040;PULAU LAUT TIMUR;68.41820652
6302050;PULAU SEBUKU;69.03549108
6302060;PULAU LAUT UTARA;68.32915562
6302061;PULAU LAUT TENGAH;68.66458285
6302062;PULAU LAUT SIGAM;68.0429305
6302120;KELUMPANG SELATAN;65.88182203
6302121;KELUMPANG HILIR;66.89130376
6302130;KELUMPANG HULU;66.33908525
6302140;HAMPANG;66.37588775
6302150;SUNGAI DURIAN;65.97899673
6302160;KELUMPANG TENGAH;66.43981773
6302161;KELUMPANG BARAT;66.58287868
6302170;KELUMPANG UTARA;68.00435848
6302180;PAMUKAN SELATAN;66.72533689
6302190;SAMPANAHAN;66.21924674
6302200;PAMUKAN UTARA;66.86497026
6302201;PAMUKAN BARAT;65.22191679
6303010;ALUH - ALUH;76.14534791
6303011;BERUNTUNG BARU;76.74684626
6303020;GAMBUT;77.38357984
6303030;KERTAK HANYAR;76.47147583
6303031;TATAH MAKMUR;74.55293873
6303040;SUNGAI TABUK;75.76171608
6303050;MARTAPURA;79.26075844
6303051;MARTAPURA TIMUR;75.16896469
6303052;MARTAPURA BARAT;78.33224399
6303060;ASTAMBUL;76.23246885
6303070;KARANG INTAN;73.57000896
6303080;ARANIO;68.83824696
6303090;SUNGAI PINANG;69.1925823
6303091;PARAMASAN;67.73065777
6303100;PENGARON;73.47235786
6303101;SAMBUNG MAKMUR;74.86162615
