idkec;nmkec;UI
1601052;LENGKITI;75.85090119
1601070;SOSOH BUAY RAYAP;76.69100238
1601080;PENGANDONAN;74.58233696
1601081;SEMIDANG AJI;74.47913262
1601082;ULU OGAN;75.8078482
1601083;MUARA JAYA;74.84181024
1601090;PENINJAUAN;76.60393138
1601091;LUBUK BATANG;75.67565154
1601092;SINAR PENINJAUAN;78.70582071
1601093;KEDATON PENINJAUAN RAYA;75.32569246
1601130;BATU RAJA TIMUR;79.28691475
1601131;LUBUK RAJA;79.64893052
1601140;BATU RAJA BARAT;75.27775432
1602010;LEMPUING;75.47609666
1602011;LEMPUING JAYA;74.19221085
1602020;MESUJI;72.35934476
1602021;SUNGAI MENANG;70.58356757
1602022;MESUJI MAKMUR;78.13057686
1602023;MESUJI RAYA;71.8146909
1602030;TULUNG SELAPAN;68.99795285
1602031;CENGAL;69.71161342
1602040;PEDAMARAN;72.61012541
1602041;PEDAMARAN TIMUR;72.76449082
1602050;TANJUNG LUBUK;73.8499929
1602051;TELUK GELAM;74.5352214
1602060;KOTA KAYU AGUNG;72.49156689
1602120;SIRAH PULAU PADANG;69.96553485
1602121;JEJAWI;74.23470178
1602130;PAMPANGAN;73.24806623
1602131;PANGKALAN LAPAM;71.65223644
1602140;AIR SUGIHAN;71.50972255
1603010;SEMENDO DARAT LAUT;75.88955393
1603011;SEMENDO DARAT ULU;76.3688624
1603012;SEMENDO DARAT TENGAH;76.89948632
1603020;TANJUNG AGUNG;75.60525327
1603021;PANANG ENIM;74.78162294
1603031;RAMBANG;75.02419628
1603032;LUBAI;75.08944054
1603033;LUBAI ULU;76.08797946
1603040;LAWANG KIDUL;80.18233581
1603050;MUARA ENIM;77.68146637
1603051;UJAN MAS;75.29685841
1603060;GUNUNG MEGANG;75.07991823
1603061;BENAKAT;75.00432432
1603062;BELIMBING;75.93987614
1603070;RAMBANG NIRU;75.14339
1603071;EMPAT PETULAI DANGKU;77.30672602
1603090;GELUMBANG;75.75332495
1603091;LEMBAK;76.32632605
1603092;SUNGAI ROTAN;78.27609844
1603093;MUARA BELIDA;73.94744299
1603094;KELEKAR;75.64822894
1603095;BELIDA DARAT;75.31196646
1604011;TANJUNG SAKTI PUMI;72.20479163
1604012;TANJUNG SAKTI PUMU;72.74102263
1604040;KOTA AGUNG;77.34038572
1604041;MULAK ULU;77.54685736
1604042;TANJUNG TEBAT;77.17922655
1604043;MULAK SEBINGKAI;76.70650344
1604050;PULAU PINANG;76.07085288
1604051;PAGAR GUNUNG;76.4602084
1604052;GUMAY ULU;76.36201284
1604060;JARAI;73.49229118
1604061;PAJAR BULAN;75.6033544
1604062;MUARA PAYANG;71.94376527
1604063;SUKAMERINDU;74.53441781
1604111;KIKIM BARAT;72.46433685
1604112;KIKIM TIMUR;74.94767714
1604113;KIKIM SELATAN;73.24559616
1604114;KIKIM TENGAH;72.86398251
1604120;LAHAT;77.20358113
1604121;GUMAY TALANG;74.39156633
1604122;PSEKSU;74.8073451
1604123;LAHAT SELATAN;76.41062327
1604131;MERAPI BARAT;79.77789495
1604132;MERAPI TIMUR;77.86237042
1604133;MERAPI SELATAN;77.39146196
1605030;SUKU TENGAH LAKITAN ULU;74.63330203
1605031;SELANGIT;74.58866776
1605032;SUMBER HARTA;74.32084134
1605040;TUGUMULYO;75.98874216
1605041;PURWODADI;74.95869364
1605050;MUARA BELITI;73.31651775
1605051;TIANG PUMPUNG KEPUNGUT;72.46106589
1605060;JAYALOKA;74.26903869
1605061;SUKA KARYA;75.7252027
1605070;MUARA KELINGI;74.23026871
1605071;BULANG TENGAH SUKU ULU;73.77240868
1605072;TUAH NEGERI;73.90313022
1605080;MUARA LAKITAN;75.48800548
1605090;MEGANG SAKTI;75.33981193
1606010;SANGA DESA;75.02930151
1606020;BABAT TOMAN;76.34057344
1606021;BATANGHARI LEKO;73.78318859
1606022;PLAKAT TINGGI;76.61660343
1606023;LAWANG WETAN;74.92431169
1606030;SUNGAI KERUH;75.31146132
1606031;JIRAK JAYA;76.36432213
1606040;SEKAYU;74.91556498
1606041;LAIS;74.6564369
1606090;SUNGAI LILIN;74.84323643
