idkec;nmkec;VIBI
6301010;PANYIPATAN;0.71171209
6301020;TAKISUNG;0.736788453
6301030;KURAU;0.743613105
6301031;BUMI MAKMUR;0.742014661
6301040;BATI-BATI;0.771021591
6301050;TAMBANG ULANG;0.747589595
6301060;PELAIHARI;0.711247054
6301061;BAJUIN;0.688495236
6301070;BATU AMPAR;0.67752273
6301080;JORONG;0.699187714
6301090;KINTAP;0.693132816
6302010;PULAU SEMBILAN;0.691635097
6302020;PULAU LAUT BARAT;0.68413167
6302021;PULAU LAUT TANJUNG SELAYAR;0.710811637
6302030;PULAU LAUT SELATAN;0.670361749
6302031;PULAU LAUT KEPULAUAN;0.695144756
6302040;PULAU LAUT TIMUR;0.68373521
6302050;PULAU SEBUKU;0.689735416
6302060;PULAU LAUT UTARA;0.683180558
6302061;PULAU LAUT TENGAH;0.686367353
6302062;PULAU LAUT SIGAM;0.680088914
6302120;KELUMPANG SELATAN;0.658333253
6302121;KELUMPANG HILIR;0.668614241
6302130;KELUMPANG HULU;0.663134625
6302140;HAMPANG;0.663238482
6302150;SUNGAI DURIAN;0.659501386
6302160;KELUMPANG TENGAH;0.664165862
6302161;KELUMPANG BARAT;0.66561046
6302170;KELUMPANG UTARA;0.679512067
6302180;PAMUKAN SELATAN;0.66679731
6302190;SAMPANAHAN;0.661951421
6302200;PAMUKAN UTARA;0.668321464
6302201;PAMUKAN BARAT;0.652061031
6303010;ALUH - ALUH;0.760694878
6303011;BERUNTUNG BARU;0.766770052
6303020;GAMBUT;0.773135684
6303030;KERTAK HANYAR;0.764485005
6303031;TATAH MAKMUR;0.745124607
6303040;SUNGAI TABUK;0.757066251
6303050;MARTAPURA;0.791539444
6303051;MARTAPURA TIMUR;0.751689643
6303052;MARTAPURA BARAT;0.782822269
6303060;ASTAMBUL;0.762267393
6303070;KARANG INTAN;0.735290123
6303080;ARANIO;0.687950915
6303090;SUNGAI PINANG;0.691643675
6303091;PARAMASAN;0.677158763
6303100;PENGARON;0.734323013
6303101;SAMBUNG MAKMUR;0.748414681
6303110;MATARAMAN;0.767396229
6303120;SIMPANG EMPAT;0.758396032
6303121;TELAGA BAUNTUNG;0.726933478
