idkec;nmkec;VIBI
1601052;LENGKITI;0.758400204
1601070;SOSOH BUAY RAYAP;0.76684852
1601080;PENGANDONAN;0.745738246
1601081;SEMIDANG AJI;0.744688853
1601082;ULU OGAN;0.757978701
1601083;MUARA JAYA;0.748307357
1601090;PENINJAUAN;0.765799749
1601091;LUBUK BATANG;0.756680049
1601092;SINAR PENINJAUAN;0.786959635
1601093;KEDATON PENINJAUAN RAYA;0.75306577
1601130;BATU RAJA TIMUR;0.79282173
1601131;LUBUK RAJA;0.796489304
1601140;BATU RAJA BARAT;0.752777542
1602010;LEMPUING;0.754605944
1602011;LEMPUING JAYA;0.741703486
1602020;MESUJI;0.723344807
1602021;SUNGAI MENANG;0.705538058
1602022;MESUJI MAKMUR;0.781087316
1602023;MESUJI RAYA;0.717971855
1602030;TULUNG SELAPAN;0.689786586
1602031;CENGAL;0.696972369
1602040;PEDAMARAN;0.725924237
1602041;PEDAMARAN TIMUR;0.727588751
1602050;TANJUNG LUBUK;0.738405447
1602051;TELUK GELAM;0.745270515
1602060;KOTA KAYU AGUNG;0.724915669
1602120;SIRAH PULAU PADANG;0.699338386
1602121;JEJAWI;0.742229916
1602130;PAMPANGAN;0.732002462
1602131;PANGKALAN LAPAM;0.716254801
1602140;AIR SUGIHAN;0.714851072
1603010;SEMENDO DARAT LAUT;0.758755493
1603011;SEMENDO DARAT ULU;0.763405326
1603012;SEMENDO DARAT TENGAH;0.768573441
1603020;TANJUNG AGUNG;0.756021275
1603021;PANANG ENIM;0.747754599
1603031;RAMBANG;0.749979804
1603032;LUBAI;0.750727549
1603033;LUBAI ULU;0.760753554
1603040;LAWANG KIDUL;0.801627773
1603050;MUARA ENIM;0.776665264
1603051;UJAN MAS;0.752791631
1603060;GUNUNG MEGANG;0.750523655
1603061;BENAKAT;0.749978653
1603062;BELIMBING;0.759398764
1603070;RAMBANG NIRU;0.751292774
1603071;EMPAT PETULAI DANGKU;0.772996798
1603090;GELUMBANG;0.757388327
1603091;LEMBAK;0.763243129
1603092;SUNGAI ROTAN;0.782631622
1603093;MUARA BELIDA;0.739248555
1603094;KELEKAR;0.756466961
1603095;BELIDA DARAT;0.753023202
1604011;TANJUNG SAKTI PUMI;0.72178487
1604012;TANJUNG SAKTI PUMU;0.727093083
1604040;KOTA AGUNG;0.772957322
1604041;MULAK ULU;0.775349439
1604042;TANJUNG TEBAT;0.771559754
1604043;MULAK SEBINGKAI;0.767065034
1604050;PULAU PINANG;0.760708527
1604051;PAGAR GUNUNG;0.764501087
1604052;GUMAY ULU;0.76346979
1604060;JARAI;0.734596727
1604061;PAJAR BULAN;0.755949944
1604062;MUARA PAYANG;0.719388553
1604063;SUKAMERINDU;0.745344181
1604111;KIKIM BARAT;0.724287515
1604112;KIKIM TIMUR;0.749375117
1604113;KIKIM SELATAN;0.732128917
1604114;KIKIM TENGAH;0.728223933
1604120;LAHAT;0.771927762
1604121;GUMAY TALANG;0.743820683
1604122;PSEKSU;0.747702513
1604123;LAHAT SELATAN;0.764106235
1604131;MERAPI BARAT;0.797448552
1604132;MERAPI TIMUR;0.77849299
1604133;MERAPI SELATAN;0.773791936
1605030;SUKU TENGAH LAKITAN ULU;0.746104195
1605031;SELANGIT;0.745617126
1605032;SUMBER HARTA;0.743073082
1605040;TUGUMULYO;0.759333409
1605041;PURWODADI;0.749586937
1605050;MUARA BELITI;0.733013587
1605051;TIANG PUMPUNG KEPUNGUT;0.724442401
1605060;JAYALOKA;0.742428446
1605061;SUKA KARYA;0.757252026
1605070;MUARA KELINGI;0.742152607
1605071;BULANG TENGAH SUKU ULU;0.737588792
1605072;TUAH NEGERI;0.739031301
1605080;MUARA LAKITAN;0.75474007
1605090;MEGANG SAKTI;0.753305752
1606010;SANGA DESA;0.75017349
1606020;BABAT TOMAN;0.763246107
1606021;BATANGHARI LEKO;0.737710603
1606022;PLAKAT TINGGI;0.766034469
1606023;LAWANG WETAN;0.749148136
1606030;SUNGAI KERUH;0.753033822
1606031;JIRAK JAYA;0.763572585
1606040;SEKAYU;0.748965452
1606041;LAIS;0.746351976
1606090;SUNGAI LILIN;0.748382922
1606091;KELUANG;0.747459517
1606092;BABAT SUPAT;0.752937075
1606100;BAYUNG LENCIR;0.736065089
1606101;LALAN;0.746344721
1606102;TUNGKAL JAYA;0.743169621
1607010;RANTAU BAYUR;0.759142948
1607020;BETUNG;0.763736333
1607021;SUAK TAPEH;0.755240505
1607030;PULAU RIMAU;0.751762766
1607031;TUNGKAL ILIR;0.749284853
1607032;SELAT PENUGUAN;0.744128176
1607040;BANYUASIN III;0.757468738
1607041;SEMBAWA;0.767934868
1607050;TALANG KELAPA;0.765597554
1607051;TANJUNG LAGO;0.754767068
1607060;BANYUASIN I;0.741676885
1607061;AIR KUMBANG;0.737227819
1607070;RAMBUTAN;0.740792039
1607080;MUARA PADANG;0.744626559
1607081;MUARA SUGIHAN;0.739338756
1607090;MAKARTI JAYA;0.749488125
1607091;AIR SALEK;0.790804865
1607100;BANYUASIN II;0.67182208
1607101;KARANG AGUNG ILIR;0.752448707
1607110;MUARA TELANG;0.79380674
1607111;SUMBER MARGA TELANG;0.762804041
1608010;MEKAKAU ILIR;0.764234404
1608020;BANDING AGUNG;0.752019914
1608021;WARKUK RANAU SELATAN;0.772151976
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.748293766
1608030;BUAY PEMACA;0.780697365
1608040;SIMPANG;0.775836271
1608041;BUANA PEMACA;0.773362435
1608050;MUARADUA;0.752362583
1608051;BUAY RAWAN;0.745808019
1608060;BUAY SANDANG AJI;0.749349948
1608061;TIGA DIHAJI;0.746252263
1608070;BUAY RUNJUNG;0.775516204
1608071;RUNJUNG AGUNG;0.775386249
1608080;KISAM TINGGI;0.779336823
1608090;MUARADUA KISAM;0.775510048
1608091;KISAM ILIR;0.788217657
1608100;PULAU BERINGIN;0.763551701
1608101;SINDANG DANAU;0.756022644
1608102;SUNGAI ARE;0.750948972
1609010;MARTAPURA;0.791104045
1609011;BUNGA MAYANG;0.779043475
1609012;JAYA PURA;0.768834703
1609020;BUAY PEMUKA PELIUNG;0.801853421
1609030;BUAY MADANG;0.79373384
1609031;BUAY MADANG TIMUR;0.792540196
1609032;BUAY PEMUKA BANGSA RAJA;0.782192518
1609040;MADANG SUKU II;0.778701464
1609041;MADANG SUKU III;0.787788853
1609050;MADANG SUKU I;0.766837155
1609051;BELITANG MADANG RAYA;0.789149117
1609060;BELITANG;0.778986303
1609061;BELITANG JAYA;0.784844527
1609070;BELITANG III;0.786427598
1609080;BELITANG II;0.777338506
1609081;BELITANG MULYA;0.776136184
1609090;SEMENDAWAI SUKU III;0.775790292
1609091;SEMENDAWAI TIMUR;0.779394834
1609100;CEMPAKA;0.756203452
1609101;SEMENDAWAI BARAT;0.766191726
1610010;MUARA KUANG;0.754865966
1610011;RAMBANG KUANG;0.751817119
1610012;LUBUK KELIAT;0.767956297
1610020;TANJUNG BATU;0.785859858
1610021;PAYARAMAN;0.759703001
1610030;RANTAU ALAI;0.752694727
1610031;KANDIS;0.724944589
1610040;TANJUNG RAJA;0.749857726
1610041;RANTAU PANJANG;0.741157009
1610042;SUNGAI PINANG;0.720615901
1610050;PEMULUTAN;0.767442344
1610051;PEMULUTAN SELATAN;0.734877557
1610052;PEMULUTAN BARAT;0.783478411
1610060;INDRALAYA;0.772701947
1610061;INDRALAYA UTARA;0.765990547
1610062;INDRALAYA SELATAN;0.770072239
1611010;MUARA PINANG;0.735593677
1611020;LINTANG KANAN;0.731990583
1611030;PENDOPO;0.725291622
1611031;PENDOPO BARAT;0.730235158
1611040;PASEMAH AIR KERUH;0.761520263
1611050;ULU MUSI;0.722111065
1611051;SIKAP DALAM;0.728852145
1611060;TALANG PADANG;0.730055749
1611070;TEBING TINGGI;0.733649106
1611071;SALING;0.731285861
1612010;TALANG UBI;0.763390333
1612020;TANAH ABANG;0.774718823
1612030;ABAB;0.797879256
1612040;PENUKAL;0.774643028
1612050;PENUKAL UTARA;0.763127589
1613010;ULU RAWAS;0.739988658
1613020;KARANG JAYA;0.73044644
1613030;RAWAS ULU;0.754701248
1613040;RUPIT;0.752729389
1613050;KARANG DAPO;0.767256202
1613060;RAWAS ILIR;0.755471583
1613070;NIBUNG;0.766021837
1671010;ILIR BARAT II;0.865923112
1671011;GANDUS;0.788135147
1671020;SEBERANG ULU I;0.872260081
1671021;KERTAPATI;0.787128116
1671022;JAKABARING;0.829646569
1671030;SEBERANG ULU II;0.866685243
1671031;PLAJU;0.804181291
1671040;ILIR BARAT I;0.816956939
1671041;BUKIT KECIL;0.885456803
1671050;ILIR TIMUR I;0.89976126
1671051;KEMUNING;0.889368812
1671060;ILIR TIMUR II;0.849163323
1671061;KALIDONI;0.801725899
1671062;ILIR TIMUR TIGA;0.868747929
1671070;SAKO;0.834702475
1671071;SEMATANG BORANG;0.791915118
1671080;SUKARAMI;0.827753006
1671081;ALANG ALANG LEBAR;0.831447282
1672010;RAMBANG KAPAK TENGAH;0.759618163
1672020;PRABUMULIH TIMUR;0.783254679
1672021;PRABUMULIH SELATAN;0.766711354
1672030;PRABUMULIH BARAT;0.763755812
1672031;PRABUMULIH UTARA;0.780205004
1672040;CAMBAI;0.772387649
1673010;DEMPO SELATAN;0.770763483
1673011;DEMPO TENGAH;0.765599549
1673020;DEMPO UTARA;0.732913893
1673030;PAGAR ALAM SELATAN;0.756931666
1673040;PAGAR ALAM UTARA;0.754568947
1674011;LUBUK LINGGAU BARAT I;0.753951049
1674012;LUBUK LINGGAU BARAT II;0.771080617
1674021;LUBUK LINGGAU SELATAN I;0.743281323
1674022;LUBUK LINGGAU SELATAN II;0.757592638
1674031;LUBUK LINGGAU TIMUR I;0.795301716
1674032;LUBUK LINGGAU TIMUR II;0.78213935
1674041;LUBUK LINGGAU UTARA I;0.736164678
1674042;LUBUK LINGGAU UTARA II;0.75932883
