idkec;nmkec;ARVI
1601052;LENGKITI;0.255530923
1601070;SOSOH BUAY RAYAP;0.260166107
1601080;PENGANDONAN;0.264689144
1601081;SEMIDANG AJI;0.270406194
1601082;ULU OGAN;0.220848664
1601083;MUARA JAYA;0.234224037
1601090;PENINJAUAN;0.232129853
1601091;LUBUK BATANG;0.24690561
1601092;SINAR PENINJAUAN;0.221324237
1601093;KEDATON PENINJAUAN RAYA;0.23354701
1601130;BATU RAJA TIMUR;0.224374067
1601131;LUBUK RAJA;0.216954156
1601140;BATU RAJA BARAT;0.261000728
1602010;LEMPUING;0.191077157
1602011;LEMPUING JAYA;0.203678235
1602020;MESUJI;0.214133668
1602021;SUNGAI MENANG;0.154414246
1602022;MESUJI MAKMUR;0.202361294
1602023;MESUJI RAYA;0.217614415
1602030;TULUNG SELAPAN;0.176489964
1602031;CENGAL;0.158445287
1602040;PEDAMARAN;0.194108697
1602041;PEDAMARAN TIMUR;0.196855943
1602050;TANJUNG LUBUK;0.211182459
1602051;TELUK GELAM;0.205419393
1602060;KOTA KAYU AGUNG;0.200555246
1602120;SIRAH PULAU PADANG;0.196097049
1602121;JEJAWI;0.170565113
1602130;PAMPANGAN;0.178726204
1602131;PANGKALAN LAPAM;0.186040337
1602140;AIR SUGIHAN;0.171845106
1603010;SEMENDO DARAT LAUT;0.233893319
1603011;SEMENDO DARAT ULU;0.174920842
1603012;SEMENDO DARAT TENGAH;0.194858062
1603020;TANJUNG AGUNG;0.255040212
1603021;PANANG ENIM;0.251059076
1603031;RAMBANG;0.229504557
1603032;LUBAI;0.23686326
1603033;LUBAI ULU;0.237412897
1603040;LAWANG KIDUL;0.208654705
1603050;MUARA ENIM;0.206462259
1603051;UJAN MAS;0.233652741
1603060;GUNUNG MEGANG;0.226035278
1603061;BENAKAT;0.233210957
1603062;BELIMBING;0.214435882
1603070;RAMBANG NIRU;0.228991787
1603071;EMPAT PETULAI DANGKU;0.207263228
1603090;GELUMBANG;0.216403934
1603091;LEMBAK;0.227323215
1603092;SUNGAI ROTAN;0.21603883
1603093;MUARA BELIDA;0.171660182
1603094;KELEKAR;0.217202973
1603095;BELIDA DARAT;0.227148799
1604011;TANJUNG SAKTI PUMI;0.251413102
1604012;TANJUNG SAKTI PUMU;0.234297029
1604040;KOTA AGUNG;0.20598195
1604041;MULAK ULU;0.250237172
1604042;TANJUNG TEBAT;0.28091729
1604043;MULAK SEBINGKAI;0.286760488
1604050;PULAU PINANG;0.287801834
1604051;PAGAR GUNUNG;0.239852452
1604052;GUMAY ULU;0.252007877
1604060;JARAI;0.208797603
1604061;PAJAR BULAN;0.258022827
1604062;MUARA PAYANG;0.267404906
1604063;SUKAMERINDU;0.236374745
1604111;KIKIM BARAT;0.280960273
1604112;KIKIM TIMUR;0.264032656
1604113;KIKIM SELATAN;0.245638899
1604114;KIKIM TENGAH;0.282992373
1604120;LAHAT;0.257601021
1604121;GUMAY TALANG;0.273491886
1604122;PSEKSU;0.204766008
1604123;LAHAT SELATAN;0.282842786
1604131;MERAPI BARAT;0.229598564
1604132;MERAPI TIMUR;0.227657783
1604133;MERAPI SELATAN;0.228074428
1605030;SUKU TENGAH LAKITAN ULU;0.211390212
1605031;SELANGIT;0.207656639
1605032;SUMBER HARTA;0.224241439
1605040;TUGUMULYO;0.203405535
1605041;PURWODADI;0.215053404
1605050;MUARA BELITI;0.263095369
1605051;TIANG PUMPUNG KEPUNGUT;0.272231968
1605060;JAYALOKA;0.245380465
1605061;SUKA KARYA;0.235010475
1605070;MUARA KELINGI;0.227084052
1605071;BULANG TENGAH SUKU ULU;0.240693004
1605072;TUAH NEGERI;0.244044037
1605080;MUARA LAKITAN;0.222902347
1605090;MEGANG SAKTI;0.218801566
1606010;SANGA DESA;0.206149925
1606020;BABAT TOMAN;0.199386134
1606021;BATANGHARI LEKO;0.211329955
1606022;PLAKAT TINGGI;0.205939894
1606023;LAWANG WETAN;0.212875879
1606030;SUNGAI KERUH;0.231295621
1606031;JIRAK JAYA;0.239191868
1606040;SEKAYU;0.220839024
1606041;LAIS;0.233629674
1606090;SUNGAI LILIN;0.216077849
1606091;KELUANG;0.220301487
1606092;BABAT SUPAT;0.211020953
1606100;BAYUNG LENCIR;0.199117839
1606101;LALAN;0.190348974
1606102;TUNGKAL JAYA;0.21576762
1607010;RANTAU BAYUR;0.187495283
1607020;BETUNG;0.225761543
1607021;SUAK TAPEH;0.230511244
1607030;PULAU RIMAU;0.213143877
1607031;TUNGKAL ILIR;0.205506281
1607032;SELAT PENUGUAN;0.194185423
1607040;BANYUASIN III;0.229678378
1607041;SEMBAWA;0.213435367
1607050;TALANG KELAPA;0.196663731
1607051;TANJUNG LAGO;0.188897748
1607060;BANYUASIN I;0.17791912
1607061;AIR KUMBANG;0.206066646
1607070;RAMBUTAN;0.182471022
1607080;MUARA PADANG;0.175452468
1607081;MUARA SUGIHAN;0.147384764
1607090;MAKARTI JAYA;0.135744182
1607091;AIR SALEK;0.148184179
1607100;BANYUASIN II;0.187501393
1607101;KARANG AGUNG ILIR;0.153529086
1607110;MUARA TELANG;0.151747701
1607111;SUMBER MARGA TELANG;0.15671887
1608010;MEKAKAU ILIR;0.249418304
1608020;BANDING AGUNG;0.261286887
1608021;WARKUK RANAU SELATAN;0.214614222
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.26768127
1608030;BUAY PEMACA;0.26120905
1608040;SIMPANG;0.261859029
1608041;BUANA PEMACA;0.27360231
1608050;MUARADUA;0.295167646
1608051;BUAY RAWAN;0.310753456
1608060;BUAY SANDANG AJI;0.303028887
1608061;TIGA DIHAJI;0.307906734
1608070;BUAY RUNJUNG;0.269330685
1608071;RUNJUNG AGUNG;0.259376362
1608080;KISAM TINGGI;0.212090374
1608090;MUARADUA KISAM;0.18398805
1608091;KISAM ILIR;0.205858694
1608100;PULAU BERINGIN;0.229848829
1608101;SINDANG DANAU;0.216808841
1608102;SUNGAI ARE;0.292923954
1609010;MARTAPURA;0.220380016
1609011;BUNGA MAYANG;0.242997878
1609012;JAYA PURA;0.276065571
1609020;BUAY PEMUKA PELIUNG;0.207034409
1609030;BUAY MADANG;0.178751363
1609031;BUAY MADANG TIMUR;0.196437664
1609032;BUAY PEMUKA BANGSA RAJA;0.235481246
1609040;MADANG SUKU II;0.207044531
1609041;MADANG SUKU III;0.221463369
1609050;MADANG SUKU I;0.194861233
1609051;BELITANG MADANG RAYA;0.193844588
1609060;BELITANG;0.14885094
1609061;BELITANG JAYA;0.212250435
1609070;BELITANG III;0.198660056
1609080;BELITANG II;0.186417422
1609081;BELITANG MULYA;0.164926019
1609090;SEMENDAWAI SUKU III;0.183438813
1609091;SEMENDAWAI TIMUR;0.194703413
1609100;CEMPAKA;0.203288098
1609101;SEMENDAWAI BARAT;0.196691937
1610010;MUARA KUANG;0.208303023
1610011;RAMBANG KUANG;0.223027253
1610012;LUBUK KELIAT;0.196877976
1610020;TANJUNG BATU;0.177323819
1610021;PAYARAMAN;0.213140262
1610030;RANTAU ALAI;0.199216754
1610031;KANDIS;0.194586195
1610040;TANJUNG RAJA;0.189148441
1610041;RANTAU PANJANG;0.162834386
1610042;SUNGAI PINANG;0.183436871
1610050;PEMULUTAN;0.119224082
1610051;PEMULUTAN SELATAN;0.149906826
1610052;PEMULUTAN BARAT;0.137911605
1610060;INDRALAYA;0.157536193
1610061;INDRALAYA UTARA;0.181328352
1610062;INDRALAYA SELATAN;0.182952227
1611010;MUARA PINANG;0.273474016
1611020;LINTANG KANAN;0.265175807
1611030;PENDOPO;0.301004454
1611031;PENDOPO BARAT;0.306289396
1611040;PASEMAH AIR KERUH;0.271535236
1611050;ULU MUSI;0.336471591
1611051;SIKAP DALAM;0.326452859
1611060;TALANG PADANG;0.283702106
1611070;TEBING TINGGI;0.27049772
1611071;SALING;0.259232612
1612010;TALANG UBI;0.229305707
1612020;TANAH ABANG;0.225829934
1612030;ABAB;0.221692423
1612040;PENUKAL;0.238490834
1612050;PENUKAL UTARA;0.232413034
1613010;ULU RAWAS;0.232384882
1613020;KARANG JAYA;0.2396088
1613030;RAWAS ULU;0.239859478
1613040;RUPIT;0.239767356
1613050;KARANG DAPO;0.213516688
1613060;RAWAS ILIR;0.211992748
1613070;NIBUNG;0.214628594
1671010;ILIR BARAT II;0.074258364
1671011;GANDUS;0.154241516
1671020;SEBERANG ULU I;0.068958624
1671021;KERTAPATI;0.138469025
1671022;JAKABARING;0.109884572
1671030;SEBERANG ULU II;0.084755499
1671031;PLAJU;0.116480108
