idkec;nmkec;EVI
6301010;PANYIPATAN;0.268911609
6301020;TAKISUNG;0.260440099
6301030;KURAU;0.205282234
6301031;BUMI MAKMUR;0.191162071
6301040;BATI-BATI;0.287131665
6301050;TAMBANG ULANG;0.31618834
6301060;PELAIHARI;0.334377063
6301061;BAJUIN;0.376635127
6301070;BATU AMPAR;0.358888328
6301080;JORONG;0.300916316
6301090;KINTAP;0.323382659
6302010;PULAU SEMBILAN;0.236634528
6302020;PULAU LAUT BARAT;0.370669838
6302021;PULAU LAUT TANJUNG SELAYAR;0.288757492
6302030;PULAU LAUT SELATAN;0.336010072
6302031;PULAU LAUT KEPULAUAN;0.318326189
6302040;PULAU LAUT TIMUR;0.354618541
6302050;PULAU SEBUKU;0.307729486
6302060;PULAU LAUT UTARA;0.30120347
6302061;PULAU LAUT TENGAH;0.364745625
6302062;PULAU LAUT SIGAM;0.318230487
6302120;KELUMPANG SELATAN;0.32889956
6302121;KELUMPANG HILIR;0.342193475
6302130;KELUMPANG HULU;0.392847178
6302140;HAMPANG;0.360495565
6302150;SUNGAI DURIAN;0.380038344
6302160;KELUMPANG TENGAH;0.365878413
6302161;KELUMPANG BARAT;0.39815119
6302170;KELUMPANG UTARA;0.360288171
6302180;PAMUKAN SELATAN;0.324295417
6302190;SAMPANAHAN;0.354430417
6302200;PAMUKAN UTARA;0.381929811
6302201;PAMUKAN BARAT;0.402701415
6303010;ALUH - ALUH;0.148577035
6303011;BERUNTUNG BARU;0.181531056
6303020;GAMBUT;0.219819327
6303030;KERTAK HANYAR;0.217897123
6303031;TATAH MAKMUR;0.230642402
6303040;SUNGAI TABUK;0.215644005
6303050;MARTAPURA;0.273325031
6303051;MARTAPURA TIMUR;0.223046914
6303052;MARTAPURA BARAT;0.209179891
6303060;ASTAMBUL;0.256075366
6303070;KARANG INTAN;0.367078855
6303080;ARANIO;0.334761737
6303090;SUNGAI PINANG;0.373862265
6303091;PARAMASAN;0.36592873
