idkec;nmkec;EVI
1601052;LENGKITI;0.444780463
1601070;SOSOH BUAY RAYAP;0.44517233
1601080;PENGANDONAN;0.462761221
1601081;SEMIDANG AJI;0.480875138
1601082;ULU OGAN;0.384969073
1601083;MUARA JAYA;0.409738634
1601090;PENINJAUAN;0.419911511
1601091;LUBUK BATANG;0.451313379
1601092;SINAR PENINJAUAN;0.39215528
1601093;KEDATON PENINJAUAN RAYA;0.404684854
1601130;BATU RAJA TIMUR;0.405579265
1601131;LUBUK RAJA;0.396592737
1601140;BATU RAJA BARAT;0.46420648
1602010;LEMPUING;0.355068618
1602011;LEMPUING JAYA;0.373800954
1602020;MESUJI;0.391691971
1602021;SUNGAI MENANG;0.285588072
1602022;MESUJI MAKMUR;0.368730697
1602023;MESUJI RAYA;0.399837254
1602030;TULUNG SELAPAN;0.319200203
1602031;CENGAL;0.296155625
1602040;PEDAMARAN;0.347687457
1602041;PEDAMARAN TIMUR;0.350482097
1602050;TANJUNG LUBUK;0.379679438
1602051;TELUK GELAM;0.370588921
1602060;KOTA KAYU AGUNG;0.359978637
1602120;SIRAH PULAU PADANG;0.350558574
1602121;JEJAWI;0.285005595
1602130;PAMPANGAN;0.303485192
1602131;PANGKALAN LAPAM;0.336400559
1602140;AIR SUGIHAN;0.314274215
1603010;SEMENDO DARAT LAUT;0.400660634
1603011;SEMENDO DARAT ULU;0.289296806
1603012;SEMENDO DARAT TENGAH;0.345220289
1603020;TANJUNG AGUNG;0.442527023
1603021;PANANG ENIM;0.434389771
1603031;RAMBANG;0.429618531
1603032;LUBAI;0.433979454
1603033;LUBAI ULU;0.448691054
1603040;LAWANG KIDUL;0.367968675
1603050;MUARA ENIM;0.373187189
1603051;UJAN MAS;0.430593789
1603060;GUNUNG MEGANG;0.424993248
1603061;BENAKAT;0.444885931
1603062;BELIMBING;0.40486645
1603070;RAMBANG NIRU;0.43196075
1603071;EMPAT PETULAI DANGKU;0.392533789
1603090;GELUMBANG;0.391613266
1603091;LEMBAK;0.419693264
1603092;SUNGAI ROTAN;0.382968074
1603093;MUARA BELIDA;0.287273763
1603094;KELEKAR;0.397281507
1603095;BELIDA DARAT;0.414072421
1604011;TANJUNG SAKTI PUMI;0.368580512
1604012;TANJUNG SAKTI PUMU;0.37783835
1604040;KOTA AGUNG;0.349949789
1604041;MULAK ULU;0.400351052
1604042;TANJUNG TEBAT;0.412684103
1604043;MULAK SEBINGKAI;0.428698974
1604050;PULAU PINANG;0.465146468
1604051;PAGAR GUNUNG;0.380384011
1604052;GUMAY ULU;0.411110143
1604060;JARAI;0.35165619
1604061;PAJAR BULAN;0.407342515
1604062;MUARA PAYANG;0.423396998
1604063;SUKAMERINDU;0.377449592
1604111;KIKIM BARAT;0.449203815
1604112;KIKIM TIMUR;0.433914435
1604113;KIKIM SELATAN;0.383548915
1604114;KIKIM TENGAH;0.45132963
1604120;LAHAT;0.429105372
1604121;GUMAY TALANG;0.44419277
1604122;PSEKSU;0.349230967
1604123;LAHAT SELATAN;0.465736738
1604131;MERAPI BARAT;0.382724005
1604132;MERAPI TIMUR;0.404096513
1604133;MERAPI SELATAN;0.384970915
1605030;SUKU TENGAH LAKITAN ULU;0.35611542
1605031;SELANGIT;0.345676382
1605032;SUMBER HARTA;0.376730031
1605040;TUGUMULYO;0.330953709
1605041;PURWODADI;0.358710649
1605050;MUARA BELITI;0.423260085
1605051;TIANG PUMPUNG KEPUNGUT;0.435238789
1605060;JAYALOKA;0.403038046
1605061;SUKA KARYA;0.394656028
1605070;MUARA KELINGI;0.402539535
1605071;BULANG TENGAH SUKU ULU;0.405085103
1605072;TUAH NEGERI;0.421421586
1605080;MUARA LAKITAN;0.402168503
1605090;MEGANG SAKTI;0.386740406
1606010;SANGA DESA;0.373792076
1606020;BABAT TOMAN;0.376738642
1606021;BATANGHARI LEKO;0.402488345
1606022;PLAKAT TINGGI;0.397289129
1606023;LAWANG WETAN;0.408544348
1606030;SUNGAI KERUH;0.447454233
1606031;JIRAK JAYA;0.451589611
1606040;SEKAYU;0.423598167
1606041;LAIS;0.428378414
1606090;SUNGAI LILIN;0.442633393
1606091;KELUANG;0.456487265
1606092;BABAT SUPAT;0.416095194
1606100;BAYUNG LENCIR;0.402147846
1606101;LALAN;0.374985301
1606102;TUNGKAL JAYA;0.447673995
1607010;RANTAU BAYUR;0.323022182
1607020;BETUNG;0.426119925
1607021;SUAK TAPEH;0.437610343
1607030;PULAU RIMAU;0.413103362
1607031;TUNGKAL ILIR;0.42083459
1607032;SELAT PENUGUAN;0.369451318
1607040;BANYUASIN III;0.439053642
1607041;SEMBAWA;0.406390869
1607050;TALANG KELAPA;0.372111909
1607051;TANJUNG LAGO;0.359028506
1607060;BANYUASIN I;0.333279078
1607061;AIR KUMBANG;0.398302597
1607070;RAMBUTAN;0.332662151
1607080;MUARA PADANG;0.338558458
1607081;MUARA SUGIHAN;0.250386142
1607090;MAKARTI JAYA;0.235967163
1607091;AIR SALEK;0.263900497
1607100;BANYUASIN II;0.338723652
1607101;KARANG AGUNG ILIR;0.269915192
1607110;MUARA TELANG;0.275927526
1607111;SUMBER MARGA TELANG;0.285184216
1608010;MEKAKAU ILIR;0.437008085
1608020;BANDING AGUNG;0.431838343
1608021;WARKUK RANAU SELATAN;0.366158513
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.43669845
1608030;BUAY PEMACA;0.42737339
1608040;SIMPANG;0.442482707
1608041;BUANA PEMACA;0.454333541
1608050;MUARADUA;0.487483376
1608051;BUAY RAWAN;0.499201774
1608060;BUAY SANDANG AJI;0.499619824
1608061;TIGA DIHAJI;0.499754885
1608070;BUAY RUNJUNG;0.457969268
1608071;RUNJUNG AGUNG;0.443729979
1608080;KISAM TINGGI;0.376934306
1608090;MUARADUA KISAM;0.3422471
1608091;KISAM ILIR;0.376794536
1608100;PULAU BERINGIN;0.406567745
1608101;SINDANG DANAU;0.365374076
1608102;SUNGAI ARE;0.480654276
1609010;MARTAPURA;0.386153408
1609011;BUNGA MAYANG;0.411083836
1609012;JAYA PURA;0.466423965
1609020;BUAY PEMUKA PELIUNG;0.370314609
1609030;BUAY MADANG;0.313496935
1609031;BUAY MADANG TIMUR;0.341042404
1609032;BUAY PEMUKA BANGSA RAJA;0.406335944
1609040;MADANG SUKU II;0.358422028
1609041;MADANG SUKU III;0.397760749
1609050;MADANG SUKU I;0.341533072
1609051;BELITANG MADANG RAYA;0.339266943
1609060;BELITANG;0.261177863
1609061;BELITANG JAYA;0.363824624
1609070;BELITANG III;0.345121651
1609080;BELITANG II;0.341441646
1609081;BELITANG MULYA;0.293586616
1609090;SEMENDAWAI SUKU III;0.325183475
1609091;SEMENDAWAI TIMUR;0.347743679
1609100;CEMPAKA;0.367323367
1609101;SEMENDAWAI BARAT;0.351915232
1610010;MUARA KUANG;0.367220479
1610011;RAMBANG KUANG;0.403385038
1610012;LUBUK KELIAT;0.359388144
1610020;TANJUNG BATU;0.320850937
1610021;PAYARAMAN;0.390724703
1610030;RANTAU ALAI;0.367395724
1610031;KANDIS;0.361863472
1610040;TANJUNG RAJA;0.350445845
1610041;RANTAU PANJANG;0.301874773
1610042;SUNGAI PINANG;0.333682201
1610050;PEMULUTAN;0.191898124
1610051;PEMULUTAN SELATAN;0.244895368
1610052;PEMULUTAN BARAT;0.23040836
1610060;INDRALAYA;0.276836979
1610061;INDRALAYA UTARA;0.315642684
1610062;INDRALAYA SELATAN;0.318103677
1611010;MUARA PINANG;0.426568659
1611020;LINTANG KANAN;0.419410369
1611030;PENDOPO;0.454324904
1611031;PENDOPO BARAT;0.471984947
1611040;PASEMAH AIR KERUH;0.436466236
1611050;ULU MUSI;0.514463208
1611051;SIKAP DALAM;0.498911447
1611060;TALANG PADANG;0.453810568
1611070;TEBING TINGGI;0.440685215
1611071;SALING;0.423283102
1612010;TALANG UBI;0.444020906
1612020;TANAH ABANG;0.416099765
1612030;ABAB;0.394217561
1612040;PENUKAL;0.443775216
1612050;PENUKAL UTARA;0.441865664
1613010;ULU RAWAS;0.36491426
1613020;KARANG JAYA;0.390595351
1613030;RAWAS ULU;0.408239634
1613040;RUPIT;0.408255574
1613050;KARANG DAPO;0.379483986
1613060;RAWAS ILIR;0.392435974
1613070;NIBUNG;0.395330682
1671010;ILIR BARAT II;0.130918316
1671011;GANDUS;0.268600969
1671020;SEBERANG ULU I;0.12331293
1671021;KERTAPATI;0.231710732
1671022;JAKABARING;0.19587867
1671030;SEBERANG ULU II;0.154242483
1671031;PLAJU;0.20725509
1671040;ILIR BARAT I;0.285182386
1671041;BUKIT KECIL;0.100495248
1671050;ILIR TIMUR I;0.092990466
1671051;KEMUNING;0.12540296
1671060;ILIR TIMUR II;0.125499157
1671061;KALIDONI;0.202330332
1671062;ILIR TIMUR TIGA;0.146836289
1671070;SAKO;0.24647342
1671071;SEMATANG BORANG;0.310211547
1671080;SUKARAMI;0.255722268
1671081;ALANG ALANG LEBAR;0.259411179
1672010;RAMBANG KAPAK TENGAH;0.4247415
1672020;PRABUMULIH TIMUR;0.380080225
