idkec;nmkec;LAI
6301010;PANYIPATAN;0.854922201
6301020;TAKISUNG;0.824272277
6301030;KURAU;0.624711123
6301031;BUMI MAKMUR;0.573624375
6301040;BATI-BATI;0.920842365
6301050;TAMBANG ULANG;1.025969414
6301060;PELAIHARI;1.091776215
6301061;BAJUIN;1.244665889
6301070;BATU AMPAR;1.18045797
6301080;JORONG;0.970715233
6301090;KINTAP;1.05199846
6302010;PULAU SEMBILAN;0.738143721
6302020;PULAU LAUT BARAT;1.223083475
6302021;PULAU LAUT TANJUNG SELAYAR;0.926724604
6302030;PULAU LAUT SELATAN;1.097684441
6302031;PULAU LAUT KEPULAUAN;1.033704152
6302040;PULAU LAUT TIMUR;1.165009881
6302050;PULAU SEBUKU;0.995365282
6302060;PULAU LAUT UTARA;0.971754156
6302061;PULAU LAUT TENGAH;1.201649671
6302062;PULAU LAUT SIGAM;1.033357902
6302120;KELUMPANG SELATAN;1.071958609
6302121;KELUMPANG HILIR;1.120055993
6302130;KELUMPANG HULU;1.303321092
6302140;HAMPANG;1.186272954
6302150;SUNGAI DURIAN;1.25697873
6302160;KELUMPANG TENGAH;1.2057481
6302161;KELUMPANG BARAT;1.322511005
6302170;KELUMPANG UTARA;1.185522604
6302180;PAMUKAN SELATAN;1.055300817
6302190;SAMPANAHAN;1.164329248
6302200;PAMUKAN UTARA;1.263822055
6302201;PAMUKAN BARAT;1.338973721
6303010;ALUH - ALUH;0.419551713
6303011;BERUNTUNG BARU;0.53877936
6303020;GAMBUT;0.677306325
6303030;KERTAK HANYAR;0.670351789
6303031;TATAH MAKMUR;0.716464212
6303040;SUNGAI TABUK;0.662200011
6303050;MARTAPURA;0.870889961
6303051;MARTAPURA TIMUR;0.688983735
6303052;MARTAPURA BARAT;0.638812845
6303060;ASTAMBUL;0.808480675
6303070;KARANG INTAN;1.210091296
6303080;ARANIO;1.093167963
6303090;SUNGAI PINANG;1.234633676
6303091;PARAMASAN;1.205930145
6303100;PENGARON;1.223480947
6303101;SAMBUNG MAKMUR;1.162043469
6303110;MATARAMAN;1.06246094
6303120;SIMPANG EMPAT;1.084191924
6303121;TELAGA BAUNTUNG;1.14664685
6303122;CINTAPURI DARUSSALAM;0.79420832
6304010;TABUNGANEN;0.449691146
6304020;TAMBAN;0.820244411
6304030;MEKAR SARI;0.898640863
6304040;ANJIR PASAR;0.810572194
6304050;ANJIR MUARA;0.729084604
6304060;ALALAK;0.751767169
6304070;MANDASTANA;0.766360418
6304071;JEJANGKIT;0.810515046
6304080;BELAWANG;0.857882787
6304090;WANARAYA;1.32421909
6304100;BARAMBAI;1.151524942
6304110;RANTAU BADAUH;0.849712953
6304120;CERBON;0.925817145
6304130;BAKUMPAI;0.875275844
6304140;MARABAHAN;1.212255019
6304150;TABUKAN;1.106405754
6304160;KURIPAN;0.91775178
6305010;BINUANG;0.970304477
6305011;HATUNGUN;1.140582532
6305020;TAPIN SELATAN;0.932973081
6305021;SALAM BABARIS;1.034187103
6305030;TAPIN TENGAH;1.070370955
6305040;BUNGUR;1.014324345
6305050;PIANI;1.183749568
6305060;LOKPAIKAT;0.893963474
6305070;TAPIN UTARA;0.906216549
6305080;BAKARANGAN;0.934770631
6305090;CANDI LARAS SELATAN;0.879660196
6305100;CANDI LARAS UTARA;1.070453007
6306010;PADANG BATUNG;1.222260086
6306020;LOKSADO;1.128842796
6306030;TELAGA LANGSAT;1.212741977
6306040;ANGKINANG;1.008507778
6306050;KANDANGAN;1.295636848
6306060;SUNGAI RAYA;0.972408977
6306070;SIMPUR;1.04441271
6306080;KALUMPANG;0.937382763
6306090;DAHA SELATAN;1.008698114
6306091;DAHA BARAT;1.046559386
6306100;DAHA UTARA;0.982528062
6307010;HARUYAN;1.222522261
6307020;BATU BENAWA;1.180079684
6307030;HANTAKAN;1.186375062
6307040;BATANG ALAI SELATAN;1.156784319
6307041;BATANG ALAI TIMUR;1.053198725
6307050;BARABAI;0.947922104
6307060;LABUAN AMAS SELATAN;1.07231989
6307070;LABUAN AMAS UTARA;1.270734342
6307080;PANDAWAN;1.109911503
6307090;BATANG ALAI UTARA;1.187988048
6307091;LIMPASU;1.140023085
6308010;DANAU PANGGANG;1.092764143
6308011;PAMINGGIR;0.722248667
6308020;BABIRIK;1.253931853
6308030;SUNGAI PANDAN;1.232344008
6308031;SUNGAI TABUKAN;1.145598537
6308040;AMUNTAI SELATAN;1.075923461
6308050;AMUNTAI TENGAH;1.153942087
6308060;BANJANG;1.19787873
6308070;AMUNTAI UTARA;0.964564877
6308071;HAUR GADING;0.986693492
6309010;BANUA LAWAS;1.17636893
6309020;PUGAAN;0.899095167
6309030;KELUA;1.047984375
6309040;MUARA HARUS;1.124972598
6309050;TANTA;1.094913176
6309060;TANJUNG;1.205091751
6309070;MURUNG PUDAK;0.966212145
6309080;HARUAI;1.181285552
6309081;BINTANG ARA;1.263710932
6309090;UPAU;1.089278423
6309100;MUARA UYA;1.227818426
6309110;JARO;1.180311099
6310010;KUSAN HILIR;0.874197953
6310020;SUNGAI LOBAN;0.990990515
6310030;SATUI;1.064024295
6310031;ANGSANA;1.004669333
6310040;KUSAN HULU;1.089342425
6310041;KURANJI;1.183949196
6310050;BATU LICIN;1.018553328
6310051;KARANG BINTANG;1.181663676
6310052;SIMPANG EMPAT;0.981976087
6310053;MANTEWE;1.194020598
6311010;LAMPIHONG;1.173335758
6311020;BATU MANDI;1.191194788
6311030;AWAYAN;1.177009954
6311031;TEBING TINGGI;1.174320556
6311040;PARINGIN;0.861307626
6311041;PARINGIN SELATAN;1.131358061
6311050;JUAI;1.004296597
6311060;HALONG;1.144365806
6371010;BANJARMASIN SELATAN;0.64271175
6371020;BANJARMASIN TIMUR;0.593132837
6371030;BANJARMASIN BARAT;0.304329371
6371031;BANJARMASIN TENGAH;0.302811658
6371040;BANJARMASIN UTARA;0.666216475
6372010;LANDASAN ULIN;0.790539464
6372011;LIANG ANGGANG;0.69329348
6372020;CEMPAKA;0.913594572
6372031;BANJAR BARU UTARA;0.846478098
6372032;BANJAR BARU SELATAN;0.747434217
