idkec;nmkec;LAI
1601052;LENGKITI;1.491215714
1601070;SOSOH BUAY RAYAP;1.49263349
1601080;PENGANDONAN;1.556270098
1601081;SEMIDANG AJI;1.62180625
1601082;ULU OGAN;1.274818107
1601083;MUARA JAYA;1.364434377
1601090;PENINJAUAN;1.401239845
1601091;LUBUK BATANG;1.514851805
1601092;SINAR PENINJAUAN;1.300817803
1601093;KEDATON PENINJAUAN RAYA;1.346149803
1601130;BATU RAJA TIMUR;1.349385782
1601131;LUBUK RAJA;1.316872524
1601140;BATU RAJA BARAT;1.561499044
1602010;LEMPUING;1.166638258
1602011;LEMPUING JAYA;1.234411852
1602020;MESUJI;1.299141551
1602021;SUNGAI MENANG;0.915257645
1602022;MESUJI MAKMUR;1.21606766
1602023;MESUJI RAYA;1.328611186
1602030;TULUNG SELAPAN;1.036866333
1602031;CENGAL;0.953491051
1602040;PEDAMARAN;1.139933218
1602041;PEDAMARAN TIMUR;1.150044226
1602050;TANJUNG LUBUK;1.255680205
1602051;TELUK GELAM;1.222790717
1602060;KOTA KAYU AGUNG;1.184402707
1602120;SIRAH PULAU PADANG;1.15032092
1602121;JEJAWI;0.913150243
1602130;PAMPANGAN;0.980009423
1602131;PANGKALAN LAPAM;1.099097223
1602140;AIR SUGIHAN;1.019044109
1603010;SEMENDO DARAT LAUT;1.331590173
1603011;SEMENDO DARAT ULU;0.928675843
1603012;SEMENDO DARAT TENGAH;1.131007007
1603020;TANJUNG AGUNG;1.483062768
1603021;PANANG ENIM;1.45362219
1603031;RAMBANG;1.436359846
1603032;LUBAI;1.452137665
1603033;LUBAI ULU;1.505364232
1603040;LAWANG KIDUL;1.213310667
1603050;MUARA ENIM;1.232191249
1603051;UJAN MAS;1.43988833
1603060;GUNUNG MEGANG;1.419625572
1603061;BENAKAT;1.4915973
1603062;BELIMBING;1.346806817
1603070;RAMBANG NIRU;1.444833995
1603071;EMPAT PETULAI DANGKU;1.302187247
1603090;GELUMBANG;1.298856797
1603091;LEMBAK;1.400450231
1603092;SUNGAI ROTAN;1.267578491
1603093;MUARA BELIDA;0.921356475
1603094;KELEKAR;1.319364491
1603095;BELIDA DARAT;1.380114019
1604011;TANJUNG SAKTI PUMI;1.215524292
1604012;TANJUNG SAKTI PUMU;1.24901915
1604040;KOTA AGUNG;1.148118337
1604041;MULAK ULU;1.330470107
1604042;TANJUNG TEBAT;1.375091086
1604043;MULAK SEBINGKAI;1.433032887
1604050;PULAU PINANG;1.56489992
1604051;PAGAR GUNUNG;1.258229351
1604052;GUMAY ULU;1.369396498
1604060;JARAI;1.154292095
1604061;PAJAR BULAN;1.355765219
1604062;MUARA PAYANG;1.41385034
1604063;SUKAMERINDU;1.247612625
1604111;KIKIM BARAT;1.507219404
1604112;KIKIM TIMUR;1.451902425
1604113;KIKIM SELATAN;1.269679973
1604114;KIKIM TENGAH;1.514910601
1604120;LAHAT;1.434503236
1604121;GUMAY TALANG;1.489089442
1604122;PSEKSU;1.145517637
1604123;LAHAT SELATAN;1.567035519
1604131;MERAPI BARAT;1.266695451
1604132;MERAPI TIMUR;1.344021184
1604133;MERAPI SELATAN;1.274824769
1605030;SUKU TENGAH LAKITAN ULU;1.170425591
1605031;SELANGIT;1.132657149
1605032;SUMBER HARTA;1.245009251
1605040;TUGUMULYO;1.07939052
1605041;PURWODADI;1.179815127
1605050;MUARA BELITI;1.413354986
1605051;TIANG PUMPUNG KEPUNGUT;1.456693937
1605060;JAYALOKA;1.340191651
1605061;SUKA KARYA;1.30986551
1605070;MUARA KELINGI;1.338388038
1605071;BULANG TENGAH SUKU ULU;1.347597904
1605072;TUAH NEGERI;1.406703298
1605080;MUARA LAKITAN;1.337045645
1605090;MEGANG SAKTI;1.28122679
1606010;SANGA DESA;1.234379731
1606020;BABAT TOMAN;1.245040405
1606021;BATANGHARI LEKO;1.338202833
1606022;PLAKAT TINGGI;1.319392069
1606023;LAWANG WETAN;1.360113453
1606030;SUNGAI KERUH;1.500889416
1606031;JIRAK JAYA;1.515851213
1606040;SEKAYU;1.414578169
1606041;LAIS;1.431873101
1606090;SUNGAI LILIN;1.483447616
1606091;KELUANG;1.533570925
1606092;BABAT SUPAT;1.387432413
1606100;BAYUNG LENCIR;1.336970907
1606101;LALAN;1.23869682
1606102;TUNGKAL JAYA;1.501684515
1607010;RANTAU BAYUR;1.050694256
1607020;BETUNG;1.42370189
1607021;SUAK TAPEH;1.465274221
1607030;PULAU RIMAU;1.376607964
1607031;TUNGKAL ILIR;1.404579546
1607032;SELAT PENUGUAN;1.218674869
1607040;BANYUASIN III;1.470496078
1607041;SEMBAWA;1.352322163
1607050;TALANG KELAPA;1.228300888
1607051;TANJUNG LAGO;1.180965133
1607060;BANYUASIN I;1.087803703
1607061;AIR KUMBANG;1.323058796
1607070;RAMBUTAN;1.085571663
1607080;MUARA PADANG;1.106904501
1607081;MUARA SUGIHAN;0.787897063
1607090;MAKARTI JAYA;0.735729198
1607091;AIR SALEK;0.836791998
1607100;BANYUASIN II;1.107502174
1607101;KARANG AGUNG ILIR;0.858553165
1607110;MUARA TELANG;0.880305788
1607111;SUMBER MARGA TELANG;0.913796494
1608010;MEKAKAU ILIR;1.463095253
1608020;BANDING AGUNG;1.444391127
1608021;WARKUK RANAU SELATAN;1.2067615
1608022;BUAY PEMATANG RIBU RANAU TENGAH;1.461974992
1608030;BUAY PEMACA;1.428236924
1608040;SIMPANG;1.482902435
1608041;BUANA PEMACA;1.525778751
1608050;MUARADUA;1.645714853
1608051;BUAY RAWAN;1.688112019
1608060;BUAY SANDANG AJI;1.689624524
1608061;TIGA DIHAJI;1.690113173
1608070;BUAY RUNJUNG;1.538932811
1608071;RUNJUNG AGUNG;1.487415065
1608080;KISAM TINGGI;1.245748319
1608090;MUARADUA KISAM;1.12025001
1608091;KISAM ILIR;1.245242629
1608100;PULAU BERINGIN;1.352962101
1608101;SINDANG DANAU;1.203923406
1608102;SUNGAI ARE;1.621007169
1609010;MARTAPURA;1.279103031
1609011;BUNGA MAYANG;1.369301317
1609012;JAYA PURA;1.569521905
1609020;BUAY PEMUKA PELIUNG;1.221798256
1609030;BUAY MADANG;1.01623191
1609031;BUAY MADANG TIMUR;1.115891419
1609032;BUAY PEMUKA BANGSA RAJA;1.352123447
1609040;MADANG SUKU II;1.178770896
1609041;MADANG SUKU III;1.321098391
1609050;MADANG SUKU I;1.117666656
1609051;BELITANG MADANG RAYA;1.109467801
1609060;BELITANG;0.826941509
1609061;BELITANG JAYA;1.19831749
1609070;BELITANG III;1.130650134
1609080;BELITANG II;1.117335874
1609081;BELITANG MULYA;0.944196378
1609090;SEMENDAWAI SUKU III;1.058513814
1609091;SEMENDAWAI TIMUR;1.140136632
1609100;CEMPAKA;1.210975943
1609101;SEMENDAWAI BARAT;1.15522931
1610010;MUARA KUANG;1.210603694
1610011;RAMBANG KUANG;1.341447066
1610012;LUBUK KELIAT;1.182266306
