idkec;nmkec;NDVI
6301010;PANYIPATAN;0.218432889
6301020;TAKISUNG;0.226528167
6301030;KURAU;0.18927691
6301031;BUMI MAKMUR;0.174584622
6301040;BATI-BATI;0.226129515
6301050;TAMBANG ULANG;0.252215047
6301060;PELAIHARI;0.265614398
6301061;BAJUIN;0.284579921
6301070;BATU AMPAR;0.257340196
6301080;JORONG;0.230310192
6301090;KINTAP;0.242915724
6302010;PULAU SEMBILAN;0.205253556
6302020;PULAU LAUT BARAT;0.252887683
6302021;PULAU LAUT TANJUNG SELAYAR;0.21146394
6302030;PULAU LAUT SELATAN;0.238098204
6302031;PULAU LAUT KEPULAUAN;0.229013551
6302040;PULAU LAUT TIMUR;0.248418904
6302050;PULAU SEBUKU;0.251072524
6302060;PULAU LAUT UTARA;0.221739798
6302061;PULAU LAUT TENGAH;0.262007423
6302062;PULAU LAUT SIGAM;0.234747387
6302120;KELUMPANG SELATAN;0.248469662
6302121;KELUMPANG HILIR;0.251082689
6302130;KELUMPANG HULU;0.30341233
6302140;HAMPANG;0.269550127
6302150;SUNGAI DURIAN;0.275367116
6302160;KELUMPANG TENGAH;0.280442674
6302161;KELUMPANG BARAT;0.293141117
6302170;KELUMPANG UTARA;0.267459713
6302180;PAMUKAN SELATAN;0.245794349
6302190;SAMPANAHAN;0.255951341
6302200;PAMUKAN UTARA;0.265745442
6302201;PAMUKAN BARAT;0.29237221
6303010;ALUH - ALUH;0.138169691
6303011;BERUNTUNG BARU;0.165938691
6303020;GAMBUT;0.192683496
6303030;KERTAK HANYAR;0.190688064
6303031;TATAH MAKMUR;0.197668535
6303040;SUNGAI TABUK;0.196327096
6303050;MARTAPURA;0.223494965
6303051;MARTAPURA TIMUR;0.199107124
6303052;MARTAPURA BARAT;0.189369969
6303060;ASTAMBUL;0.215570022
6303070;KARANG INTAN;0.287049091
6303080;ARANIO;0.26169518
6303090;SUNGAI PINANG;0.278334514
6303091;PARAMASAN;0.271733536
6303100;PENGARON;0.278559422
6303101;SAMBUNG MAKMUR;0.273226821
6303110;MATARAMAN;0.24981388
6303120;SIMPANG EMPAT;0.261787647
6303121;TELAGA BAUNTUNG;0.266552808
6303122;CINTAPURI DARUSSALAM;0.213280886
6304010;TABUNGANEN;0.152020207
6304020;TAMBAN;0.222165977
6304030;MEKAR SARI;0.242836816
6304040;ANJIR PASAR;0.229504844
6304050;ANJIR MUARA;0.219295263
6304060;ALALAK;0.206197297
6304070;MANDASTANA;0.219918264
6304071;JEJANGKIT;0.222145088
6304080;BELAWANG;0.23142762
6304090;WANARAYA;0.301173639
6304100;BARAMBAI;0.279618368
6304110;RANTAU BADAUH;0.230946624
6304120;CERBON;0.239521561
6304130;BAKUMPAI;0.234968478
6304140;MARABAHAN;0.288788137
6304150;TABUKAN;0.271935924
6304160;KURIPAN;0.236998263
6305010;BINUANG;0.244492944
6305011;HATUNGUN;0.262683788
6305020;TAPIN SELATAN;0.234989395
6305021;SALAM BABARIS;0.244834919
6305030;TAPIN TENGAH;0.261899173
6305040;BUNGUR;0.242727345
6305050;PIANI;0.265101843
6305060;LOKPAIKAT;0.22284243
6305070;TAPIN UTARA;0.224331691
6305080;BAKARANGAN;0.249067354
6305090;CANDI LARAS SELATAN;0.237396853
6305100;CANDI LARAS UTARA;0.26418803
6306010;PADANG BATUNG;0.282012165
6306020;LOKSADO;0.26095244
6306030;TELAGA LANGSAT;0.276715285
6306040;ANGKINANG;0.242366721
6306050;KANDANGAN;0.290381002
6306060;SUNGAI RAYA;0.245633478
6306070;SIMPUR;0.252615321
6306080;KALUMPANG;0.23470948
6306090;DAHA SELATAN;0.244938129
6306091;DAHA BARAT;0.249276258
6306100;DAHA UTARA;0.236184504
6307010;HARUYAN;0.282477536
6307020;BATU BENAWA;0.280895747
6307030;HANTAKAN;0.26817428
6307040;BATANG ALAI SELATAN;0.27902322
6307041;BATANG ALAI TIMUR;0.245359897
6307050;BARABAI;0.228119787
6307060;LABUAN AMAS SELATAN;0.252631715
6307070;LABUAN AMAS UTARA;0.288269354
6307080;PANDAWAN;0.264812483
6307090;BATANG ALAI UTARA;0.277188161
6307091;LIMPASU;0.267587589
6308010;DANAU PANGGANG;0.271875595
6308011;PAMINGGIR;0.200111229
6308020;BABIRIK;0.293871656
6308030;SUNGAI PANDAN;0.293141927
6308031;SUNGAI TABUKAN;0.291099163
6308040;AMUNTAI SELATAN;0.265281209
6308050;AMUNTAI TENGAH;0.278531586
6308060;BANJANG;0.286950786
6308070;AMUNTAI UTARA;0.247555987
6308071;HAUR GADING;0.249906021
6309010;BANUA LAWAS;0.284918718
6309020;PUGAAN;0.235884119
6309030;KELUA;0.247829194
6309040;MUARA HARUS;0.269288126
6309050;TANTA;0.259177747
6309060;TANJUNG;0.278662336
6309070;MURUNG PUDAK;0.232127387
6309080;HARUAI;0.272623636
6309081;BINTANG ARA;0.283283572
6309090;UPAU;0.25463854
6309100;MUARA UYA;0.275656409
6309110;JARO;0.255052529
6310010;KUSAN HILIR;0.223620865
6310020;SUNGAI LOBAN;0.240749184
6310030;SATUI;0.247228588
6310031;ANGSANA;0.238047035
6310040;KUSAN HULU;0.254273889
6310041;KURANJI;0.26490358
6310050;BATU LICIN;0.240759395
6310051;KARANG BINTANG;0.258867094
6310052;SIMPANG EMPAT;0.226262467
6310053;MANTEWE;0.264117195
6311010;LAMPIHONG;0.28578716
6311020;BATU MANDI;0.282233179
6311030;AWAYAN;0.282044146
6311031;TEBING TINGGI;0.271697678
6311040;PARINGIN;0.215279662
6311041;PARINGIN SELATAN;0.272089867
6311050;JUAI;0.243808482
6311060;HALONG;0.262300549
6371010;BANJARMASIN SELATAN;0.175180687
6371020;BANJARMASIN TIMUR;0.158535068
6371030;BANJARMASIN BARAT;0.085677177
6371031;BANJARMASIN TENGAH;0.083591273
6371040;BANJARMASIN UTARA;0.171588897
6372010;LANDASAN ULIN;0.20146402
6372011;LIANG ANGGANG;0.187014606
6372020;CEMPAKA;0.225266426
6372031;BANJAR BARU UTARA;0.206190454
6372032;BANJAR BARU SELATAN;0.178958609
