idkec;nmkec;SAVI
1601052;LENGKITI;0.498949896
1601070;SOSOH BUAY RAYAP;0.507561767
1601080;PENGANDONAN;0.517062619
1601081;SEMIDANG AJI;0.528912318
1601082;ULU OGAN;0.433335221
1601083;MUARA JAYA;0.456108795
1601090;PENINJAUAN;0.455141011
1601091;LUBUK BATANG;0.485173756
1601092;SINAR PENINJAUAN;0.435774526
1601093;KEDATON PENINJAUAN RAYA;0.456275117
1601130;BATU RAJA TIMUR;0.448902582
1601131;LUBUK RAJA;0.430205791
1601140;BATU RAJA BARAT;0.51148628
1602010;LEMPUING;0.38612454
1602011;LEMPUING JAYA;0.406932214
1602020;MESUJI;0.424122364
1602021;SUNGAI MENANG;0.301623989
1602022;MESUJI MAKMUR;0.40404117
1602023;MESUJI RAYA;0.429659876
1602030;TULUNG SELAPAN;0.348760418
1602031;CENGAL;0.311568023
1602040;PEDAMARAN;0.382777931
1602041;PEDAMARAN TIMUR;0.387382526
1602050;TANJUNG LUBUK;0.419124348
1602051;TELUK GELAM;0.409273811
1602060;KOTA KAYU AGUNG;0.396555206
1602120;SIRAH PULAU PADANG;0.387475116
1602121;JEJAWI;0.335661862
1602130;PAMPANGAN;0.343305247
1602131;PANGKALAN LAPAM;0.367796852
1602140;AIR SUGIHAN;0.344929076
1603010;SEMENDO DARAT LAUT;0.462771382
1603011;SEMENDO DARAT ULU;0.346059913
1603012;SEMENDO DARAT TENGAH;0.392078589
1603020;TANJUNG AGUNG;0.498433553
1603021;PANANG ENIM;0.490198401
1603031;RAMBANG;0.451863961
1603032;LUBAI;0.463454918
1603033;LUBAI ULU;0.468572603
1603040;LAWANG KIDUL;0.414525938
1603050;MUARA ENIM;0.412881309
1603051;UJAN MAS;0.463329924
1603060;GUNUNG MEGANG;0.447187463
1603061;BENAKAT;0.461918707
1603062;BELIMBING;0.42958833
1603070;RAMBANG NIRU;0.451094334
1603071;EMPAT PETULAI DANGKU;0.417706441
1603090;GELUMBANG;0.425297764
1603091;LEMBAK;0.448060279
1603092;SUNGAI ROTAN;0.427866915
1603093;MUARA BELIDA;0.334796867
1603094;KELEKAR;0.428419162
1603095;BELIDA DARAT;0.446875436
1604011;TANJUNG SAKTI PUMI;0.485402873
1604012;TANJUNG SAKTI PUMU;0.458780725
1604040;KOTA AGUNG;0.411470557
1604041;MULAK ULU;0.491507282
1604042;TANJUNG TEBAT;0.553022041
1604043;MULAK SEBINGKAI;0.557594263
1604050;PULAU PINANG;0.557836525
1604051;PAGAR GUNUNG;0.468019044
1604052;GUMAY ULU;0.493194425
1604060;JARAI;0.415544197
1604061;PAJAR BULAN;0.504801678
1604062;MUARA PAYANG;0.521411864
1604063;SUKAMERINDU;0.473249752
1604111;KIKIM BARAT;0.546388513
1604112;KIKIM TIMUR;0.515036056
1604113;KIKIM SELATAN;0.476863442
1604114;KIKIM TENGAH;0.549790726
1604120;LAHAT;0.50493245
1604121;GUMAY TALANG;0.528949729
1604122;PSEKSU;0.400331901
1604123;LAHAT SELATAN;0.54986777
1604131;MERAPI BARAT;0.455235112
1604132;MERAPI TIMUR;0.451110024
1604133;MERAPI SELATAN;0.449049654
1605030;SUKU TENGAH LAKITAN ULU;0.414610925
1605031;SELANGIT;0.405178205
1605032;SUMBER HARTA;0.445930187
1605040;TUGUMULYO;0.407958477
1605041;PURWODADI;0.429296983
1605050;MUARA BELITI;0.513529503
1605051;TIANG PUMPUNG KEPUNGUT;0.527086202
1605060;JAYALOKA;0.478511207
1605061;SUKA KARYA;0.463026147
1605070;MUARA KELINGI;0.449470729
1605071;BULANG TENGAH SUKU ULU;0.473148653
1605072;TUAH NEGERI;0.479824364
1605080;MUARA LAKITAN;0.444540339
1605090;MEGANG SAKTI;0.434579826
1606010;SANGA DESA;0.410889442
1606020;BABAT TOMAN;0.398491354
1606021;BATANGHARI LEKO;0.419661963
1606022;PLAKAT TINGGI;0.412179426
1606023;LAWANG WETAN;0.421601403
1606030;SUNGAI KERUH;0.456959756
1606031;JIRAK JAYA;0.472812098
1606040;SEKAYU;0.438760956
1606041;LAIS;0.459516379
1606090;SUNGAI LILIN;0.434684169
1606091;KELUANG;0.441749037
1606092;BABAT SUPAT;0.420847682
1606100;BAYUNG LENCIR;0.399927566
1606101;LALAN;0.383777882
1606102;TUNGKAL JAYA;0.434282143
1607010;RANTAU BAYUR;0.366867617
1607020;BETUNG;0.448020205
1607021;SUAK TAPEH;0.459755848
1607030;PULAU RIMAU;0.429473684
1607031;TUNGKAL ILIR;0.414937586
1607032;SELAT PENUGUAN;0.392612454
