idkec;nmkec;SIPI
1601052;LENGKITI;0.791873978
1601070;SOSOH BUAY RAYAP;0.762241534
1601080;PENGANDONAN;0.791716924
1601081;SEMIDANG AJI;0.7683314
1601082;ULU OGAN;0.790672165
1601083;MUARA JAYA;0.807362725
1601090;PENINJAUAN;0.744001242
1601091;LUBUK BATANG;0.795941398
1601092;SINAR PENINJAUAN;0.71799583
1601093;KEDATON PENINJAUAN RAYA;0.738255518
1601130;BATU RAJA TIMUR;0.771914784
1601131;LUBUK RAJA;0.719545026
1601140;BATU RAJA BARAT;0.778028296
1602010;LEMPUING;0.75867144
1602011;LEMPUING JAYA;0.742175775
1602020;MESUJI;0.696892666
1602021;SUNGAI MENANG;0.540723484
1602022;MESUJI MAKMUR;0.756887373
1602023;MESUJI RAYA;0.72583973
1602030;TULUNG SELAPAN;0.621119128
1602031;CENGAL;0.612006415
1602040;PEDAMARAN;0.621368787
1602041;PEDAMARAN TIMUR;0.682943927
1602050;TANJUNG LUBUK;0.724447479
1602051;TELUK GELAM;0.759201748
1602060;KOTA KAYU AGUNG;0.685844178
1602120;SIRAH PULAU PADANG;0.609517035
1602121;JEJAWI;0.62858201
1602130;PAMPANGAN;0.590219792
1602131;PANGKALAN LAPAM;0.666262651
1602140;AIR SUGIHAN;0.690313515
1603010;SEMENDO DARAT LAUT;0.820609806
1603011;SEMENDO DARAT ULU;0.722997376
1603012;SEMENDO DARAT TENGAH;0.840252897
1603020;TANJUNG AGUNG;0.759810347
1603021;PANANG ENIM;0.836939599
1603031;RAMBANG;0.761626645
1603032;LUBAI;0.739441707
1603033;LUBAI ULU;0.758673783
1603040;LAWANG KIDUL;0.707547413
1603050;MUARA ENIM;0.807037379
1603051;UJAN MAS;0.761052232
1603060;GUNUNG MEGANG;0.743727069
1603061;BENAKAT;0.755501468
1603062;BELIMBING;0.76747927
1603070;RAMBANG NIRU;0.748632114
1603071;EMPAT PETULAI DANGKU;0.71308049
1603090;GELUMBANG;0.716842604
1603091;LEMBAK;0.736864112
1603092;SUNGAI ROTAN;0.702409912
1603093;MUARA BELIDA;0.723422469
1603094;KELEKAR;0.771585405
1603095;BELIDA DARAT;0.798262338
1604011;TANJUNG SAKTI PUMI;0.803331168
1604012;TANJUNG SAKTI PUMU;0.848103875
1604040;KOTA AGUNG;0.765243859
1604041;MULAK ULU;0.914945124
1604042;TANJUNG TEBAT;0.734080363
1604043;MULAK SEBINGKAI;0.616572399
1604050;PULAU PINANG;0.752455468
1604051;PAGAR GUNUNG;0.756567098
1604052;GUMAY ULU;0.763835352
1604060;JARAI;0.805119041
1604061;PAJAR BULAN;0.77729175
1604062;MUARA PAYANG;0.801636007
1604063;SUKAMERINDU;0.774896923
1604111;KIKIM BARAT;0.780878854
1604112;KIKIM TIMUR;0.757963702
1604113;KIKIM SELATAN;0.727432271
1604114;KIKIM TENGAH;0.810238914
1604120;LAHAT;0.755499152
1604121;GUMAY TALANG;0.7690436
1604122;PSEKSU;0.760321692
1604123;LAHAT SELATAN;0.685537419
1604131;MERAPI BARAT;0.741460965
1604132;MERAPI TIMUR;0.759554134
1604133;MERAPI SELATAN;0.772408392
1605030;SUKU TENGAH LAKITAN ULU;0.789267847
1605031;SELANGIT;0.74848615
1605032;SUMBER HARTA;0.74076777
1605040;TUGUMULYO;0.675195857
1605041;PURWODADI;0.688427898
1605050;MUARA BELITI;0.794630298
1605051;TIANG PUMPUNG KEPUNGUT;0.804111944
1605060;JAYALOKA;0.808701753
1605061;SUKA KARYA;0.800408668
1605070;MUARA KELINGI;0.752464502
1605071;BULANG TENGAH SUKU ULU;0.766190802
1605072;TUAH NEGERI;0.70904563
1605080;MUARA LAKITAN;0.759524034
1605090;MEGANG SAKTI;0.799310441
1606010;SANGA DESA;0.709231085
1606020;BABAT TOMAN;0.70568012
1606021;BATANGHARI LEKO;0.735653405
1606022;PLAKAT TINGGI;0.724388884
1606023;LAWANG WETAN;0.712267854
1606030;SUNGAI KERUH;0.738558552
1606031;JIRAK JAYA;0.762099296
1606040;SEKAYU;0.730695574
1606041;LAIS;0.726987695
1606090;SUNGAI LILIN;0.772954191
1606091;KELUANG;0.757141528
1606092;BABAT SUPAT;0.734370037
1606100;BAYUNG LENCIR;0.718712432
1606101;LALAN;0.704293541
1606102;TUNGKAL JAYA;0.769649946
1607010;RANTAU BAYUR;0.640845243
1607020;BETUNG;0.732686114
1607021;SUAK TAPEH;0.783944177
1607030;PULAU RIMAU;0.724843786
1607031;TUNGKAL ILIR;0.759979388
1607032;SELAT PENUGUAN;0.718363149
1607040;BANYUASIN III;0.746207907
1607041;SEMBAWA;0.715673384
1607050;TALANG KELAPA;0.745149517
1607051;TANJUNG LAGO;0.744222404
1607060;BANYUASIN I;0.700079467
1607061;AIR KUMBANG;0.710399783
1607070;RAMBUTAN;0.712891069
1607080;MUARA PADANG;0.631736294
1607081;MUARA SUGIHAN;0.508318374
1607090;MAKARTI JAYA;0.640133928
1607091;AIR SALEK;0.633431288
1607100;BANYUASIN II;0.637740735
1607101;KARANG AGUNG ILIR;0.662013586
1607110;MUARA TELANG;0.680892451
1607111;SUMBER MARGA TELANG;0.715628364
1608010;MEKAKAU ILIR;0.801819979
1608020;BANDING AGUNG;0.76859088
1608021;WARKUK RANAU SELATAN;0.801767722
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.776216865
1608030;BUAY PEMACA;0.798638838
1608040;SIMPANG;0.791802782
1608041;BUANA PEMACA;0.775895501
