idkec;nmkec;path;residential;service;tertiary;track;unclassified;trunk;footway;pedestrian;steps;primary;primary_link;secondary;tertiary_link;trunk_link;living_street;secondary_link;raceway;road;cycleway;construction;corridor
6301010;PANYIPATAN;2;206;40;31;143;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6301020;TAKISUNG;2;350;110;18;79;41;0;9;0;0;0;0;17;0;0;0;0;0;0;0;0;0
6301030;KURAU;3;91;33;4;36;23;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0
6301031;BUMI MAKMUR;2;115;8;0;87;25;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0
6301040;BATI-BATI;4;614;487;18;86;69;11;3;0;0;7;0;0;0;6;0;0;0;0;0;0;0
6301050;TAMBANG ULANG;20;219;235;10;49;20;13;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6301060;PELAIHARI;26;1506;561;42;57;100;71;8;2;0;0;0;16;4;0;1;2;0;0;0;0;0
6301061;BAJUIN;7;267;122;18;34;36;0;2;0;0;0;0;15;0;0;0;0;0;0;0;0;0
6301070;BATU AMPAR;6;244;356;13;16;51;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6301080;JORONG;1;513;513;5;96;53;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6301090;KINTAP;17;483;1424;0;84;36;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302010;PULAU SEMBILAN;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302020;PULAU LAUT BARAT;0;50;188;2;14;60;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0
6302021;PULAU LAUT TANJUNG SELAYAR;0;102;75;2;7;11;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302030;PULAU LAUT SELATAN;1;5;80;0;2;51;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302031;PULAU LAUT KEPULAUAN;0;31;19;0;4;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302040;PULAU LAUT TIMUR;31;111;411;0;23;5;0;8;0;0;0;0;12;0;0;0;0;0;0;0;0;0
6302050;PULAU SEBUKU;0;49;43;5;12;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302060;PULAU LAUT UTARA;9;510;61;7;119;10;15;1;0;0;0;0;4;0;0;1;1;0;0;0;0;0
6302061;PULAU LAUT TENGAH;0;94;51;0;36;8;5;0;0;0;0;0;15;0;0;0;1;0;0;0;0;0
6302062;PULAU LAUT SIGAM;4;278;14;3;14;3;5;5;0;0;0;0;27;0;0;0;0;2;0;0;0;0
6302120;KELUMPANG SELATAN;1;120;451;0;56;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302121;KELUMPANG HILIR;4;330;755;3;8;34;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302130;KELUMPANG HULU;0;55;560;1;21;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302140;HAMPANG;3;100;412;1;50;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302150;SUNGAI DURIAN;0;84;403;9;35;18;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
6302160;KELUMPANG TENGAH;12;94;228;0;15;22;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0
6302161;KELUMPANG BARAT;0;24;308;1;7;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302170;KELUMPANG UTARA;2;26;41;0;14;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302180;PAMUKAN SELATAN;4;31;244;0;8;18;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302190;SAMPANAHAN;3;97;112;1;18;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6302200;PAMUKAN UTARA;0;154;1106;4;14;24;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302201;PAMUKAN BARAT;1;98;176;0;25;195;13;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303010;ALUH - ALUH;20;276;10;10;4;37;0;1;1;15;0;0;0;0;0;2;0;0;0;0;0;0
6303011;BERUNTUNG BARU;0;132;9;2;34;65;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
6303020;GAMBUT;7;764;270;7;39;28;20;2;0;0;0;0;9;0;20;0;0;0;0;0;0;0
6303030;KERTAK HANYAR;6;1224;206;7;3;11;10;13;0;0;0;0;0;0;14;0;0;0;0;0;0;0
6303031;TATAH MAKMUR;0;137;19;2;1;0;4;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0
6303040;SUNGAI TABUK;6;1020;75;44;33;48;27;0;1;0;8;0;3;0;0;1;0;0;0;0;0;0
6303050;MARTAPURA;23;2361;231;56;42;49;16;31;0;0;3;0;33;2;9;13;0;0;0;0;0;0
6303051;MARTAPURA TIMUR;11;148;14;22;2;9;9;7;0;0;3;0;2;0;0;0;0;0;0;0;0;0
6303052;MARTAPURA BARAT;4;160;117;23;32;24;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0
6303060;ASTAMBUL;5;248;24;44;11;2;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
6303070;KARANG INTAN;21;246;235;43;63;43;0;7;0;1;0;0;6;0;0;0;0;0;1;0;0;0
6303080;ARANIO;6;54;18;0;2;6;0;5;0;0;0;0;4;0;0;3;0;0;0;0;0;0
6303090;SUNGAI PINANG;1;126;83;15;35;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303091;PARAMASAN;0;20;6;1;22;49;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6303100;PENGARON;2;121;44;12;29;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303101;SAMBUNG MAKMUR;1;252;108;3;34;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303110;MATARAMAN;2;300;79;18;14;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303120;SIMPANG EMPAT;6;192;138;4;20;22;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303121;TELAGA BAUNTUNG;0;42;19;2;11;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303122;CINTAPURI DARUSSALAM;1;203;137;3;23;52;0;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0
6304010;TABUNGANEN;7;340;13;30;24;119;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
6304020;TAMBAN;47;495;74;61;21;26;0;15;0;3;0;0;0;1;0;13;0;0;0;0;0;0
6304030;MEKAR SARI;0;192;37;66;21;33;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6304040;ANJIR PASAR;0;176;12;5;40;16;14;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
6304050;ANJIR MUARA;1;269;17;15;26;37;20;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
6304060;ALALAK;50;1651;151;61;81;15;41;5;5;1;0;0;32;0;3;4;2;0;0;0;0;0
6304070;MANDASTANA;4;504;47;0;69;124;23;0;9;0;0;0;0;0;4;0;0;0;1;0;0;0
6304071;JEJANGKIT;0;205;52;0;26;55;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0
6304080;BELAWANG;1;183;11;36;12;93;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6304090;WANARAYA;1;352;15;0;30;55;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
6304100;BARAMBAI;0;275;36;39;23;53;0;10;2;2;0;0;2;0;0;0;0;0;0;0;0;0
6304110;RANTAU BADAUH;0;479;26;0;34;47;16;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0
6304120;CERBON;0;213;39;14;11;9;15;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0
6304130;BAKUMPAI;4;137;25;0;10;25;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6304140;MARABAHAN;2;407;78;18;5;33;16;7;1;3;0;0;47;0;0;2;0;0;0;0;0;0
6304150;TABUKAN;0;47;54;0;18;38;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0
6304160;KURIPAN;0;74;195;0;10;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6305010;BINUANG;2;432;133;14;19;11;9;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0
6305011;HATUNGUN;1;106;35;18;12;9;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
6305020;TAPIN SELATAN;2;268;139;9;9;21;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6305021;SALAM BABARIS;0;141;35;11;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6305030;TAPIN TENGAH;4;98;173;11;2;15;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
6305040;BUNGUR;4;104;76;21;28;13;8;0;0;0;0;0;6;0;1;3;0;0;0;0;0;0
6305050;PIANI;20;50;29;14;11;9;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6305060;LOKPAIKAT;2;154;78;4;15;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6305070;TAPIN UTARA;6;322;55;85;12;7;7;7;0;0;0;0;19;13;0;0;7;0;0;0;1;0
6305080;BAKARANGAN;1;77;8;16;8;1;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
6305090;CANDI LARAS SELATAN;3;60;39;5;13;18;24;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
6305100;CANDI LARAS UTARA;1;143;335;3;31;54;13;1;3;0;0;0;0;0;0;12;0;0;0;0;0;0
6306010;PADANG BATUNG;1;146;27;22;17;19;3;1;1;0;0;0;9;0;0;0;0;0;0;0;0;0
6306020;LOKSADO;8;55;11;16;2;17;10;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6306030;TELAGA LANGSAT;0;82;19;10;8;6;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
6306040;ANGKINANG;1;46;10;12;5;1;9;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
6306050;KANDANGAN;13;300;47;43;12;28;27;0;0;0;13;0;23;0;12;0;0;0;0;0;0;0
6306060;SUNGAI RAYA;5;138;41;15;15;22;18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6306070;SIMPUR;3;118;18;17;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6306080;KALUMPANG;0;34;30;7;6;14;9;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
6306090;DAHA SELATAN;1;97;66;56;0;20;0;0;56;18;19;0;0;0;0;0;0;0;0;0;0;0
6306091;DAHA BARAT;0;23;147;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6306100;DAHA UTARA;1;65;18;12;0;13;0;12;0;0;18;0;0;0;0;0;0;0;0;0;0;0
6307010;HARUYAN;6;77;8;29;11;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6307020;BATU BENAWA;3;88;10;17;6;3;0;2;0;4;0;0;10;0;0;0;0;0;0;0;0;0
6307030;HANTAKAN;0;63;6;9;2;9;0;5;0;3;0;0;3;0;0;1;0;0;0;0;0;0
6307040;BATANG ALAI SELATAN;0;109;24;15;5;11;2;3;0;0;0;0;6;0;1;0;0;0;0;0;0;0
6307041;BATANG ALAI TIMUR;4;30;4;15;6;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6307050;BARABAI;2;375;43;37;1;34;10;0;62;0;0;0;14;3;3;0;0;0;1;0;0;0
6307060;LABUAN AMAS SELATAN;7;84;15;36;2;17;16;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0
6307070;LABUAN AMAS UTARA;6;132;70;56;8;11;16;9;0;2;0;0;0;0;0;0;0;0;0;1;0;0
6307080;PANDAWAN;4;189;18;26;3;31;2;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0
6307090;BATANG ALAI UTARA;3;88;22;10;13;5;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
6307091;LIMPASU;0;37;1;1;6;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6308010;DANAU PANGGANG;0;41;0;0;0;0;0;2;0;31;4;0;0;0;0;1;0;0;0;0;3;0
6308011;PAMINGGIR;0;61;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
6308020;BABIRIK;0;67;2;2;0;0;0;5;0;45;11;0;0;0;0;0;0;0;0;0;0;0
6308030;SUNGAI PANDAN;2;201;11;6;14;1;9;10;0;42;17;0;0;0;0;0;0;0;0;0;0;0
6308031;SUNGAI TABUKAN;0;66;0;7;1;0;0;5;0;0;4;0;4;0;0;0;0;0;0;0;2;0
6308040;AMUNTAI SELATAN;2;251;1;10;0;0;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0
6308050;AMUNTAI TENGAH;1;335;29;33;2;8;22;10;0;0;18;10;0;2;0;0;0;0;0;0;0;0
6308060;BANJANG;0;174;65;7;56;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
6308070;AMUNTAI UTARA;0;82;15;27;2;1;4;0;0;6;0;0;1;0;0;0;0;1;0;0;2;0
6308071;HAUR GADING;0;152;6;20;0;0;0;9;15;9;0;0;0;0;0;0;0;0;0;0;3;0
6309010;BANUA LAWAS;1;122;17;12;5;1;0;6;12;3;0;0;11;0;0;0;0;0;0;0;0;0
6309020;PUGAAN;0;17;2;5;0;16;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6309030;KELUA;0;168;19;16;3;1;7;1;0;3;0;0;5;0;0;0;0;0;0;0;0;0
6309040;MUARA HARUS;0;12;16;6;0;6;6;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
6309050;TANTA;5;177;115;20;7;15;8;0;0;2;0;0;4;1;0;0;0;0;0;0;0;0
6309060;TANJUNG;4;274;180;17;9;22;14;8;0;3;4;0;4;0;0;0;0;0;0;0;0;0
6309070;MURUNG PUDAK;29;963;456;64;50;30;24;8;1;0;0;0;1;1;10;0;0;2;0;0;0;0
6309080;HARUAI;0;213;436;11;6;3;5;18;0;0;15;0;9;0;0;0;0;0;0;0;0;0
6309081;BINTANG ARA;0;73;129;4;16;28;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6309090;UPAU;0;101;168;4;2;5;0;3;0;0;0;0;7;0;0;0;0;0;0;0;0;0
6309100;MUARA UYA;2;274;410;17;21;7;7;8;0;0;0;0;8;0;0;0;0;0;0;0;0;0
6309110;JARO;1;207;279;18;24;15;9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6310010;KUSAN HILIR;4;737;137;15;45;47;19;0;3;0;0;0;6;0;0;0;0;0;0;0;0;0
6310020;SUNGAI LOBAN;4;434;320;2;17;35;17;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
6310030;SATUI;10;618;1160;0;147;85;18;2;0;0;0;0;0;0;2;4;0;0;0;0;0;0
6310031;ANGSANA;3;476;294;0;13;172;7;9;0;0;0;0;0;0;0;2;0;1;0;0;0;0
6310040;KUSAN HULU;3;228;275;21;49;79;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0
6310041;KURANJI;0;134;178;9;1;7;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
6310050;BATU LICIN;11;380;154;16;16;21;16;0;2;0;0;0;10;0;5;0;3;0;0;0;0;0
6310051;KARANG BINTANG;0;261;114;11;24;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6310052;SIMPANG EMPAT;54;1096;570;8;35;25;30;1;0;0;0;0;14;1;25;0;9;4;0;0;0;0
6310053;MANTEWE;0;261;696;12;33;11;18;0;0;0;1;0;7;0;0;0;0;0;0;0;1;0
6311010;LAMPIHONG;0;86;29;17;4;6;0;0;0;0;9;1;3;0;0;0;0;0;0;0;0;0
6311020;BATU MANDI;0;153;21;2;6;3;5;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0
6311030;AWAYAN;0;44;9;5;10;5;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0
6311031;TEBING TINGGI;0;31;8;7;9;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6311040;PARINGIN;6;176;146;5;8;13;3;1;0;1;3;0;8;0;0;0;0;0;0;0;0;0
6311041;PARINGIN SELATAN;3;144;79;11;4;0;8;0;0;0;1;0;6;2;4;0;0;0;0;0;0;0
6311050;JUAI;0;56;53;8;15;14;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
6311060;HALONG;6;105;46;16;30;4;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0
6371010;BANJARMASIN SELATAN;41;1710;185;73;2;19;15;1;1;1;0;0;28;0;11;50;0;0;0;0;0;0
6371020;BANJARMASIN TIMUR;59;1554;183;20;2;12;31;9;0;0;10;0;59;0;22;50;0;0;0;1;0;0
6371030;BANJARMASIN BARAT;203;788;333;70;0;8;26;47;0;0;0;0;22;1;8;453;0;0;0;1;0;0
6371031;BANJARMASIN TENGAH;279;424;520;100;1;16;84;94;24;4;11;0;79;2;13;231;2;0;0;15;0;4
6371040;BANJARMASIN UTARA;109;1893;255;112;4;44;27;52;0;1;0;0;21;8;12;97;0;0;0;0;6;4
6372010;LANDASAN ULIN;19;2594;599;36;163;64;17;13;0;0;0;0;16;11;7;6;9;2;0;0;0;0
6372011;LIANG ANGGANG;14;1167;322;13;93;33;26;12;0;0;0;0;5;3;17;1;0;0;0;0;0;0
6372020;CEMPAKA;54;819;339;45;129;32;0;26;0;0;6;0;0;7;0;2;0;0;2;0;1;0
6372031;BANJAR BARU UTARA;16;1801;222;34;53;9;11;6;0;0;0;0;34;3;13;0;7;0;0;0;0;0
6372032;BANJAR BARU SELATAN;8;1438;231;68;19;16;11;13;4;0;11;0;13;2;11;0;11;0;0;0;0;0
