idkec;nmkec;residential;secondary;service;tertiary;track;unclassified;living_street;footway;path;motorway;motorway_link;services;trunk;trunk_link;primary;proposed;construction;secondary_link;primary_link;tertiary_link;pedestrian;raceway;cycleway;steps;corridor
1601052;LENGKITI;106;3;64;6;134;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601070;SOSOH BUAY RAYAP;152;8;14;19;35;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601080;PENGANDONAN;33;0;6;2;3;19;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1601081;SEMIDANG AJI;161;0;61;0;103;173;15;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
1601082;ULU OGAN;31;0;6;2;6;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601083;MUARA JAYA;39;0;3;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601090;PENINJAUAN;359;0;36;7;149;317;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601091;LUBUK BATANG;293;0;143;18;455;164;2;0;0;0;0;0;0;0;16;0;0;0;1;0;0;0;0;0;0
1601092;SINAR PENINJAUAN;220;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601093;KEDATON PENINJAUAN RAYA;65;0;3;1;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601130;BATU RAJA TIMUR;1618;22;239;44;65;64;22;0;9;0;0;0;14;0;6;0;0;0;0;0;0;0;0;0;0
1601131;LUBUK RAJA;293;0;20;0;18;57;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1601140;BATU RAJA BARAT;334;10;173;3;50;3;16;0;2;0;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0
1602010;LEMPUING;807;9;71;21;4;25;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
1602011;LEMPUING JAYA;663;0;67;27;632;108;0;0;47;2;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
1602020;MESUJI;496;0;89;5;3;63;0;0;2;2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
1602021;SUNGAI MENANG;442;5;205;23;87;64;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602022;MESUJI MAKMUR;913;11;26;51;47;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602023;MESUJI RAYA;491;0;128;16;205;75;0;0;18;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602030;TULUNG SELAPAN;445;7;78;3;42;87;0;1;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602031;CENGAL;233;3;88;1;50;54;0;4;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602040;PEDAMARAN;298;2;35;0;329;16;0;3;30;6;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0
1602041;PEDAMARAN TIMUR;222;17;71;19;459;46;0;0;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602050;TANJUNG LUBUK;252;18;12;0;100;61;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602051;TELUK GELAM;224;16;20;0;260;97;0;0;6;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0
1602060;KOTA KAYU AGUNG;904;27;102;0;55;55;0;0;19;8;10;0;6;0;0;0;0;0;0;0;0;0;0;0;0
1602120;SIRAH PULAU PADANG;127;11;0;0;3;41;0;0;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602121;JEJAWI;153;9;26;0;27;74;1;0;77;39;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602130;PAMPANGAN;89;5;14;0;16;14;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602131;PANGKALAN LAPAM;58;2;7;0;70;44;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602140;AIR SUGIHAN;957;0;361;0;31;289;0;0;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603010;SEMENDO DARAT LAUT;42;10;4;4;15;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603011;SEMENDO DARAT ULU;87;0;3;15;11;78;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
