idkec;nmkec;path;residential;service;tertiary;track;unclassified;trunk;footway;pedestrian;steps;primary;primary_link;secondary;tertiary_link;trunk_link;living_street;secondary_link;raceway;road;cycleway;construction;corridor
6301010;PANYIPATAN;579.772;82053.581;21097.882;51048.964;109537.646;59491.267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6301020;TAKISUNG;184.595;142508.932;33659.613;40943.071;52667.693;54935.968;0;2127.154;0;0;0;0;34598.565;0;0;0;0;0;0;0;0;0
6301030;KURAU;555.585;25193.076;14622.408;17624.54;26529.259;27824.637;0;0;0;0;0;0;22718.408;0;0;0;0;0;0;0;0;0
6301031;BUMI MAKMUR;887.669;25925.616;477.719;0;55830.617;52520.375;0;0;0;0;0;0;18802.415;0;0;127.163;0;0;0;0;0;0
6301040;BATI-BATI;7621.763;158824.877;189666.003;43404.855;59992.895;76280.509;16216.582;70.29;0;0;9098.724;0;0;0;132.981;0;0;0;0;0;0;0
6301050;TAMBANG ULANG;14935.758;79953.534;128643.872;66876.694;47622.071;46643.804;16986.224;11256.134;0;0;0;0;0;0;17.31;0;0;0;0;0;0;0
6301060;PELAIHARI;4864.816;317840.581;267780.077;75974.898;24958.277;97809.144;31600.772;832.881;330.975;0;0;0;12427.279;17.282;0;111.344;12.351;0;0;0;0;0
6301061;BAJUIN;777.453;81849.006;123482.058;44440.033;16164.994;60873.807;0;313.285;0;0;0;0;28944.147;0;0;0;0;0;0;0;0;0
6301070;BATU AMPAR;1916.027;118467.915;280864.477;46198.464;10357.137;99341.929;29769.927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6301080;JORONG;413.816;185473.094;503372.718;20264.728;120737.477;110394.577;44531.218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6301090;KINTAP;6494.487;172479.983;1335105.187;0;79796.507;81730.637;43597.251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302010;PULAU SEMBILAN;0;3053.643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302020;PULAU LAUT BARAT;0;23378.869;190014.192;13443.113;28198.63;80100.393;0;0;0;0;0;0;32959.251;0;0;0;0;0;0;0;0;0
6302021;PULAU LAUT TANJUNG SELAYAR;0;40177.772;79803.992;13443.113;4041.761;56419.796;0;546.544;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302030;PULAU LAUT SELATAN;238.753;8519.175;97200.57;0;6780.71;108987.727;0;273.737;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302031;PULAU LAUT KEPULAUAN;0;9766.06;16881.614;0;3333.139;71832.715;0;112.353;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302040;PULAU LAUT TIMUR;24724.274;56068.404;288659.654;0;11342.226;14946.068;0;6921.623;0;0;0;0;58071.038;0;0;0;0;0;0;0;0;0
6302050;PULAU SEBUKU;0;15009.257;65033.108;37650.321;10874.061;17951.966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302060;PULAU LAUT UTARA;843.568;112393.3;17359.683;18469.176;33103.45;6283.388;16197.326;236.937;0;0;0;0;980.9;0;0;213.754;6.315;0;0;0;0;0
6302061;PULAU LAUT TENGAH;0;41366.858;60164.958;0;34193.139;45942.717;25061.122;0;0;0;0;0;38363.731;0;0;0;83.122;0;0;0;0;0
6302062;PULAU LAUT SIGAM;667.887;48169.185;5907.34;1404.305;4244.598;1057.742;1238.26;617.493;0;0;0;0;23762.427;0;0;0;0;1078.301;0;0;0;0
6302120;KELUMPANG SELATAN;80.452;47385.359;525711.728;0;61434.754;38304.525;0;282.581;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302121;KELUMPANG HILIR;1481.775;126109.901;739809.029;14991.986;2374.403;59278.502;26909.662;168.437;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302130;KELUMPANG HULU;0;68027.815;750470.391;27502.334;47296.346;55377.494;52377.666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302140;HAMPANG;193.734;124546.149;434793.644;27502.334;71254.993;22384.632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302150;SUNGAI DURIAN;0;33558.121;426192.534;30308.094;30255.503;41442.207;34540.511;0;0;0;0;0;0;20.421;0;0;0;0;0;0;0;0
6302160;KELUMPANG TENGAH;9032.711;47362.529;202986.801;0;16270.561;108141.69;0;197.334;0;594.741;0;0;0;0;0;0;0;0;0;0;0;0
6302161;KELUMPANG BARAT;0;36144.198;264479.824;16276.769;6987.546;30958.532;55996.594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302170;KELUMPANG UTARA;302.033;10181.715;42582.932;0;10109.583;112865.011;0;136.882;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302180;PAMUKAN SELATAN;294.05;11151.269;196939.349;0;6423.984;37043.599;0;89.539;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302190;SAMPANAHAN;152.822;46116.461;129788.152;16276.769;8320.22;86584.062;0;0;0;0;0;0;0;0;0;1100.162;0;0;0;0;0;0
6302200;PAMUKAN UTARA;0;55759.479;696220.986;19786.49;12305.675;96598.155;0;177.329;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6302201;PAMUKAN BARAT;813.818;49927.123;153100.123;0;17948.649;172088.272;23619.317;412.955;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303010;ALUH - ALUH;3532.265;80591.16;850.35;18690.287;1237.422;14003.966;0;525.496;70.951;1326.027;0;0;0;0;0;83.822;0;0;0;0;0;0
6303011;BERUNTUNG BARU;0;54200.863;398.657;13563.173;15251.702;63709.992;0;0;0;0;0;0;11577.389;0;0;222.976;0;0;0;0;0;0
6303020;GAMBUT;1648.698;204221.058;37671.756;40968.53;25146.832;66448.91;58639.882;1228.511;0;0;0;0;27651.387;0;287.812;0;0;0;0;0;0;0
6303030;KERTAK HANYAR;664.557;209919.684;14694.69;18895.448;5510.323;8110.664;43787.278;1230.439;0;0;0;0;0;0;180.859;0;0;0;0;0;0;0
6303031;TATAH MAKMUR;0;60495.786;2660.23;18246.169;333.941;0;23522.007;0;0;38.042;0;0;0;0;94.272;0;0;0;0;0;0;0
6303040;SUNGAI TABUK;944.266;197943.037;8631.006;27650.563;30172.579;40564.141;14542.026;0;127.982;0;21893.55;0;7522.507;0;0;82.592;0;0;0;0;0;0
6303050;MARTAPURA;1880.767;386936.251;31655.503;33149.906;15305.866;37652.982;15494.068;2589.611;0;0;1881.321;0;29484.773;12.193;82.554;1998.24;0;0;0;0;0;0
6303051;MARTAPURA TIMUR;729.85;34530.409;1143.908;20967.08;3077.647;4244.767;6699.136;455.601;0;0;5613.477;0;3025.07;0;0;0;0;0;0;0;0;0
6303052;MARTAPURA BARAT;207.355;58732.241;26545.5;23684.797;38556.793;39723.088;0;0;179.414;0;20763.585;0;0;0;0;0;0;0;0;0;0;0
6303060;ASTAMBUL;306.889;50918.984;9106.909;76053.336;12398.107;3782.013;18053.136;0;43.563;0;0;0;0;0;0;0;0;0;0;0;0;0
6303070;KARANG INTAN;4994.76;71626.811;141148.301;77111.072;51695.674;103167.945;0;1396.467;0;70.654;0;0;31052.59;0;0;0;0;0;60.001;0;0;0
6303080;ARANIO;3436.237;20508.211;7684.533;0;5436.344;52997.008;0;275.799;0;0;0;0;12565.504;0;0;5284.834;0;0;0;0;0;0
6303090;SUNGAI PINANG;53.451;57279.943;56429.176;55030.656;42134.912;168369.028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6303091;PARAMASAN;0;9260.31;1755.865;8755.928;21870.207;97968.104;20702.338;0;38.871;0;0;0;0;0;0;0;0;0;0;0;0;0
6303100;PENGARON;122.096;57457.602;38268.341;89501.129;40228.282;67268.726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
