idkec;nmkec;residential;secondary;service;tertiary;track;unclassified;living_street;footway;path;motorway;motorway_link;services;trunk;trunk_link;primary;proposed;construction;secondary_link;primary_link;tertiary_link;pedestrian;raceway;cycleway;steps;corridor
1601052;LENGKITI;18908.176;30047.105;47388.318;15601.426;135760.32;62511.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601070;SOSOH BUAY RAYAP;32339.765;27267.761;9944.621;15166.914;34889.928;10470.393;254.691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601080;PENGANDONAN;5289.812;0;941.131;38799.525;707.013;37482.763;0;0;0;0;0;0;29001.094;0;0;0;0;0;0;0;0;0;0;0;0
1601081;SEMIDANG AJI;61979.125;0;62635.578;0;61777.818;156181.394;1807.986;0;518.724;0;0;0;30971.936;0;0;0;0;0;0;0;0;0;0;0;0
1601082;ULU OGAN;6526.803;0;6559.303;39709.623;9780.193;51983.867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601083;MUARA JAYA;7732.762;0;319.872;0;432.945;5582.029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601090;PENINJAUAN;101093.777;0;32063.35;46330.397;51545.555;321693.799;0;0;98.189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601091;LUBUK BATANG;88543.06;0;127724.831;45774.93;238338.508;154981.41;292.459;0;0;0;0;0;0;0;34064.803;0;0;0;42.157;0;0;0;0;0;0
1601092;SINAR PENINJAUAN;105018.041;0;0;0;1260.832;78221.032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601093;KEDATON PENINJAUAN RAYA;17355.388;0;12918.753;16095.594;0;156627.807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1601130;BATU RAJA TIMUR;312219.608;7214.407;39409.241;18430.795;52248.853;58872.503;1840.879;0;1027.004;0;0;0;35517.089;0;5356.593;0;0;0;0;0;0;0;0;0;0
1601131;LUBUK RAJA;131737.242;0;1489.098;0;7598.384;64263.131;0;0;0;0;0;0;8102.052;0;0;0;0;0;0;0;0;0;0;0;0
1601140;BATU RAJA BARAT;73115.649;15996.791;119502.187;6476.734;61524.817;5055.443;1872.679;0;388.322;0;0;0;16802.352;34.639;0;0;0;0;0;0;0;0;0;0;0
1602010;LEMPUING;271815.717;58986.87;39707.621;80123.821;4283.343;73269.487;0;0;289.113;0;0;0;48990.29;0;0;0;0;0;0;0;0;0;0;0;0
1602011;LEMPUING JAYA;249965.074;0;12906.253;77907.171;896073.001;130039.143;0;0;37120.811;31337.328;0;0;47291.922;0;0;0;0;0;0;0;0;0;0;0;0
1602020;MESUJI;245135.511;0;27079.985;15133.796;5447.693;161754.8;0;0;193.431;62626.503;0;0;15982.002;0;0;0;0;0;0;0;0;0;0;0;0
1602021;SUNGAI MENANG;228572.221;31432.217;89918.686;89996.412;43667.01;138581.777;0;0;2177.769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602022;MESUJI MAKMUR;356182.821;34864.32;8137.641;100183.278;21625.991;59984.888;0;0;218.803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602023;MESUJI RAYA;246906.142;0;48555.444;51264.791;282334.721;174838.076;0;0;10573.873;94027.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602030;TULUNG SELAPAN;94938.933;80259.992;121141.01;2220.611;86314.462;108422.594;0;33.919;14555.939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602031;CENGAL;177209.306;37293.53;53030.58;28858.663;85078.689;200738.872;0;1212.986;8538.855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602040;PEDAMARAN;96130.444;19971.69;9683.36;0;391239.082;21367.223;0;38.728;3627.61;54028.505;310.349;1264.161;28762.003;0;0;0;0;0;0;0;0;0;0;0;0
1602041;PEDAMARAN TIMUR;95340.319;43895.452;42795.074;32699.36;532540.673;84153.105;0;0;5370.186;45918.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602050;TANJUNG LUBUK;70418.388;20823.987;4547.628;0;87444.688;105319.564;0;0;751.571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602051;TELUK GELAM;70454.337;7210.927;5984.509;0;273834.824;78991.833;0;0;1227.16;0;0;0;20154.283;138.521;0;0;0;0;0;0;0;0;0;0;0
1602060;KOTA KAYU AGUNG;152187.089;43616.673;15756.416;0;113432.633;54075.947;0;0;5617.994;57097.728;9185.961;0;13921.33;0;0;0;0;0;0;0;0;0;0;0;0
1602120;SIRAH PULAU PADANG;25554.548;30762.12;0;0;1183.48;28754.301;0;0;1067.124;40364.404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602121;JEJAWI;30636.687;35289.101;11062.195;0;9907.249;85137.279;257.785;0;16700.359;55893.837;10617.741;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602130;PAMPANGAN;27793.437;63714.274;10146.414;0;15492.356;38598.118;0;0;2751.981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602131;PANGKALAN LAPAM;39309.868;72853.461;2109.239;0;111352.371;116995.237;0;0;276.796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1602140;AIR SUGIHAN;263001.233;0;109263.248;0;33733.143;307475.277;0;0;21899.937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603010;SEMENDO DARAT LAUT;9100.76;35787.202;9351.298;44881.942;12681.006;20715.596;0;0;921.939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603011;SEMENDO DARAT ULU;16923.924;0;5229.254;30002.39;24598.124;67691.38;0;16002.518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603012;SEMENDO DARAT TENGAH;6313.642;0;318.317;21393.773;15974.827;39370.924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603020;TANJUNG AGUNG;24482.733;0;131463.187;1794.335;1992.447;67558.464;76.503;0;0;0;0;0;33414.784;0;0;0;0;0;0;0;0;0;0;0;0
1603021;PANANG ENIM;6111.837;20851.378;797.547;37873.882;1634.643;9572.495;0;0;0;0;0;0;11460.425;0;0;0;0;0;0;0;0;0;0;0;0
1603031;RAMBANG;52316.684;0;124292.121;66652.073;14498.234;92492.866;0;0;0;0;0;0;0;0;0;0;132845.977;0;0;0;0;0;0;0;0
1603032;LUBAI;78636.892;0;80092.276;28253.407;92794.697;176395.806;0;0;2837.954;0;0;0;0;0;31719.491;0;0;0;0;0;0;0;0;0;0
1603033;LUBAI ULU;175805.756;0;167180.701;0;83943.967;242727.851;0;0;485.098;0;0;0;0;0;33952.246;0;0;0;0;0;0;0;0;0;0
1603040;LAWANG KIDUL;152755.599;0;215000.695;24998.005;6656.277;31670.179;5798.747;0;1606.421;0;0;0;22846.654;0;0;0;0;0;0;23.796;0;0;0;0;0
1603050;MUARA ENIM;207317.264;0;70894.903;20577.932;4150.637;64454.36;5632.23;0;277.261;0;0;0;13576.515;0;14882.386;0;89353.126;0;83.442;26.519;128.744;0;0;0;0
1603051;UJAN MAS;25130.434;0;156086.215;30411.142;0;170982.198;0;0;239.23;0;0;0;0;0;27074.562;0;89353.126;0;0;0;0;0;0;0;0
1603060;GUNUNG MEGANG;71411.258;0;74428.054;27922.661;26372.689;231028.102;0;297.62;0;0;0;0;0;0;31846.568;0;89353.126;0;0;0;0;0;0;0;0
1603061;BENAKAT;21447.115;0;201745.206;27661.221;509.072;200300.616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603062;BELIMBING;26981.692;0;36806.587;15191.586;0;7086.094;0;0;0;0;0;0;0;0;23626.202;0;0;0;0;0;0;0;0;0;0
1603070;RAMBANG NIRU;124878.764;0;210753.645;105303.127;7622.041;188182.899;0;0;0;0;0;0;0;0;30754.907;0;89353.126;0;0;0;0;0;0;0;0
1603071;EMPAT PETULAI DANGKU;44563.071;0;56948.379;56212.034;12427.554;29647.39;0;0;149.905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603090;GELUMBANG;177487.17;0;33435.716;96641.783;118343.704;71697.066;0;0;131.123;0;0;0;0;0;42177.468;0;0;0;0;0;0;0;0;0;0
1603091;LEMBAK;32321.162;0;15738.178;53697.954;3869.673;55292.19;0;0;129.041;0;0;0;0;0;11506.17;0;0;0;0;0;0;0;0;0;0
1603092;SUNGAI ROTAN;42089.191;0;21467.56;82632.834;0;7187.765;0;0;4122.588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603093;MUARA BELIDA;25189.404;0;645.876;0;161998.409;32364.141;0;0;9155.264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1603094;KELEKAR;21731.504;0;1936.943;29079.758;10537.575;12613.445;0;150.89;0;0;0;0;0;0;0;0;53230.961;0;0;0;0;0;0;0;0
1603095;BELIDA DARAT;36755.559;0;2186.807;42507.496;1877.733;28733.016;0;0;0;0;0;0;0;0;0;0;46551.638;0;0;0;0;0;0;0;0
1604011;TANJUNG SAKTI PUMI;11210.748;52718.079;3324.902;6214.793;205.46;737.427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604012;TANJUNG SAKTI PUMU;9403.953;0;1028.906;8653.165;7384.472;4400.401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604040;KOTA AGUNG;14215.572;21435;8312.963;0;38179.011;99217.04;0;16002.518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604041;MULAK ULU;7831.145;25685.422;0;0;9208.018;34032.52;0;0;996.685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604042;TANJUNG TEBAT;9585.931;10715.087;1136.857;0;1167.915;48985.524;0;0;35.686;0;0;0;0;0;20381.149;0;0;0;0;0;0;0;0;0;0
1604043;MULAK SEBINGKAI;3585.188;0;91.789;0;4956.511;30898.646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604050;PULAU PINANG;19016.027;0;5378.16;0;1952.749;45132.835;0;0;842.467;0;0;0;0;0;27475.691;0;0;0;0;0;0;0;0;0;0
1604051;PAGAR GUNUNG;10268.49;0;1375.123;6574.066;6230.35;53233.758;0;0;0;0;0;0;0;0;12896.168;0;0;0;0;0;0;0;0;0;0
1604052;GUMAY ULU;16863.87;0;984.018;0;4295.707;75855.684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604060;JARAI;27940.241;0;1375.513;0;1852.977;22771.547;0;0;0;0;0;0;0;0;11179.265;0;0;0;0;0;0;0;0;0;0
1604061;PAJAR BULAN;29591.23;0;1001.797;0;16130.383;89356.837;320.444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1604062;MUARA PAYANG;6665.444;0;0;0;0;20119.047;0;0;0;0;0;0;0;0;17075.639;0;0;0;0;0;0;0;0;0;0
1604063;SUKAMERINDU;19664.363;0;1118.259;0;8600.467;13042.218;0;0;0;0;0;0;0;0;4800.367;0;0;0;0;0;0;0;0;0;0
1604111;KIKIM BARAT;61659.017;0;47190.289;24337.802;4743.226;102004.216;0;0;291.974;0;0;0;14669.873;0;0;0;0;0;0;0;0;0;0;0;0
1604112;KIKIM TIMUR;75637.914;0;155654.274;0;2748.132;221098.51;0;0;245.635;0;0;0;21809.553;0;0;0;0;0;0;0;0;0;0;0;0
1604113;KIKIM SELATAN;15495.088;0;12471.506;0;7695.913;88393.435;0;0;294.86;0;0;0;5357.417;0;0;0;0;0;0;0;0;0;0;0;0
1604114;KIKIM TENGAH;25587.91;0;23608.249;24302.954;0;30938.56;0;0;0;0;0;0;18525.264;0;0;0;0;0;0;0;0;0;0;0;0
