idkec;sum;min;max;mean;median;std
6301010;666.302063;0.198211834;1.246987104;0.366502785;0.32925567;0.123581705
6301020;483.009491;0.246209159;1.809180617;0.468941253;0.389234424;0.2162638
6301030;141.4393921;0.273416013;2.058267593;0.474628833;0.408178389;0.204900132
6301031;185.3410645;0.282142133;1.270323396;0.440240058;0.397641212;0.126436024
6301040;856.1376953;0.286255687;6.231014252;0.674655394;0.445432127;0.617123065
6301050;442.6130676;0.252311468;2.561669827;0.472372537;0.388426065;0.232136276
6301060;1332.392334;0.236259475;14.51943111;0.836929858;0.438093394;1.404253549
6301061;564.4317627;0.278494179;2.308126926;0.459260995;0.389432669;0.226149366
6301070;843.331604;0.254263043;4.893271446;0.448342161;0.372953236;0.234582857
6301080;1748.885254;0.224928409;10.65115261;0.464511356;0.353443235;0.495682445
6301090;2611.778809;0.230926439;19.60895348;0.680859961;0.40697968;0.944506984
6302010;63.22592545;0.213845775;0.707120061;0.306921968;0.29970777;0.053554635
6302020;454.1605225;0.224429324;1.528050542;0.318932951;0.304822683;0.084261502
6302021;177.7504272;0.232845962;7.51640892;0.562501352;0.379923612;0.818719622
6302030;423.0114746;0.191955343;1.140703678;0.293554111;0.289397806;0.052746782
6302031;148.6379089;0.231513888;1.024983883;0.315579424;0.299000353;0.082775035
6302040;951.6063232;0.202100798;1.916471958;0.334366241;0.321036547;0.071459363
6302050;477.5842896;0.240767181;8.907815933;0.470063277;0.341597915;0.577280541
6302060;610.2706909;0.370418668;23.49489403;1.341254266;0.658835709;2.318337564
6302061;1206.33728;0.243900105;9.468115807;0.445471669;0.355612457;0.472473208
6302062;282.5528564;0.396252006;16.22865105;1.54400468;0.806045771;2.207864786
6302120;584.2843018;0.172328532;1.162093043;0.345117721;0.335670471;0.08861607
6302121;935.0268555;0.270859718;15.65121841;0.691076759;0.43599683;1.063238513
6302130;1612.411621;0.146554828;4.180523872;0.329938944;0.313108265;0.136600127
6302140;2319.492188;0.184877619;0.809450507;0.317956434;0.316317916;0.036551345
6302150;1399.752563;0.169242278;8.469259262;0.372373653;0.313680321;0.407173897
6302160;537.3497314;-1.5;5.45010376;0.384645477;0.327069819;0.315346921
6302161;668.9486084;-1.5;1.394711256;0.314207895;0.306411445;0.092125391
6302170;329.6148376;0.058447506;9.990889549;0.330275388;0.286609173;0.445557725
6302180;461.4073486;0.142164692;2.240028143;0.299809843;0.288502127;0.099141895
6302190;611.444458;0.174442843;1.195942998;0.317798575;0.305975348;0.074895486
6302200;1020.882446;0.167108551;4.215960026;0.352392974;0.321153164;0.19479424
6302201;596.4028931;0.193378419;1.292705297;0.313731138;0.297639608;0.0972679
6303010;247.9984283;0.270471483;1.368942857;0.512393447;0.469565868;0.148009163
6303011;147.486557;0.331777334;0.814999998;0.469702411;0.459910184;0.073740526
6303020;746.0290527;0.359361619;7.890569687;1.304246596;0.758820295;1.325868995
6303030;738.4470215;0.608696461;21.34141922;3.710789053;1.88353157;4.422348345
6303031;115.7773285;0.389765203;2.771443129;0.723608303;0.666289568;0.316984412
6303040;714.3875732;0.290985227;8.297442436;1.022013696;0.728536844;1.051140258
6303050;1180.154907;0.62080431;18.59586525;4.683154394;2.633223772;4.448218826
6303051;155.3247986;0.426765859;9.067437172;1.522792143;0.976307392;1.373972557
6303052;372.0436401;0.281846911;2.826421976;0.557786567;0.50531286;0.268343994
6303060;243.995575;0.265153646;2.542578697;0.637064164;0.523478866;0.347018214
6303070;863.019165;0.239069879;4.570599079;0.511570341;0.396484733;0.312287281
6303080;1455.711914;-1.5;1.050576448;0.311182538;0.309711426;0.073898102
6303090;1063.26416;0.229918092;6.144775867;0.369188944;0.329910398;0.228240846
6303091;804.1148682;0.221237734;0.565214396;0.324370661;0.321530372;0.036283348
6303100;528.1633301;0.259010166;6.670096397;0.432920762;0.361684829;0.375705808
6303101;227.9435425;0.337982386;2.335737228;0.57853691;0.514544547;0.261441177
6303110;646.5349731;0.283966422;5.107709408;0.581416343;0.422743976;0.507572382
6303120;407.7868958;0.267971575;2.6412642;0.603235053;0.509496689;0.318247278
6303121;177.4380493;0.280177146;0.902865767;0.412646626;0.398903131;0.074500838
6303122;754.2627563;0.216255292;17.59644318;0.375816022;0.322526127;0.450813551
6304010;455.121521;0.243424505;3.505332232;0.416016016;0.38168627;0.17818027
6304020;567.5481567;0.274972796;9.89927578;0.721153948;0.507575154;0.805868257
6304030;307.7856445;0.306523234;2.036191702;0.471340956;0.43789652;0.14038431
6304040;215.0234528;0.244679824;1.979734778;0.429188528;0.368490726;0.212932283
6304050;207.2029419;0.319119662;1.595190525;0.499284197;0.430643141;0.193100545
6304060;939.0095215;0.367802292;12.15411377;1.944119092;0.997269034;2.259984292
6304070;333.208252;0.304025441;2.543451071;0.614775373;0.505658627;0.309529283
6304071;272.5882568;0.210425764;0.840442896;0.332830594;0.325091958;0.053546339
6304080;151.3157196;0.283793062;1.519642711;0.459926199;0.416552275;0.160417436
6304090;285.1387939;0.229169741;1.191794753;0.385844105;0.346274823;0.127955813
6304100;291.3321228;0.235906973;1.3679353;0.382828019;0.356107801;0.112005098
6304110;267.3683472;0.258293271;1.466010213;0.437591403;0.372618109;0.183581564
6304120;257.9646606;0.294862509;3.060644865;0.504823211;0.41898331;0.313227908
6304130;395.831543;0.200530335;13.42335129;0.471228027;0.322759181;0.832406047
6304140;419.9504089;0.24067761;8.651526451;0.484371867;0.333880216;0.689142472
6304150;245.3183594;0.208868563;1.41014576;0.318182048;0.311167657;0.069341954
6304160;201.1369019;0.200330257;0.705269456;0.310396453;0.300877184;0.059443136
6305010;608.8775635;0.25953126;7.371490955;0.702280927;0.4042041;0.829041979
6305011;198.2765961;0.327039868;5.059252739;0.615765826;0.521483302;0.433442622
6305020;636.4499512;0.236337975;10.27139282;0.923729973;0.5472489;1.198058694
6305021;288.9301453;0.376896799;8.316105843;0.956722335;0.651330948;0.948442841
6305030;610.75354;0.196796045;3.729170322;0.416328248;0.359384984;0.232576025
6305040;447.0365601;0.381012261;9.467256546;1.061844561;0.701338589;1.23641623
6305050;534.4667358;0.199950665;8.449662209;0.550429182;0.372343928;0.752513747
6305060;500.4613037;0.284379244;8.716989517;1.191574533;0.80133754;1.318748714
6305070;284.3095093;0.304588795;9.315156937;1.834254899;1.099791884;1.876611622
6305080;128.1117249;0.206209615;1.243056893;0.382423059;0.324440718;0.156745365
6305090;411.9745483;0.18814382;1.164755106;0.342740889;0.31151551;0.109957231
6305100;1282.29187;0.211801782;20.02239799;0.428860157;0.313126326;0.768234625
6306010;644.0487061;0.273077428;5.488614082;0.689559642;0.495716929;0.597578261
6306020;509.0664673;0.227176443;0.746571481;0.347485643;0.337070465;0.063712881
6306030;138.5524139;0.260416538;1.069777012;0.45427021;0.3978163;0.162596746
6306040;158.9805603;0.288194537;2.077691555;0.611463693;0.499981612;0.324166064
6306050;493.8961792;0.241657823;16.17416573;1.04639021;0.417934746;1.911106425
6306060;397.9383545;0.310861647;8.406275749;1.296216138;0.757816315;1.477273127
6306070;192.9278259;0.220790967;2.458985329;0.481116773;0.349421859;0.301220683
6306080;187.3719482;0.220861018;0.949250698;0.329880191;0.309473991;0.089357648
6306090;417.2749023;0.200838715;3.565071106;0.341468824;0.299245745;0.221919133
6306091;260.1636658;0.203706622;1.714497566;0.32642869;0.307728142;0.101783988
6306100;393.3695068;0.181094468;4.116221428;0.326990446;0.290461063;0.213147865
6307010;222.9524231;0.249131635;1.557447791;0.412111688;0.353882551;0.175747659
6307020;149.4340668;0.288255036;1.782806754;0.566038132;0.513962865;0.237101773
6307030;324.8838501;0.197834581;0.690186083;0.311489789;0.303818494;0.053288514
6307040;190.7058258;0.274020493;1.818318009;0.526811673;0.460738152;0.224134563
6307041;1061.754395;0.181510076;0.48811543;0.30370549;0.302835435;0.031480579
6307050;330.4576416;0.314254045;11.41978359;1.686008376;0.875762582;1.972001157
6307060;206.479248;0.25299716;1.821037173;0.524059005;0.462936968;0.24397269
6307070;320.8114624;0.197260231;2.333846092;0.411296747;0.33777529;0.234877206
6307080;233.342392;0.247854292;8.579066277;0.461150972;0.356254518;0.452528297
6307090;153.3147583;0.279757917;1.9508214;0.46040468;0.394399196;0.210751507
6307091;111.6204529;0.287203938;0.893061996;0.390281304;0.370574385;0.074907712
6308010;200.8299866;0.200557381;1.743335724;0.323919333;0.28724435;0.139278984
6308011;258.5735474;0.023071835;0.883451819;0.283213086;0.277279824;0.064586522
6308020;134.0857239;0.222483203;1.388978124;0.374541128;0.313574463;0.161001158
6308030;160.1575928;0.26592198;3.264539719;0.576106449;0.380701721;0.475469423
6308031;61.03308105;0.286613226;1.432062387;0.544938224;0.453538656;0.238801476
6308040;282.4564819;0.198347688;4.598676205;0.373619685;0.280886471;0.361104029
6308050;330.7652893;0.240751207;16.16111374;0.828985687;0.366188645;1.548965008
6308060;230.4697266;0.248093128;3.995587111;0.495633821;0.371771425;0.404222847
6308070;114.4484863;0.335789472;4.237415314;0.689448713;0.538702846;0.494905387
6308071;103.5606079;0.237326369;2.011926651;0.536583461;0.423025519;0.331905522
6309010;247.1313171;0.194088981;1.386645794;0.349549246;0.30596593;0.132860043
6309020;74.75349426;0.284165204;1.643006444;0.505091177;0.401238441;0.265145328
6309030;168.925415;0.280037612;3.333282709;0.657297335;0.491127819;0.448126449
6309040;82.35931396;0.262738019;4.276617527;0.675076344;0.503181458;0.569274626
6309050;802.095459;0.239158049;15.22188568;1.132903191;0.563487589;1.68066459
6309060;504.8475952;0.250974685;12.48172092;0.59887022;0.42488426;0.79086293
6309070;2151.651367;0.282989532;29.90982628;2.649816955;1.284259558;3.707185134
6309080;872.720459;0.209327653;24.32399559;0.683414612;0.400816143;1.435622034
6309081;1519.893555;0.148361757;1.175153494;0.275044074;0.270694256;0.047371876
6309090;439.9731445;0.211658999;11.35158348;0.513387567;0.39740175;0.579779151
6309100;1223.803467;0.149587408;2.159137249;0.300614951;0.286744177;0.091509904
6309110;426.0709839;0.178289846;2.094309568;0.322781048;0.288453043;0.147757593
6310010;786.9929199;0.264106572;12.10705566;0.598018936;0.39375791;0.778250086
6310020;1585.907837;0.287719578;9.551955223;0.946810649;0.60418272;1.022441499
6310030;2609.646973;0.240636379;10.9390955;0.596081995;0.377632737;0.788888268
6310031;958.7959595;0.3231152;17.03089333;1.099536651;0.606539011;1.436260707
6310040;2973.7146;0.20777379;17.31182098;0.442451213;0.347939968;0.583214976
