idkec;sum;min;max;mean;median;std
1601052;1200.661987;0.119704612;0.883132398;0.295802411;0.290701926;0.05323245
1601070;384.3987732;0.197122395;2.529824257;0.371041287;0.333499998;0.158591834
1601080;229.0083008;0.224454686;1.377472639;0.345412218;0.314278871;0.122287467
1601081;666.1699219;0.179562598;1.235320449;0.357771172;0.323500305;0.123853035
1601082;430.98526;0.11804796;8.40124321;0.345064259;0.280658811;0.521744557
1601083;344.6652527;0.167889774;0.884153366;0.28414283;0.277292132;0.058733192
1601090;2032.721436;0.268429697;208.2788086;1.087598414;0.455206335;8.365627043
1601091;1222.709717;0.228555873;21.77705765;0.491245366;0.389908284;0.727727287
1601092;390.2130737;0.346774012;2.112905264;0.605920922;0.502080381;0.268708487
1601093;395.8300781;0.253653765;0.959547162;0.397419757;0.378920317;0.085508148
1601130;1277.565796;0.27514106;13.44780445;1.895498213;0.78238523;2.486582107
1601131;446.791626;0.325134605;2.584480524;0.650351712;0.558726251;0.28827037
1601140;317.1293335;0.250590682;8.746494293;0.670463707;0.425177932;0.849215275
1602010;1334.089844;0.344705224;7.516464233;0.962546785;0.705471337;0.699597933
1602011;1384.01123;0.233799651;5.186482906;0.583724686;0.454805732;0.392956185
1602020;1614.653564;0.263802946;3.219957829;0.536608031;0.443207294;0.301373174
1602021;3522.389648;0.195539087;8.631258011;0.369727055;0.341244549;0.19739883
1602022;1461.353027;0.309084654;3.334909201;0.642918182;0.511987567;0.361942075
1602023;1606.74939;0.294941604;7.835784912;0.63785208;0.488183975;0.492458276
1602030;7479.237305;0.217530921;32.7337532;0.358733623;0.341847926;0.37452874
1602031;4134.715332;0.207422614;4.842806339;0.334984634;0.329200357;0.09702461
1602040;912.954834;0.235494345;10.7694025;0.506072524;0.383400977;0.569911737
1602041;1310.984375;0.230257243;3.982696533;0.419783662;0.369025022;0.240495698
1602050;441.9005737;0.261471003;2.140683174;0.437958943;0.378221989;0.184148264
1602051;442.5102539;0.282333285;2.932053089;0.562990145;0.439346462;0.339090305
1602060;1398.367432;-1.5;15.37919998;1.340716617;0.546368718;2.290357682
1602120;350.1455078;0.30485636;2.735022306;0.669494279;0.532310247;0.372933896
1602121;654.4838867;0.317506194;2.239645004;0.602101092;0.521376491;0.242412065
