idkec;nmkec;CO_column_number_density
6301010;PANYIPATAN;0.027607793
6301020;TAKISUNG;0.027453296
6301030;KURAU;0.027362087
6301031;BUMI MAKMUR;0.027754993
6301040;BATI-BATI;0.027577342
6301050;TAMBANG ULANG;0.027531033
6301060;PELAIHARI;0.027526486
6301061;BAJUIN;0.026916953
6301070;BATU AMPAR;0.026896597
6301080;JORONG;0.027024156
6301090;KINTAP;0.02672618
6302010;PULAU SEMBILAN;0.026953699
6302020;PULAU LAUT BARAT;0.027526314
6302021;PULAU LAUT TANJUNG SELAYAR;0.027735261
6302030;PULAU LAUT SELATAN;0.027384333
6302031;PULAU LAUT KEPULAUAN;0.027834136
6302040;PULAU LAUT TIMUR;0.0273494
6302050;PULAU SEBUKU;0.027099088
6302060;PULAU LAUT UTARA;0.027106291
6302061;PULAU LAUT TENGAH;0.02731683
6302062;PULAU LAUT SIGAM;0.02700362
6302120;KELUMPANG SELATAN;0.027675841
6302121;KELUMPANG HILIR;0.027585668
6302130;KELUMPANG HULU;0.027381891
6302140;HAMPANG;0.026414064
6302150;SUNGAI DURIAN;0.026866752
6302160;KELUMPANG TENGAH;0.027332161
6302161;KELUMPANG BARAT;0.027536676
6302170;KELUMPANG UTARA;0.027443825
6302180;PAMUKAN SELATAN;0.027118408
6302190;SAMPANAHAN;0.027565272
6302200;PAMUKAN UTARA;0.027068214
6302201;PAMUKAN BARAT;0.026733925
6303010;ALUH - ALUH;0.028150321
6303011;BERUNTUNG BARU;0.027739257
6303020;GAMBUT;0.027555704
6303030;KERTAK HANYAR;0.027168815
6303031;TATAH MAKMUR;0.027627969
6303040;SUNGAI TABUK;0.02740202
6303050;MARTAPURA;0.027817325
6303051;MARTAPURA TIMUR;0.02765552
6303052;MARTAPURA BARAT;0.027301907
6303060;ASTAMBUL;0.027449273
6303070;KARANG INTAN;0.027023113
6303080;ARANIO;0.02625775
6303090;SUNGAI PINANG;0.026783221
6303091;PARAMASAN;0.026488134
6303100;PENGARON;0.026712525
6303101;SAMBUNG MAKMUR;0.026859404
6303110;MATARAMAN;0.027141371
6303120;SIMPANG EMPAT;0.026943817
6303121;TELAGA BAUNTUNG;0.027380452
6303122;CINTAPURI DARUSSALAM;0.027224932
6304010;TABUNGANEN;0.028171788
6304020;TAMBAN;0.027962932
6304030;MEKAR SARI;0.027965153
6304040;ANJIR PASAR;0.027500334
6304050;ANJIR MUARA;0.027403778
6304060;ALALAK;0.02754601
6304070;MANDASTANA;0.027449286
6304071;JEJANGKIT;0.02747295
6304080;BELAWANG;0.027210345
6304090;WANARAYA;0.027427889
6304100;BARAMBAI;0.027357407
6304110;RANTAU BADAUH;0.027415906
6304120;CERBON;0.027710399
6304130;BAKUMPAI;0.027474698
6304140;MARABAHAN;0.02737426
6304150;TABUKAN;0.027410897
6304160;KURIPAN;0.02727331
6305010;BINUANG;0.026971248
6305011;HATUNGUN;0.02717572
6305020;TAPIN SELATAN;0.027325305
6305021;SALAM BABARIS;0.027564387
6305030;TAPIN TENGAH;0.027260701
6305040;BUNGUR;0.027494504
6305050;PIANI;0.026920931
6305060;LOKPAIKAT;0.027742916
6305070;TAPIN UTARA;0.027636722
6305080;BAKARANGAN;0.027468706
6305090;CANDI LARAS SELATAN;0.027048077
6305100;CANDI LARAS UTARA;0.027080127
6306010;PADANG BATUNG;0.027663283
6306020;LOKSADO;0.02624919
6306030;TELAGA LANGSAT;0.027488851
6306040;ANGKINANG;0.027355183
6306050;KANDANGAN;0.027394849
6306060;SUNGAI RAYA;0.027820668
6306070;SIMPUR;0.027694397
6306080;KALUMPANG;0.027714883
6306090;DAHA SELATAN;0.027229942
6306091;DAHA BARAT;0.027043045
6306100;DAHA UTARA;0.027010447
6307010;HARUYAN;0.027549125
6307020;BATU BENAWA;0.027735421
6307030;HANTAKAN;0.026742383
6307040;BATANG ALAI SELATAN;0.027755625
6307041;BATANG ALAI TIMUR;0.025742459
6307050;BARABAI;0.027977104
6307060;LABUAN AMAS SELATAN;0.027682202
6307070;LABUAN AMAS UTARA;0.027088091
6307080;PANDAWAN;0.027766169
6307090;BATANG ALAI UTARA;0.027842547
6307091;LIMPASU;0.027904359
6308010;DANAU PANGGANG;0.027131296
6308011;PAMINGGIR;0.026858714
6308020;BABIRIK;0.027152018
6308030;SUNGAI PANDAN;0.026938622
6308031;SUNGAI TABUKAN;0.02718529
6308040;AMUNTAI SELATAN;0.027228571
6308050;AMUNTAI TENGAH;0.027339019
6308060;BANJANG;0.027763127
6308070;AMUNTAI UTARA;0.027413037
6308071;HAUR GADING;0.027556246
6309010;BANUA LAWAS;0.027646098
6309020;PUGAAN;0.027614133
6309030;KELUA;0.027628656
6309040;MUARA HARUS;0.027668779
6309050;TANTA;0.027832733
6309060;TANJUNG;0.02755924
6309070;MURUNG PUDAK;0.027795901
6309080;HARUAI;0.027607272
6309081;BINTANG ARA;0.026980794
6309090;UPAU;0.027100237
6309100;MUARA UYA;0.026923905
6309110;JARO;0.026602763
6310010;KUSAN HILIR;0.026886856
6310020;SUNGAI LOBAN;0.027254432
6310030;SATUI;0.027073643
6310031;ANGSANA;0.027390182
6310040;KUSAN HULU;0.026721449
6310041;KURANJI;0.027175166
6310050;BATU LICIN;0.02728808
6310051;KARANG BINTANG;0.027367519
6310052;SIMPANG EMPAT;0.027240117
6310053;MANTEWE;0.026805449
6311010;LAMPIHONG;0.027332534
6311020;BATU MANDI;0.02761692
6311030;AWAYAN;0.027664
6311031;TEBING TINGGI;0.026692212
6311040;PARINGIN;0.027674168
6311041;PARINGIN SELATAN;0.027551599
6311050;JUAI;0.027847437
6311060;HALONG;0.026887638
6371010;BANJARMASIN SELATAN;0.027371139
6371020;BANJARMASIN TIMUR;0.02737071
6371030;BANJARMASIN BARAT;0.02747455
6371031;BANJARMASIN TENGAH;0.027356668
6371040;BANJARMASIN UTARA;0.027457515
6372010;LANDASAN ULIN;0.027606517
6372011;LIANG ANGGANG;0.027640657
6372020;CEMPAKA;0.027629205
6372031;BANJAR BARU UTARA;0.027731293
6372032;BANJAR BARU SELATAN;0.027655171
