idkec;nmkec;CO_column_number_density
1601052;LENGKITI;0.028073455
1601070;SOSOH BUAY RAYAP;0.028785884
1601080;PENGANDONAN;0.028594161
1601081;SEMIDANG AJI;0.028866768
1601082;ULU OGAN;0.025660257
1601083;MUARA JAYA;0.027085528
1601090;PENINJAUAN;0.029451649
1601091;LUBUK BATANG;0.029027856
1601092;SINAR PENINJAUAN;0.029707568
1601093;KEDATON PENINJAUAN RAYA;0.029829967
1601130;BATU RAJA TIMUR;0.029087034
1601131;LUBUK RAJA;0.029253219
1601140;BATU RAJA BARAT;0.02917109
1602010;LEMPUING;0.029597714
1602011;LEMPUING JAYA;0.029969422
1602020;MESUJI;0.029571242
1602021;SUNGAI MENANG;0.029040127
1602022;MESUJI MAKMUR;0.029654877
1602023;MESUJI RAYA;0.029667123
1602030;TULUNG SELAPAN;0.029250997
1602031;CENGAL;0.029030196
1602040;PEDAMARAN;0.030004765
1602041;PEDAMARAN TIMUR;0.029728905
1602050;TANJUNG LUBUK;0.029693953
1602051;TELUK GELAM;0.029829328
1602060;KOTA KAYU AGUNG;0.02997228
1602120;SIRAH PULAU PADANG;0.029882883
1602121;JEJAWI;0.029931313
1602130;PAMPANGAN;0.029719253
1602131;PANGKALAN LAPAM;0.029519084
1602140;AIR SUGIHAN;0.029476476
1603010;SEMENDO DARAT LAUT;0.025951835
1603011;SEMENDO DARAT ULU;0.022797456
1603012;SEMENDO DARAT TENGAH;0.024256469
1603020;TANJUNG AGUNG;0.028443905
1603021;PANANG ENIM;0.027018653
1603031;RAMBANG;0.029103699
1603032;LUBAI;0.029571122
1603033;LUBAI ULU;0.028900365
1603040;LAWANG KIDUL;0.029410699
1603050;MUARA ENIM;0.029557894
1603051;UJAN MAS;0.029497004
1603060;GUNUNG MEGANG;0.029423657
1603061;BENAKAT;0.029506577
1603062;BELIMBING;0.029328331
1603070;RAMBANG NIRU;0.028941973
1603071;EMPAT PETULAI DANGKU;0.029480743
1603090;GELUMBANG;0.029840133
1603091;LEMBAK;0.029680334
1603092;SUNGAI ROTAN;0.029851025
1603093;MUARA BELIDA;0.029925849
1603094;KELEKAR;0.029822276
1603095;BELIDA DARAT;0.029675651
1604011;TANJUNG SAKTI PUMI;0.02528636
1604012;TANJUNG SAKTI PUMU;0.024893238
1604040;KOTA AGUNG;0.024961161
1604041;MULAK ULU;0.02618924
1604042;TANJUNG TEBAT;0.027488936
1604043;MULAK SEBINGKAI;0.027680517
1604050;PULAU PINANG;0.028288921
1604051;PAGAR GUNUNG;0.026964585
1604052;GUMAY ULU;0.02688979
1604060;JARAI;0.025196097
1604061;PAJAR BULAN;0.026024918
1604062;MUARA PAYANG;0.025617069
1604063;SUKAMERINDU;0.02549968
1604111;KIKIM BARAT;0.029331947
1604112;KIKIM TIMUR;0.029274802
1604113;KIKIM SELATAN;0.028080586
1604114;KIKIM TENGAH;0.02924737
1604120;LAHAT;0.029073528
1604121;GUMAY TALANG;0.028554142
1604122;PSEKSU;0.027236908
1604123;LAHAT SELATAN;0.028561566
1604131;MERAPI BARAT;0.029294968
1604132;MERAPI TIMUR;0.029330175
1604133;MERAPI SELATAN;0.027842526
1605030;SUKU TENGAH LAKITAN ULU;0.028079091
1605031;SELANGIT;0.02716307
1605032;SUMBER HARTA;0.029885682
1605040;TUGUMULYO;0.029756534
1605041;PURWODADI;0.029698854
1605050;MUARA BELITI;0.02949175
1605051;TIANG PUMPUNG KEPUNGUT;0.029436625
1605060;JAYALOKA;0.02951939
1605061;SUKA KARYA;0.029550304
1605070;MUARA KELINGI;0.029827269
1605071;BULANG TENGAH SUKU ULU;0.029496931
1605072;TUAH NEGERI;0.029718156
1605080;MUARA LAKITAN;0.029586209
1605090;MEGANG SAKTI;0.029890245
1606010;SANGA DESA;0.029815601
1606020;BABAT TOMAN;0.029850032
1606021;BATANGHARI LEKO;0.029721535
1606022;PLAKAT TINGGI;0.029612322
1606023;LAWANG WETAN;0.029627941
1606030;SUNGAI KERUH;0.029646182
1606031;JIRAK JAYA;0.029532253
1606040;SEKAYU;0.029370159
1606041;LAIS;0.029466902
1606090;SUNGAI LILIN;0.029717169
1606091;KELUANG;0.029418534
1606092;BABAT SUPAT;0.029690528
1606100;BAYUNG LENCIR;0.029762399
1606101;LALAN;0.030004886
1606102;TUNGKAL JAYA;0.029611107
1607010;RANTAU BAYUR;0.029928782
1607020;BETUNG;0.029873161
1607021;SUAK TAPEH;0.030035949
1607030;PULAU RIMAU;0.030080109
1607031;TUNGKAL ILIR;0.029913862
1607032;SELAT PENUGUAN;0.0302992
1607040;BANYUASIN III;0.029907871
1607041;SEMBAWA;0.030231716
1607050;TALANG KELAPA;0.030352484
1607051;TANJUNG LAGO;0.030171888
1607060;BANYUASIN I;0.030086567
1607061;AIR KUMBANG;0.029872034
1607070;RAMBUTAN;0.029756283
1607080;MUARA PADANG;0.029662172
1607081;MUARA SUGIHAN;0.029711164
1607090;MAKARTI JAYA;0.02960137
1607091;AIR SALEK;0.02970629
1607100;BANYUASIN II;0.030216261
1607101;KARANG AGUNG ILIR;0.030104437
1607110;MUARA TELANG;0.029849472
1607111;SUMBER MARGA TELANG;0.029968052
1608010;MEKAKAU ILIR;0.026540089
1608020;BANDING AGUNG;0.026253169
1608021;WARKUK RANAU SELATAN;0.025080002
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.026674424
1608030;BUAY PEMACA;0.027185217
1608040;SIMPANG;0.028441761
1608041;BUANA PEMACA;0.028351668
1608050;MUARADUA;0.028622091
1608051;BUAY RAWAN;0.028326941
1608060;BUAY SANDANG AJI;0.028124585
1608061;TIGA DIHAJI;0.027672806
1608070;BUAY RUNJUNG;0.027529445
1608071;RUNJUNG AGUNG;0.027466984
1608080;KISAM TINGGI;0.025676973
1608090;MUARADUA KISAM;0.024823291
1608091;KISAM ILIR;0.026276375
1608100;PULAU BERINGIN;0.025471374
1608101;SINDANG DANAU;0.024553035
1608102;SUNGAI ARE;0.026284644
1609010;MARTAPURA;0.029060844
1609011;BUNGA MAYANG;0.028589491
1609012;JAYA PURA;0.028465373
1609020;BUAY PEMUKA PELIUNG;0.029469117
1609030;BUAY MADANG;0.029372751
1609031;BUAY MADANG TIMUR;0.029514261
1609032;BUAY PEMUKA BANGSA RAJA;0.029355947
1609040;MADANG SUKU II;0.029375468
1609041;MADANG SUKU III;0.029473578
1609050;MADANG SUKU I;0.02971376
1609051;BELITANG MADANG RAYA;0.029520534
1609060;BELITANG;0.029621443
1609061;BELITANG JAYA;0.0295066
1609070;BELITANG III;0.029523997
1609080;BELITANG II;0.02967179
1609081;BELITANG MULYA;0.029592988
1609090;SEMENDAWAI SUKU III;0.029644214
1609091;SEMENDAWAI TIMUR;0.029836098
1609100;CEMPAKA;0.029846969
1609101;SEMENDAWAI BARAT;0.02972856
