idkec;nmkec;H2O_column_number_density
6301010;PANYIPATAN;3930.281018
6301020;TAKISUNG;3899.61989
6301030;KURAU;3917.421195
6301031;BUMI MAKMUR;4042.819345
6301040;BATI-BATI;3820.249132
6301050;TAMBANG ULANG;3849.209034
6301060;PELAIHARI;3797.681936
6301061;BAJUIN;3778.078675
6301070;BATU AMPAR;3693.605751
6301080;JORONG;3907.859917
6301090;KINTAP;3931.985877
6302010;PULAU SEMBILAN;3843.001453
6302020;PULAU LAUT BARAT;3962.901353
6302021;PULAU LAUT TANJUNG SELAYAR;3942.209802
6302030;PULAU LAUT SELATAN;4118.284114
6302031;PULAU LAUT KEPULAUAN;3985.188933
6302040;PULAU LAUT TIMUR;3988.535036
6302050;PULAU SEBUKU;4146.529319
6302060;PULAU LAUT UTARA;3839.399555
6302061;PULAU LAUT TENGAH;4012.644897
6302062;PULAU LAUT SIGAM;3981.204663
6302120;KELUMPANG SELATAN;4104.499848
6302121;KELUMPANG HILIR;4003.20247
6302130;KELUMPANG HULU;3923.48424
6302140;HAMPANG;3513.758672
6302150;SUNGAI DURIAN;3782.589642
6302160;KELUMPANG TENGAH;3936.804372
6302161;KELUMPANG BARAT;3874.418962
6302170;KELUMPANG UTARA;4042.420386
6302180;PAMUKAN SELATAN;4116.716404
6302190;SAMPANAHAN;3860.352331
6302200;PAMUKAN UTARA;3992.853395
6302201;PAMUKAN BARAT;3707.517344
6303010;ALUH - ALUH;4034.961079
6303011;BERUNTUNG BARU;3958.856356
6303020;GAMBUT;3857.322093
6303030;KERTAK HANYAR;3875.58349
6303031;TATAH MAKMUR;3959.29507
6303040;SUNGAI TABUK;3846.178055
6303050;MARTAPURA;3821.466063
6303051;MARTAPURA TIMUR;3905.010591
6303052;MARTAPURA BARAT;3903.681087
6303060;ASTAMBUL;3944.51351
6303070;KARANG INTAN;3801.474914
6303080;ARANIO;3647.060764
6303090;SUNGAI PINANG;3745.076959
6303091;PARAMASAN;3503.053795
6303100;PENGARON;3817.426804
6303101;SAMBUNG MAKMUR;3855.207678
6303110;MATARAMAN;3846.500523
6303120;SIMPANG EMPAT;3799.944177
6303121;TELAGA BAUNTUNG;3751.781735
6303122;CINTAPURI DARUSSALAM;3867.054176
6304010;TABUNGANEN;4091.481918
6304020;TAMBAN;3919.728638
6304030;MEKAR SARI;3869.936852
6304040;ANJIR PASAR;3897.532369
6304050;ANJIR MUARA;3898.912285
6304060;ALALAK;3846.38069
6304070;MANDASTANA;3795.264322
6304071;JEJANGKIT;3828.695708
6304080;BELAWANG;3868.722611
6304090;WANARAYA;3834.602304
6304100;BARAMBAI;3886.549261
6304110;RANTAU BADAUH;3835.752471
6304120;CERBON;3821.730992
6304130;BAKUMPAI;3852.759205
6304140;MARABAHAN;3873.580827
6304150;TABUKAN;3945.470425
6304160;KURIPAN;3847.464398
6305010;BINUANG;3886.796623
6305011;HATUNGUN;3849.829541
6305020;TAPIN SELATAN;3942.293674
6305021;SALAM BABARIS;3827.830494
6305030;TAPIN TENGAH;3896.893118
6305040;BUNGUR;3896.098448
6305050;PIANI;3621.107126
6305060;LOKPAIKAT;4009.266736
6305070;TAPIN UTARA;3998.20259
6305080;BAKARANGAN;3933.868778
6305090;CANDI LARAS SELATAN;3898.807645
6305100;CANDI LARAS UTARA;3849.925778
6306010;PADANG BATUNG;3828.817991
6306020;LOKSADO;3324.932831
6306030;TELAGA LANGSAT;3879.907073
6306040;ANGKINANG;3935.690776
6306050;KANDANGAN;3955.27255
6306060;SUNGAI RAYA;3980.531042
6306070;SIMPUR;4013.226531
6306080;KALUMPANG;3951.507467
6306090;DAHA SELATAN;3878.649212
6306091;DAHA BARAT;3849.796273
6306100;DAHA UTARA;3874.785698
6307010;HARUYAN;3857.018246
6307020;BATU BENAWA;3845.781482
6307030;HANTAKAN;3480.532201
6307040;BATANG ALAI SELATAN;3880.404133
6307041;BATANG ALAI TIMUR;3225.366643
6307050;BARABAI;3898.147407
6307060;LABUAN AMAS SELATAN;3938.366667
6307070;LABUAN AMAS UTARA;3925.025905
6307080;PANDAWAN;3870.286271
6307090;BATANG ALAI UTARA;3890.386086
6307091;LIMPASU;3827.776672
6308010;DANAU PANGGANG;3918.146851
6308011;PAMINGGIR;3929.841316
6308020;BABIRIK;3876.015274
6308030;SUNGAI PANDAN;3940.836414
6308031;SUNGAI TABUKAN;3959.65762
6308040;AMUNTAI SELATAN;3959.712922
6308050;AMUNTAI TENGAH;3904.168195
6308060;BANJANG;3869.170023
6308070;AMUNTAI UTARA;3937.408771
6308071;HAUR GADING;3968.899508
6309010;BANUA LAWAS;3895.781855
6309020;PUGAAN;3889.849774
6309030;KELUA;3904.173633
6309040;MUARA HARUS;3930.190838
6309050;TANTA;3915.22961
6309060;TANJUNG;3852.15691
6309070;MURUNG PUDAK;3843.199331
6309080;HARUAI;3842.755282
6309081;BINTANG ARA;3721.736493
6309090;UPAU;3709.660335
6309100;MUARA UYA;3708.968941
6309110;JARO;3618.748901
6310010;KUSAN HILIR;4193.501698
6310020;SUNGAI LOBAN;4076.075168
6310030;SATUI;3873.447566
6310031;ANGSANA;4082.894953
6310040;KUSAN HULU;3673.950382
6310041;KURANJI;3850.741174
6310050;BATU LICIN;4145.809351
6310051;KARANG BINTANG;3944.288815
6310052;SIMPANG EMPAT;3927.02207
6310053;MANTEWE;3710.575193
6311010;LAMPIHONG;3887.998192
6311020;BATU MANDI;3819.076835
6311030;AWAYAN;3817.008932
6311031;TEBING TINGGI;3557.462029
6311040;PARINGIN;3867.198388
6311041;PARINGIN SELATAN;3815.696067
6311050;JUAI;3873.405175
6311060;HALONG;3613.472493
6371010;BANJARMASIN SELATAN;3879.487212
6371020;BANJARMASIN TIMUR;3837.818248
6371030;BANJARMASIN BARAT;3927.633456
6371031;BANJARMASIN TENGAH;3907.210382
6371040;BANJARMASIN UTARA;3828.362411
6372010;LANDASAN ULIN;3820.989069
6372011;LIANG ANGGANG;3804.71048
6372020;CEMPAKA;3821.708883
6372031;BANJAR BARU UTARA;3784.223704
6372032;BANJAR BARU SELATAN;3807.604431
