idkec;nmkec;H2O_column_number_density
1601052;LENGKITI;3557.709905
1601070;SOSOH BUAY RAYAP;3697.313068
1601080;PENGANDONAN;3603.418472
1601081;SEMIDANG AJI;3715.844132
1601082;ULU OGAN;2826.725582
1601083;MUARA JAYA;3198.158225
1601090;PENINJAUAN;3824.974007
1601091;LUBUK BATANG;3835.40865
1601092;SINAR PENINJAUAN;3769.189253
1601093;KEDATON PENINJAUAN RAYA;3884.100928
1601130;BATU RAJA TIMUR;3819.580922
1601131;LUBUK RAJA;3757.403334
1601140;BATU RAJA BARAT;3762.783658
1602010;LEMPUING;3852.516495
1602011;LEMPUING JAYA;3971.50442
1602020;MESUJI;3878.655431
1602021;SUNGAI MENANG;4020.462266
1602022;MESUJI MAKMUR;3822.052101
1602023;MESUJI RAYA;3936.156569
1602030;TULUNG SELAPAN;3993.39391
1602031;CENGAL;3954.031099
1602040;PEDAMARAN;3938.406317
1602041;PEDAMARAN TIMUR;3944.561793
1602050;TANJUNG LUBUK;4050.768831
1602051;TELUK GELAM;4025.623273
1602060;KOTA KAYU AGUNG;3952.780769
1602120;SIRAH PULAU PADANG;4093.014412
1602121;JEJAWI;4027.270545
1602130;PAMPANGAN;3973.342619
1602131;PANGKALAN LAPAM;3939.423088
1602140;AIR SUGIHAN;4085.134117
1603010;SEMENDO DARAT LAUT;2888.443015
1603011;SEMENDO DARAT ULU;2047.003907
1603012;SEMENDO DARAT TENGAH;2438.675152
1603020;TANJUNG AGUNG;3608.16432
1603021;PANANG ENIM;3289.358498
1603031;RAMBANG;3782.464463
1603032;LUBAI;3879.734552
1603033;LUBAI ULU;3819.2253
1603040;LAWANG KIDUL;3773.310035
1603050;MUARA ENIM;3792.09203
1603051;UJAN MAS;3825.23713
1603060;GUNUNG MEGANG;3798.43618
1603061;BENAKAT;3904.823979
1603062;BELIMBING;3867.672795
1603070;RAMBANG NIRU;3777.323945
1603071;EMPAT PETULAI DANGKU;3899.907678
1603090;GELUMBANG;3884.484109
1603091;LEMBAK;3930.204423
1603092;SUNGAI ROTAN;3925.561124
1603093;MUARA BELIDA;3953.511258
1603094;KELEKAR;3873.29455
1603095;BELIDA DARAT;3888.462685
1604011;TANJUNG SAKTI PUMI;2614.826695
1604012;TANJUNG SAKTI PUMU;2564.442493
1604040;KOTA AGUNG;2572.984165
1604041;MULAK ULU;2947.320172
1604042;TANJUNG TEBAT;3339.327865
1604043;MULAK SEBINGKAI;3297.329389
1604050;PULAU PINANG;3722.440773
1604051;PAGAR GUNUNG;3268.577062
1604052;GUMAY ULU;3285.376552
1604060;JARAI;2676.007794
1604061;PAJAR BULAN;2921.759996
1604062;MUARA PAYANG;2846.004878
1604063;SUKAMERINDU;2785.998791
1604111;KIKIM BARAT;3945.31837
1604112;KIKIM TIMUR;3874.251584
1604113;KIKIM SELATAN;3444.270614
1604114;KIKIM TENGAH;3916.799562
1604120;LAHAT;3818.500991
1604121;GUMAY TALANG;3684.372971
1604122;PSEKSU;3240.058424
1604123;LAHAT SELATAN;3808.336139
1604131;MERAPI BARAT;3784.308196
1604132;MERAPI TIMUR;3842.228308
1604133;MERAPI SELATAN;3478.84929
1605030;SUKU TENGAH LAKITAN ULU;3609.257778
1605031;SELANGIT;3337.889565
1605032;SUMBER HARTA;4095.72715
1605040;TUGUMULYO;4056.614754
1605041;PURWODADI;4069.499744
1605050;MUARA BELITI;3991.05934
1605051;TIANG PUMPUNG KEPUNGUT;3946.226602
1605060;JAYALOKA;3944.020876
1605061;SUKA KARYA;4015.160521
1605070;MUARA KELINGI;4032.181058
1605071;BULANG TENGAH SUKU ULU;3928.757859
1605072;TUAH NEGERI;4022.073317
1605080;MUARA LAKITAN;3932.828464
1605090;MEGANG SAKTI;4023.84247
1606010;SANGA DESA;3961.743327
1606020;BABAT TOMAN;3935.608636
1606021;BATANGHARI LEKO;3934.537438
1606022;PLAKAT TINGGI;3937.828593
1606023;LAWANG WETAN;3945.300802
1606030;SUNGAI KERUH;3848.529424
1606031;JIRAK JAYA;3886.999932
1606040;SEKAYU;3911.99891
1606041;LAIS;3953.840809
1606090;SUNGAI LILIN;3976.828324
1606091;KELUANG;3995.242517
1606092;BABAT SUPAT;3944.202412
1606100;BAYUNG LENCIR;3963.861166
1606101;LALAN;4020.229421
1606102;TUNGKAL JAYA;4002.69499
1607010;RANTAU BAYUR;3978.034137
1607020;BETUNG;3915.455482
1607021;SUAK TAPEH;3952.291969
1607030;PULAU RIMAU;3959.183872
1607031;TUNGKAL ILIR;3959.003936
1607032;SELAT PENUGUAN;4004.281755
1607040;BANYUASIN III;3980.898695
1607041;SEMBAWA;3953.444021
1607050;TALANG KELAPA;3988.4065
1607051;TANJUNG LAGO;3989.623079
1607060;BANYUASIN I;3849.060736
1607061;AIR KUMBANG;3919.565831
1607070;RAMBUTAN;3927.678158
1607080;MUARA PADANG;3930.090238
1607081;MUARA SUGIHAN;4005.18528
1607090;MAKARTI JAYA;4016.185972
1607091;AIR SALEK;4037.121142
1607100;BANYUASIN II;3989.047549
1607101;KARANG AGUNG ILIR;4062.102756
1607110;MUARA TELANG;4020.438584
1607111;SUMBER MARGA TELANG;4001.765984
1608010;MEKAKAU ILIR;3121.795701
1608020;BANDING AGUNG;2993.148894
1608021;WARKUK RANAU SELATAN;2660.934771
1608022;BUAY PEMATANG RIBU RANAU TENGAH;3023.048279
1608030;BUAY PEMACA;3316.899427
1608040;SIMPANG;3729.590627
1608041;BUANA PEMACA;3735.357675
1608050;MUARADUA;3681.050938
1608051;BUAY RAWAN;3547.186003
1608060;BUAY SANDANG AJI;3573.735065
1608061;TIGA DIHAJI;3542.325777
1608070;BUAY RUNJUNG;3381.793002
1608071;RUNJUNG AGUNG;3405.891419
1608080;KISAM TINGGI;2879.62364
1608090;MUARADUA KISAM;2644.543236
1608091;KISAM ILIR;3066.20404
1608100;PULAU BERINGIN;2821.320637
1608101;SINDANG DANAU;2489.173135
1608102;SUNGAI ARE;2952.629034
1609010;MARTAPURA;3806.816104
1609011;BUNGA MAYANG;3765.97302
1609012;JAYA PURA;3714.376707
1609020;BUAY PEMUKA PELIUNG;3736.089338
1609030;BUAY MADANG;3723.168339
1609031;BUAY MADANG TIMUR;3791.671679
1609032;BUAY PEMUKA BANGSA RAJA;3779.346167
1609040;MADANG SUKU II;3826.618122
1609041;MADANG SUKU III;3754.673335
1609050;MADANG SUKU I;3814.548501
1609051;BELITANG MADANG RAYA;3802.389056
1609060;BELITANG;3745.010222
1609061;BELITANG JAYA;3733.57908
1609070;BELITANG III;3796.742992
1609080;BELITANG II;3817.436497
1609081;BELITANG MULYA;3874.739601
1609090;SEMENDAWAI SUKU III;3879.980531
1609091;SEMENDAWAI TIMUR;3883.203039
1609100;CEMPAKA;3907.462151
1609101;SEMENDAWAI BARAT;3847.249751
1610010;MUARA KUANG;3943.953944
1610011;RAMBANG KUANG;3865.09435
1610012;LUBUK KELIAT;3926.358177
1610020;TANJUNG BATU;3880.122603
1610021;PAYARAMAN;3872.480386
1610030;RANTAU ALAI;3993.619306
1610031;KANDIS;4010.904702
1610040;TANJUNG RAJA;3953.910885
1610041;RANTAU PANJANG;4038.296879
1610042;SUNGAI PINANG;3992.081549
1610050;PEMULUTAN;3951.733445
1610051;PEMULUTAN SELATAN;4052.174413
1610052;PEMULUTAN BARAT;3966.349326
1610060;INDRALAYA;4007.799065
1610061;INDRALAYA UTARA;3932.285424
1610062;INDRALAYA SELATAN;3961.323498
1611010;MUARA PINANG;3089.75288
1611020;LINTANG KANAN;3092.754694
1611030;PENDOPO;3466.241244
1611031;PENDOPO BARAT;3495.462171
1611040;PASEMAH AIR KERUH;3206.879802
1611050;ULU MUSI;3357.741952
1611051;SIKAP DALAM;3430.410641
1611060;TALANG PADANG;3333.459009
1611070;TEBING TINGGI;3769.335873
1611071;SALING;3730.831282
1612010;TALANG UBI;3903.487336
1612020;TANAH ABANG;3914.36789
1612030;ABAB;3906.84172
1612040;PENUKAL;3908.170613
1612050;PENUKAL UTARA;3858.803163
1613010;ULU RAWAS;3088.120462
1613020;KARANG JAYA;3631.086155
1613030;RAWAS ULU;4000.285297
1613040;RUPIT;4017.731215
1613050;KARANG DAPO;4008.009621
1613060;RAWAS ILIR;3959.526042
1613070;NIBUNG;3960.419516
1671010;ILIR BARAT II;3930.237669
1671011;GANDUS;4019.253067
1671020;SEBERANG ULU I;3901.334023
1671021;KERTAPATI;3955.208633
1671022;JAKABARING;3898.462575
1671030;SEBERANG ULU II;3832.541308
1671031;PLAJU;3845.944013
1671040;ILIR BARAT I;3973.57045
1671041;BUKIT KECIL;3886.780538
1671050;ILIR TIMUR I;3891.86793
1671051;KEMUNING;3873.938999
1671060;ILIR TIMUR II;3810.351843
1671061;KALIDONI;3807.237774
1671062;ILIR TIMUR TIGA;3839.568656
1671070;SAKO;3836.110693
1671071;SEMATANG BORANG;3823.826342
1671080;SUKARAMI;3944.910166
1671081;ALANG ALANG LEBAR;3937.204558
1672010;RAMBANG KAPAK TENGAH;3831.625985
1672020;PRABUMULIH TIMUR;3839.149929
1672021;PRABUMULIH SELATAN;3788.302262
1672030;PRABUMULIH BARAT;3829.462517
1672031;PRABUMULIH UTARA;3786.395637
1672040;CAMBAI;3900.109876
1673010;DEMPO SELATAN;2551.982973
1673011;DEMPO TENGAH;2420.586279
1673020;DEMPO UTARA;2586.620207
1673030;PAGAR ALAM SELATAN;2547.406764
1673040;PAGAR ALAM UTARA;2611.481027
1674011;LUBUK LINGGAU BARAT I;3756.27257
