idkec;nmkec;NO2_column_number_density
6301010;PANYIPATAN;3.90E-05
6301020;TAKISUNG;4.00E-05
6301030;KURAU;4.06E-05
6301031;BUMI MAKMUR;4.09E-05
6301040;BATI-BATI;4.04E-05
6301050;TAMBANG ULANG;3.95E-05
6301060;PELAIHARI;3.98E-05
6301061;BAJUIN;4.03E-05
6301070;BATU AMPAR;3.88E-05
6301080;JORONG;3.86E-05
6301090;KINTAP;3.89E-05
6302010;PULAU SEMBILAN;3.91E-05
6302020;PULAU LAUT BARAT;3.74E-05
6302021;PULAU LAUT TANJUNG SELAYAR;3.72E-05
6302030;PULAU LAUT SELATAN;3.73E-05
6302031;PULAU LAUT KEPULAUAN;3.72E-05
6302040;PULAU LAUT TIMUR;3.79E-05
6302050;PULAU SEBUKU;3.84E-05
6302060;PULAU LAUT UTARA;4.10E-05
6302061;PULAU LAUT TENGAH;3.85E-05
6302062;PULAU LAUT SIGAM;4.07E-05
6302120;KELUMPANG SELATAN;3.94E-05
6302121;KELUMPANG HILIR;4.03E-05
6302130;KELUMPANG HULU;3.79E-05
6302140;HAMPANG;3.77E-05
6302150;SUNGAI DURIAN;3.74E-05
6302160;KELUMPANG TENGAH;3.75E-05
6302161;KELUMPANG BARAT;3.78E-05
6302170;KELUMPANG UTARA;3.74E-05
6302180;PAMUKAN SELATAN;3.75E-05
6302190;SAMPANAHAN;3.75E-05
6302200;PAMUKAN UTARA;3.76E-05
6302201;PAMUKAN BARAT;3.79E-05
6303010;ALUH - ALUH;4.14E-05
6303011;BERUNTUNG BARU;4.12E-05
6303020;GAMBUT;4.27E-05
6303030;KERTAK HANYAR;4.25E-05
6303031;TATAH MAKMUR;4.18E-05
6303040;SUNGAI TABUK;4.19E-05
6303050;MARTAPURA;4.28E-05
6303051;MARTAPURA TIMUR;4.26E-05
6303052;MARTAPURA BARAT;4.21E-05
6303060;ASTAMBUL;4.15E-05
6303070;KARANG INTAN;4.02E-05
6303080;ARANIO;4.07E-05
6303090;SUNGAI PINANG;3.97E-05
6303091;PARAMASAN;3.90E-05
6303100;PENGARON;3.98E-05
6303101;SAMBUNG MAKMUR;4.03E-05
6303110;MATARAMAN;4.07E-05
6303120;SIMPANG EMPAT;4.07E-05
6303121;TELAGA BAUNTUNG;4.06E-05
6303122;CINTAPURI DARUSSALAM;4.06E-05
6304010;TABUNGANEN;4.15E-05
6304020;TAMBAN;4.14E-05
6304030;MEKAR SARI;4.11E-05
6304040;ANJIR PASAR;4.00E-05
6304050;ANJIR MUARA;4.12E-05
6304060;ALALAK;4.19E-05
