idkec;nmkec;NO2_column_number_density
1601052;LENGKITI;4.29E-05
1601070;SOSOH BUAY RAYAP;4.46E-05
1601080;PENGANDONAN;4.39E-05
1601081;SEMIDANG AJI;4.47E-05
1601082;ULU OGAN;4.13E-05
1601083;MUARA JAYA;4.33E-05
1601090;PENINJAUAN;4.50E-05
1601091;LUBUK BATANG;4.49E-05
1601092;SINAR PENINJAUAN;4.51E-05
1601093;KEDATON PENINJAUAN RAYA;4.49E-05
1601130;BATU RAJA TIMUR;4.59E-05
1601131;LUBUK RAJA;4.52E-05
1601140;BATU RAJA BARAT;4.69E-05
1602010;LEMPUING;4.40E-05
1602011;LEMPUING JAYA;4.39E-05
1602020;MESUJI;4.34E-05
1602021;SUNGAI MENANG;4.25E-05
1602022;MESUJI MAKMUR;4.42E-05
1602023;MESUJI RAYA;4.30E-05
1602030;TULUNG SELAPAN;4.13E-05
1602031;CENGAL;4.15E-05
1602040;PEDAMARAN;4.39E-05
1602041;PEDAMARAN TIMUR;4.25E-05
1602050;TANJUNG LUBUK;4.46E-05
1602051;TELUK GELAM;4.43E-05
1602060;KOTA KAYU AGUNG;4.42E-05
1602120;SIRAH PULAU PADANG;4.52E-05
1602121;JEJAWI;4.55E-05
1602130;PAMPANGAN;4.37E-05
1602131;PANGKALAN LAPAM;4.24E-05
1602140;AIR SUGIHAN;4.23E-05
1603010;SEMENDO DARAT LAUT;4.11E-05
1603011;SEMENDO DARAT ULU;3.88E-05
1603012;SEMENDO DARAT TENGAH;3.92E-05
1603020;TANJUNG AGUNG;4.56E-05
1603021;PANANG ENIM;4.22E-05
1603031;RAMBANG;4.42E-05
1603032;LUBAI;4.50E-05
1603033;LUBAI ULU;4.47E-05
1603040;LAWANG KIDUL;5.01E-05
1603050;MUARA ENIM;4.74E-05
1603051;UJAN MAS;4.47E-05
1603060;GUNUNG MEGANG;4.53E-05
1603061;BENAKAT;4.41E-05
1603062;BELIMBING;4.69E-05
1603070;RAMBANG NIRU;4.48E-05
1603071;EMPAT PETULAI DANGKU;4.86E-05
1603090;GELUMBANG;4.46E-05
1603091;LEMBAK;4.46E-05
1603092;SUNGAI ROTAN;4.46E-05
1603093;MUARA BELIDA;4.67E-05
1603094;KELEKAR;4.49E-05
1603095;BELIDA DARAT;4.44E-05
1604011;TANJUNG SAKTI PUMI;3.98E-05
1604012;TANJUNG SAKTI PUMU;3.78E-05
1604040;KOTA AGUNG;4.10E-05
1604041;MULAK ULU;4.16E-05
1604042;TANJUNG TEBAT;4.29E-05
1604043;MULAK SEBINGKAI;4.34E-05
1604050;PULAU PINANG;4.44E-05
1604051;PAGAR GUNUNG;4.44E-05
1604052;GUMAY ULU;4.10E-05
1604060;JARAI;3.95E-05
1604061;PAJAR BULAN;3.95E-05
1604062;MUARA PAYANG;4.04E-05
1604063;SUKAMERINDU;4.00E-05
1604111;KIKIM BARAT;4.26E-05
1604112;KIKIM TIMUR;4.37E-05
1604113;KIKIM SELATAN;4.35E-05
1604114;KIKIM TENGAH;4.34E-05
1604120;LAHAT;4.72E-05
1604121;GUMAY TALANG;4.43E-05
1604122;PSEKSU;4.34E-05
1604123;LAHAT SELATAN;4.65E-05
1604131;MERAPI BARAT;5.21E-05
1604132;MERAPI TIMUR;4.81E-05
1604133;MERAPI SELATAN;4.73E-05
1605030;SUKU TENGAH LAKITAN ULU;4.05E-05
1605031;SELANGIT;4.13E-05
1605032;SUMBER HARTA;4.19E-05
1605040;TUGUMULYO;4.27E-05
1605041;PURWODADI;4.26E-05
1605050;MUARA BELITI;4.28E-05
1605051;TIANG PUMPUNG KEPUNGUT;4.28E-05
1605060;JAYALOKA;4.30E-05
1605061;SUKA KARYA;4.33E-05
1605070;MUARA KELINGI;4.27E-05
1605071;BULANG TENGAH SUKU ULU;4.31E-05
1605072;TUAH NEGERI;4.30E-05
1605080;MUARA LAKITAN;4.29E-05
1605090;MEGANG SAKTI;4.23E-05
1606010;SANGA DESA;4.26E-05
1606020;BABAT TOMAN;4.27E-05
1606021;BATANGHARI LEKO;4.23E-05
1606022;PLAKAT TINGGI;4.27E-05
1606023;LAWANG WETAN;4.29E-05
1606030;SUNGAI KERUH;4.34E-05
1606031;JIRAK JAYA;4.35E-05
1606040;SEKAYU;4.34E-05
1606041;LAIS;4.40E-05
1606090;SUNGAI LILIN;4.35E-05
1606091;KELUANG;4.31E-05
1606092;BABAT SUPAT;4.35E-05
1606100;BAYUNG LENCIR;4.25E-05
1606101;LALAN;4.29E-05
1606102;TUNGKAL JAYA;4.26E-05
1607010;RANTAU BAYUR;4.52E-05
1607020;BETUNG;4.40E-05
1607021;SUAK TAPEH;4.44E-05
1607030;PULAU RIMAU;4.39E-05
1607031;TUNGKAL ILIR;4.33E-05
