idkec;nmkec;SO2_column_number_density
6301010;PANYIPATAN;1.43E-05
6301020;TAKISUNG;1.64E-05
6301030;KURAU;2.10E-05
6301031;BUMI MAKMUR;2.75E-05
6301040;BATI-BATI;1.30E-05
6301050;TAMBANG ULANG;-9.30E-06
6301060;PELAIHARI;8.67E-06
6301061;BAJUIN;-2.60E-05
6301070;BATU AMPAR;2.66E-05
6301080;JORONG;1.09E-05
6301090;KINTAP;1.44E-06
6302010;PULAU SEMBILAN;6.41E-06
6302020;PULAU LAUT BARAT;-1.03E-05
6302021;PULAU LAUT TANJUNG SELAYAR;4.23E-06
6302030;PULAU LAUT SELATAN;-1.40E-06
6302031;PULAU LAUT KEPULAUAN;1.69E-06
6302040;PULAU LAUT TIMUR;1.22E-05
6302050;PULAU SEBUKU;2.15E-05
6302060;PULAU LAUT UTARA;1.28E-05
6302061;PULAU LAUT TENGAH;-7.07E-06
6302062;PULAU LAUT SIGAM;3.87E-05
6302120;KELUMPANG SELATAN;8.55E-06
6302121;KELUMPANG HILIR;4.00E-06
6302130;KELUMPANG HULU;-7.73E-06
6302140;HAMPANG;-4.49E-06
6302150;SUNGAI DURIAN;-1.03E-05
6302160;KELUMPANG TENGAH;-3.21E-06
6302161;KELUMPANG BARAT;-4.73E-07
6302170;KELUMPANG UTARA;4.35E-06
6302180;PAMUKAN SELATAN;1.88E-05
6302190;SAMPANAHAN;6.07E-06
6302200;PAMUKAN UTARA;-6.74E-06
6302201;PAMUKAN BARAT;-6.78E-06
6303010;ALUH - ALUH;4.46E-05
6303011;BERUNTUNG BARU;3.49E-05
6303020;GAMBUT;3.27E-05
6303030;KERTAK HANYAR;2.01E-05
6303031;TATAH MAKMUR;3.84E-05
6303040;SUNGAI TABUK;1.19E-05
6303050;MARTAPURA;4.36E-06
6303051;MARTAPURA TIMUR;-9.85E-06
6303052;MARTAPURA BARAT;-8.29E-07
6303060;ASTAMBUL;-2.37E-06
6303070;KARANG INTAN;9.27E-06
6303080;ARANIO;3.44E-06
6303090;SUNGAI PINANG;-4.51E-06
6303091;PARAMASAN;8.68E-06
6303100;PENGARON;-7.96E-06
6303101;SAMBUNG MAKMUR;-3.50E-06
6303110;MATARAMAN;-2.96E-05
6303120;SIMPANG EMPAT;4.15E-06
6303121;TELAGA BAUNTUNG;-2.93E-06
6303122;CINTAPURI DARUSSALAM;-1.27E-05
6304010;TABUNGANEN;4.49E-05
6304020;TAMBAN;1.93E-05
6304030;MEKAR SARI;1.81E-05
6304040;ANJIR PASAR;-8.89E-07
6304050;ANJIR MUARA;1.48E-07
6304060;ALALAK;-2.18E-06
6304070;MANDASTANA;1.13E-05
6304071;JEJANGKIT;-6.13E-06
6304080;BELAWANG;3.82E-06
6304090;WANARAYA;1.52E-05
6304100;BARAMBAI;8.98E-06
6304110;RANTAU BADAUH;1.42E-05
6304120;CERBON;-1.04E-05
6304130;BAKUMPAI;1.95E-07
6304140;MARABAHAN;-5.76E-07
6304150;TABUKAN;1.20E-05
6304160;KURIPAN;-1.43E-05
6305010;BINUANG;-8.13E-06
6305011;HATUNGUN;-5.09E-06
6305020;TAPIN SELATAN;-1.66E-05
6305021;SALAM BABARIS;-6.27E-06
6305030;TAPIN TENGAH;4.07E-06
6305040;BUNGUR;-1.31E-05
6305050;PIANI;1.99E-05
6305060;LOKPAIKAT;2.28E-06
6305070;TAPIN UTARA;-1.07E-05
6305080;BAKARANGAN;2.64E-05
6305090;CANDI LARAS SELATAN;1.90E-05
6305100;CANDI LARAS UTARA;1.01E-05
6306010;PADANG BATUNG;6.87E-06
6306020;LOKSADO;1.91E-05
6306030;TELAGA LANGSAT;9.87E-06
6306040;ANGKINANG;-7.91E-06
6306050;KANDANGAN;7.51E-06
6306060;SUNGAI RAYA;5.54E-06
6306070;SIMPUR;2.79E-05
6306080;KALUMPANG;2.93E-05
6306090;DAHA SELATAN;1.15E-05
6306091;DAHA BARAT;1.59E-05
6306100;DAHA UTARA;6.96E-06
