idkec;nmkec;LST_Day_1km
1601052;LENGKITI;28.76156638
1601070;SOSOH BUAY RAYAP;29.8015261
1601080;PENGANDONAN;28.7157307
1601081;SEMIDANG AJI;29.09792053
1601082;ULU OGAN;25.58713928
1601083;MUARA JAYA;27.19234155
1601090;PENINJAUAN;29.73757431
1601091;LUBUK BATANG;29.51717574
1601092;SINAR PENINJAUAN;29.87141822
1601093;KEDATON PENINJAUAN RAYA;29.701702
1601130;BATU RAJA TIMUR;31.01307613
1601131;LUBUK RAJA;30.16631359
1601140;BATU RAJA BARAT;29.88304693
1602010;LEMPUING;30.2083855
1602011;LEMPUING JAYA;30.04934313
1602020;MESUJI;29.36036818
1602021;SUNGAI MENANG;28.98583188
1602022;MESUJI MAKMUR;30.35040349
1602023;MESUJI RAYA;29.53733067
1602030;TULUNG SELAPAN;28.96265539
1602031;CENGAL;28.94525953
1602040;PEDAMARAN;30.14307128
1602041;PEDAMARAN TIMUR;29.88158198
1602050;TANJUNG LUBUK;29.90016776
1602051;TELUK GELAM;30.14345163
1602060;KOTA KAYU AGUNG;30.03979655
1602120;SIRAH PULAU PADANG;29.17886486
1602121;JEJAWI;29.99270859
1602130;PAMPANGAN;29.71472969
1602131;PANGKALAN LAPAM;29.03636656
1602140;AIR SUGIHAN;29.34891699
1603010;SEMENDO DARAT LAUT;26.70093332
1603011;SEMENDO DARAT ULU;21.00545737
1603012;SEMENDO DARAT TENGAH;24.2453729
1603020;TANJUNG AGUNG;28.71196272
1603021;PANANG ENIM;27.56335425
1603031;RAMBANG;29.72034601
1603032;LUBAI;29.59865258
1603033;LUBAI ULU;29.54180495
1603040;LAWANG KIDUL;30.46901112
1603050;MUARA ENIM;30.45786435
1603051;UJAN MAS;29.66259717
1603060;GUNUNG MEGANG;29.62989785
1603061;BENAKAT;29.46359398
1603062;BELIMBING;29.28168203
1603070;RAMBANG NIRU;29.62586688
1603071;EMPAT PETULAI DANGKU;29.46038679
1603090;GELUMBANG;30.29273975
1603091;LEMBAK;29.92520045
1603092;SUNGAI ROTAN;30.3698465
1603093;MUARA BELIDA;30.02180016
1603094;KELEKAR;30.68926304
1603095;BELIDA DARAT;30.12182872
1604011;TANJUNG SAKTI PUMI;24.18717812
1604012;TANJUNG SAKTI PUMU;23.95740488
1604040;KOTA AGUNG;25.82687161
1604041;MULAK ULU;27.65840137
1604042;TANJUNG TEBAT;30.0180283
1604043;MULAK SEBINGKAI;29.78456359
1604050;PULAU PINANG;29.13512415
1604051;PAGAR GUNUNG;28.29344288
1604052;GUMAY ULU;27.68031973
1604060;JARAI;25.20563768
1604061;PAJAR BULAN;27.23141834
1604062;MUARA PAYANG;26.26752171
1604063;SUKAMERINDU;27.4179508
1604111;KIKIM BARAT;29.7643179
1604112;KIKIM TIMUR;29.5484297
1604113;KIKIM SELATAN;27.95411283
1604114;KIKIM TENGAH;29.92756472
1604120;LAHAT;30.20599714
1604121;GUMAY TALANG;28.65213743
1604122;PSEKSU;26.65968068
1604123;LAHAT SELATAN;29.97521099
1604131;MERAPI BARAT;30.42645861
1604132;MERAPI TIMUR;30.03246952
1604133;MERAPI SELATAN;28.83256114
1605030;SUKU TENGAH LAKITAN ULU;27.12215339
1605031;SELANGIT;26.17334414
1605032;SUMBER HARTA;29.9628019
1605040;TUGUMULYO;31.16229032
1605041;PURWODADI;30.99036668
1605050;MUARA BELITI;30.24414928
1605051;TIANG PUMPUNG KEPUNGUT;29.61370344
1605060;JAYALOKA;29.64802484
1605061;SUKA KARYA;30.05916438
1605070;MUARA KELINGI;29.20463154
1605071;BULANG TENGAH SUKU ULU;29.59696077
1605072;TUAH NEGERI;29.97669641
1605080;MUARA LAKITAN;29.61806144
1605090;MEGANG SAKTI;29.70173977
1606010;SANGA DESA;28.5016124
1606020;BABAT TOMAN;28.97077214
1606021;BATANGHARI LEKO;28.21758994
1606022;PLAKAT TINGGI;29.27232095
1606023;LAWANG WETAN;28.37786835
1606030;SUNGAI KERUH;28.82192278
1606031;JIRAK JAYA;29.30320507
1606040;SEKAYU;28.56818585
1606041;LAIS;28.60373798
1606090;SUNGAI LILIN;29.42873414
1606091;KELUANG;29.03541139
1606092;BABAT SUPAT;29.31917419
1606100;BAYUNG LENCIR;29.16249187
1606101;LALAN;29.54041458
1606102;TUNGKAL JAYA;28.80817979
1607010;RANTAU BAYUR;29.39866136
1607020;BETUNG;29.43745654
1607021;SUAK TAPEH;29.83764962
1607030;PULAU RIMAU;29.75605549
1607031;TUNGKAL ILIR;29.35264892
1607032;SELAT PENUGUAN;29.93135237
1607040;BANYUASIN III;29.4320785
1607041;SEMBAWA;30.1551122
1607050;TALANG KELAPA;30.54572355
1607051;TANJUNG LAGO;30.06609062
1607060;BANYUASIN I;29.37797332
1607061;AIR KUMBANG;29.60127345
1607070;RAMBUTAN;29.73921923
1607080;MUARA PADANG;29.34359217
1607081;MUARA SUGIHAN;30.10922573
1607090;MAKARTI JAYA;29.48703001
