idkec;nmkec;mean
1601052;LENGKITI;42.65036313
1601070;SOSOH BUAY RAYAP;42.44494727
1601080;PENGANDONAN;45.57738051
1601081;SEMIDANG AJI;44.40995022
1601082;ULU OGAN;45.70338788
1601083;MUARA JAYA;45.777247
1601090;PENINJAUAN;43.21974193
1601091;LUBUK BATANG;43.21702922
1601092;SINAR PENINJAUAN;42.92636703
1601093;KEDATON PENINJAUAN RAYA;42.89313218
1601130;BATU RAJA TIMUR;41.24981087
1601131;LUBUK RAJA;41.14226761
1601140;BATU RAJA BARAT;42.76935734
1602010;LEMPUING;42.01439064
1602011;LEMPUING JAYA;42.11701098
1602020;MESUJI;41.49730064
1602021;SUNGAI MENANG;39.81566409
1602022;MESUJI MAKMUR;42.20715021
1602023;MESUJI RAYA;41.46297447
1602030;TULUNG SELAPAN;39.9452154
1602031;CENGAL;38.99316358
1602040;PEDAMARAN;42.14742212
1602041;PEDAMARAN TIMUR;41.54771814
1602050;TANJUNG LUBUK;42.30520471
1602051;TELUK GELAM;42.55570796
1602060;KOTA KAYU AGUNG;42.11635577
1602120;SIRAH PULAU PADANG;41.62733875
1602121;JEJAWI;41.88568298
1602130;PAMPANGAN;41.76802199
1602131;PANGKALAN LAPAM;41.77862237
1602140;AIR SUGIHAN;43.08733227
1603010;SEMENDO DARAT LAUT;45.15695194
1603011;SEMENDO DARAT ULU;42.50511134
1603012;SEMENDO DARAT TENGAH;42.2243838
1603020;TANJUNG AGUNG;46.93632576
1603021;PANANG ENIM;47.34214624
1603031;RAMBANG;44.91417291
1603032;LUBAI;43.9763346
1603033;LUBAI ULU;43.88025211
1603040;LAWANG KIDUL;48.07174646
1603050;MUARA ENIM;48.88366087
1603051;UJAN MAS;47.56719093
1603060;GUNUNG MEGANG;47.6083161
1603061;BENAKAT;46.80873185
1603062;BELIMBING;46.49771354
1603070;RAMBANG NIRU;46.08985683
1603071;EMPAT PETULAI DANGKU;45.9543723
1603090;GELUMBANG;43.22554656
1603091;LEMBAK;44.47978911
1603092;SUNGAI ROTAN;44.59729694
1603093;MUARA BELIDA;42.33317232
1603094;KELEKAR;42.07486883
1603095;BELIDA DARAT;43.89905875
1604011;TANJUNG SAKTI PUMI;42.46677045
1604012;TANJUNG SAKTI PUMU;42.62198885
1604040;KOTA AGUNG;42.49342435
1604041;MULAK ULU;44.73511867
1604042;TANJUNG TEBAT;46.31766449
1604043;MULAK SEBINGKAI;46.63349676
1604050;PULAU PINANG;49.10942107
1604051;PAGAR GUNUNG;47.13020299
1604052;GUMAY ULU;46.47265001
1604060;JARAI;43.02199306
1604061;PAJAR BULAN;43.61495935
1604062;MUARA PAYANG;43.01299802
1604063;SUKAMERINDU;42.99308452
1604111;KIKIM BARAT;44.6039595
1604112;KIKIM TIMUR;46.1590586
1604113;KIKIM SELATAN;45.04907011
1604114;KIKIM TENGAH;44.7282434
1604120;LAHAT;47.92636919
1604121;GUMAY TALANG;49.43178765
1604122;PSEKSU;46.57498085
1604123;LAHAT SELATAN;48.80966632
1604131;MERAPI BARAT;48.75484967
1604132;MERAPI TIMUR;48.25024251
1604133;MERAPI SELATAN;48.6295908
1605030;SUKU TENGAH LAKITAN ULU;43.19041068
1605031;SELANGIT;42.9916996
1605032;SUMBER HARTA;42.53628326
1605040;TUGUMULYO;40.62158918
1605041;PURWODADI;41.49223308
1605050;MUARA BELITI;40.79675498
1605051;TIANG PUMPUNG KEPUNGUT;41.74573004
1605060;JAYALOKA;43.02645891
1605061;SUKA KARYA;42.11076221
1605070;MUARA KELINGI;43.24806194
1605071;BULANG TENGAH SUKU ULU;43.69058453
1605072;TUAH NEGERI;41.72708107
1605080;MUARA LAKITAN;43.70751929
1605090;MEGANG SAKTI;43.27531191
1606010;SANGA DESA;41.51354964
1606020;BABAT TOMAN;40.36307149
1606021;BATANGHARI LEKO;41.08592981
1606022;PLAKAT TINGGI;41.02643366
1606023;LAWANG WETAN;37.05881169
1606030;SUNGAI KERUH;41.58695473
1606031;JIRAK JAYA;44.31883851
1606040;SEKAYU;37.77528144
1606041;LAIS;41.38520461
1606090;SUNGAI LILIN;41.80170118
1606091;KELUANG;40.54322451
1606092;BABAT SUPAT;41.48249999
1606100;BAYUNG LENCIR;41.8688018
1606101;LALAN;41.15715911
1606102;TUNGKAL JAYA;41.54777634
1607010;RANTAU BAYUR;42.27163618
1607020;BETUNG;41.86641935
1607021;SUAK TAPEH;41.85413763
1607030;PULAU RIMAU;41.68863051
1607031;TUNGKAL ILIR;41.98677666
1607032;SELAT PENUGUAN;41.46827683
1607040;BANYUASIN III;41.93562317
1607041;SEMBAWA;41.47475021
1607050;TALANG KELAPA;40.93869562
1607051;TANJUNG LAGO;41.80776517
1607060;BANYUASIN I;41.96381829
1607061;AIR KUMBANG;43.00618515
1607070;RAMBUTAN;42.25144161
1607080;MUARA PADANG;42.92999752
1607081;MUARA SUGIHAN;44.36272184
1607090;MAKARTI JAYA;44.16878434
1607091;AIR SALEK;43.93072045
1607100;BANYUASIN II;43.51123961
1607101;KARANG AGUNG ILIR;42.78086265
1607110;MUARA TELANG;43.17490932
1607111;SUMBER MARGA TELANG;43.16659433
1608010;MEKAKAU ILIR;44.51181392
1608020;BANDING AGUNG;45.49775707
1608021;WARKUK RANAU SELATAN;45.73378726
1608022;BUAY PEMATANG RIBU RANAU TENGAH;44.96382742
1608030;BUAY PEMACA;43.14114484
1608040;SIMPANG;41.32627516
1608041;BUANA PEMACA;41.57786008
1608050;MUARADUA;39.41739455
1608051;BUAY RAWAN;40.39308127
1608060;BUAY SANDANG AJI;42.84457227
1608061;TIGA DIHAJI;43.47793764
1608070;BUAY RUNJUNG;42.5981796
1608071;RUNJUNG AGUNG;41.70571036
1608080;KISAM TINGGI;45.08592956
1608090;MUARADUA KISAM;44.84313833
1608091;KISAM ILIR;43.50052831
1608100;PULAU BERINGIN;45.65791649
1608101;SINDANG DANAU;44.57409539
1608102;SUNGAI ARE;45.9405973
1609010;MARTAPURA;37.96788521
1609011;BUNGA MAYANG;39.23395599
1609012;JAYA PURA;39.75121997
1609020;BUAY PEMUKA PELIUNG;39.303461
1609030;BUAY MADANG;40.22501676
1609031;BUAY MADANG TIMUR;41.99434667
1609032;BUAY PEMUKA BANGSA RAJA;41.66046399
1609040;MADANG SUKU II;42.3553431
1609041;MADANG SUKU III;41.74961647
1609050;MADANG SUKU I;42.67291329
1609051;BELITANG MADANG RAYA;41.87852195
1609060;BELITANG;42.13025975
1609061;BELITANG JAYA;42.69842746
1609070;BELITANG III;42.52990534
1609080;BELITANG II;42.33412529
1609081;BELITANG MULYA;41.75963548
1609090;SEMENDAWAI SUKU III;42.52335441
1609091;SEMENDAWAI TIMUR;42.45485997
1609100;CEMPAKA;42.9103524
1609101;SEMENDAWAI BARAT;42.96457128
1610010;MUARA KUANG;43.34554039
1610011;RAMBANG KUANG;43.44440456
1610012;LUBUK KELIAT;42.03645883
1610020;TANJUNG BATU;42.06202709
1610021;PAYARAMAN;42.61652201
1610030;RANTAU ALAI;42.02938325
1610031;KANDIS;41.67594979
1610040;TANJUNG RAJA;41.63681532
1610041;RANTAU PANJANG;41.22157228
1610042;SUNGAI PINANG;42.13318773
1610050;PEMULUTAN;41.41163788
1610051;PEMULUTAN SELATAN;41.89919367
1610052;PEMULUTAN BARAT;41.55799325
1610060;INDRALAYA;41.24209321
1610061;INDRALAYA UTARA;42.10944049
1610062;INDRALAYA SELATAN;41.04190548
1611010;MUARA PINANG;42.59601413
1611020;LINTANG KANAN;42.1412952
1611030;PENDOPO;43.76365875
1611031;PENDOPO BARAT;43.16131458
1611040;PASEMAH AIR KERUH;43.57127305
1611050;ULU MUSI;43.2075132
1611051;SIKAP DALAM;43.43067146
1611060;TALANG PADANG;42.41735985
1611070;TEBING TINGGI;43.74088803
1611071;SALING;42.73515427
1612010;TALANG UBI;45.79632962
1612020;TANAH ABANG;45.65687463
1612030;ABAB;44.11579063
1612040;PENUKAL;44.82724046
1612050;PENUKAL UTARA;42.80918461
1613010;ULU RAWAS;45.04056167
1613020;KARANG JAYA;44.71380733
1613030;RAWAS ULU;42.56879299
1613040;RUPIT;42.87239509
1613050;KARANG DAPO;42.39262654
1613060;RAWAS ILIR;42.11703601
1613070;NIBUNG;43.65458316
1671010;ILIR BARAT II;40.50554466
1671011;GANDUS;41.00908649
1671020;SEBERANG ULU I;40.86851817
1671021;KERTAPATI;40.4841132
1671022;JAKABARING;40.86827036
1671030;SEBERANG ULU II;40.98150539
1671031;PLAJU;40.38764833
1671040;ILIR BARAT I;41.04670804
1671041;BUKIT KECIL;40.89637387
1671050;ILIR TIMUR I;40.89974974
1671051;KEMUNING;40.88998674
1671060;ILIR TIMUR II;41.02817796
1671061;KALIDONI;40.79222633
1671062;ILIR TIMUR TIGA;41.28397934
1671070;SAKO;41.79588272
1671071;SEMATANG BORANG;41.74613628
1671080;SUKARAMI;40.16049515
1671081;ALANG ALANG LEBAR;40.64762286
1672010;RAMBANG KAPAK TENGAH;44.89078665
1672020;PRABUMULIH TIMUR;45.22090758
1672021;PRABUMULIH SELATAN;45.11193182
1672030;PRABUMULIH BARAT;45.32191223
1672031;PRABUMULIH UTARA;44.39727649
1672040;CAMBAI;44.99669875
1673010;DEMPO SELATAN;41.82025925
1673011;DEMPO TENGAH;41.67403252
1673020;DEMPO UTARA;42.54059991
1673030;PAGAR ALAM SELATAN;43.42866492
1673040;PAGAR ALAM UTARA;44.3274166
1674011;LUBUK LINGGAU BARAT I;42.92330954
1674012;LUBUK LINGGAU BARAT II;42.59670206
1674021;LUBUK LINGGAU SELATAN I;41.95518626
1674022;LUBUK LINGGAU SELATAN II;40.55904143
1674031;LUBUK LINGGAU TIMUR I;41.60760179
1674032;LUBUK LINGGAU TIMUR II;42.07165186
1674041;LUBUK LINGGAU UTARA I;41.49845994
1674042;LUBUK LINGGAU UTARA II;41.37656551
