idkec;nmkec;Trees;Barren Sparse Vegetation;Shrubland;Grassland;Cropland;Herbaceous Wetland;Open Water;Mangroves;Built-up
6301010;PANYIPATAN;260.9818;7.4367;11.7959;59.8168;11.8915;16.5882;7.546;12.2665;0
6301020;TAKISUNG;140.2857;2.9736;2.0484;16.6041;21.1099;20.9884;9.8528;4.936;0
6301030;KURAU;13.5207;0;0.7425;5.1977;34.8023;3.3744;2.3326;2.6281;0.9913
6301031;BUMI MAKMUR;11.9711;1.9829;1.3569;4.1019;43.5458;20.5831;3.783;1.3452;0
6301040;BATI-BATI;162.1071;0.9914;0.0428;36.2165;28.6694;41.3798;0;0;0.9914
6301050;TAMBANG ULANG;136.6476;0;1.9827;28.5352;27.9565;4.467;0;0;0.9914
6301060;PELAIHARI;284.0446;0;0.1827;22.9767;23.4391;5.8504;0;0;2.9735
6301061;BAJUIN;259.1791;0;0;0.8085;2.445;0;0;0;0
6301070;BATU AMPAR;395.7873;1.982;0;1.9822;0.9911;0;0;0;0
6301080;JORONG;678.2421;40.4629;1.9819;34.6398;3.9642;6.9363;10.5701;25.1646;0.9911
6301090;KINTAP;740.6981;53.9386;5.9464;1.9434;0.9911;1.9822;11.1738;0;0.7346
6302010;PULAU SEMBILAN;34.3609;0;0;0;0;0;9.6898;0;0
6302020;PULAU LAUT BARAT;246.0149;3.7465;0;43.5383;0;0.9911;8.8185;0;0
6302021;PULAU LAUT TANJUNG SELAYAR;48.661;0;0;5.9381;0;0;8.2264;4.8186;0
6302030;PULAU LAUT SELATAN;236.4482;0.9134;0;41.6119;0.2526;0;6.6038;24.1333;0
6302031;PULAU LAUT KEPULAUAN;87.2698;0.2798;0;4.6248;0.7346;0;3.6217;3.7813;0.3653
6302040;PULAU LAUT TIMUR;457.9881;7.8544;7.8781;52.5861;10.7513;16.7579;16.6608;35.4558;0
6302050;PULAU SEBUKU;148.3006;9.4764;0;5.9485;0;0;17.139;36.7817;0
6302060;PULAU LAUT UTARA;71.9581;0.9917;0;0.9917;0;0;4.6747;17.244;2.1896
6302061;PULAU LAUT TENGAH;488.0777;2.9745;0;35.9155;4.9574;0;14.4088;28.9985;0
6302062;PULAU LAUT SIGAM;32.4087;0.6806;0;0;0;0;2.283;0.5406;1.4857
