idkec;nmkec;Trees;Grassland;Cropland;Built-up;Shrubland;Barren Sparse Vegetation;Open Water;Herbaceous Wetland;Mangroves
1601052;LENGKITI;854.1334;7.6446;1.9812;0;0;0;0;0;0
1601070;SOSOH BUAY RAYAP;216.5522;2.6807;0.9907;0.6683;0;0;0;0;0
1601080;PENGANDONAN;137.8564;0;2.2071;0;0;0;0;0;0
1601081;SEMIDANG AJI;396.3671;0;0.9909;0;0;0;0;0;0
1601082;ULU OGAN;265.6603;2.6457;0;0;0;0;0;0;0
1601083;MUARA JAYA;258.7941;0;0.7577;0;0;0;0;0;0
1601090;PENINJAUAN;399.2323;0;0.0078;0;0;0;0;0;0
1601091;LUBUK BATANG;530.2114;0.9909;0;0;0;0;0;0;0
1601092;SINAR PENINJAUAN;133.3777;0;4.2477;0;0;0;0;0;0
1601093;KEDATON PENINJAUAN RAYA;211.6952;0;0.4197;0;0;0;0.9911;0;0
1601130;BATU RAJA TIMUR;132.9559;1.2782;0;7.0522;0;1.9544;0;0;0
1601131;LUBUK RAJA;145.9205;0;0;0;0;0;0;0;0
1601140;BATU RAJA BARAT;100.2404;0;0;1.189;0;0.0233;0;0;0
1602010;LEMPUING;215.7496;0;77.5693;1.9822;0;0;0;0;0
1602011;LEMPUING JAYA;427.6243;9.0196;67.8414;0.9912;0;0.9915;0;0;0
1602020;MESUJI;551.6525;84.4432;3.9914;0.6062;1.9823;0;0;0;0
1602021;SUNGAI MENANG;1017.9085;465.0234;144.6738;0.8783;112.3861;73.6943;137.271;58.3574;20.8924
1602022;MESUJI MAKMUR;483.7492;0;0.6643;0;0;0;0;0;0
1602023;MESUJI RAYA;477.3541;34.5413;16.1044;0;0;2.9737;0;0;0
1602030;TULUNG SELAPAN;1970.2419;842.0546;565.7372;2.3179;292.876;527.8435;73.2558;40.3607;139.4584
1602031;CENGAL;1528.3241;504.1067;106.4458;1.6487;230.1019;87.5093;67.1726;51.6763;53.9305
1602040;PEDAMARAN;294.6679;53.7009;13.1849;1.983;5.3466;3.729;3.9658;7.0725;0
1602041;PEDAMARAN TIMUR;565.6379;61.8895;3.0093;0;29.8576;7.119;0;0.8592;0
1602050;TANJUNG LUBUK;187.2437;10.1013;18.3404;0;0;0;0;0;0
1602051;TELUK GELAM;148.2259;4.9569;11.6211;0;0;0;0.9914;0;0
1602060;KOTA KAYU AGUNG;160.529;30.857;19.9297;1.0188;1.3572;4.2038;3.9665;2.9865;0
1602120;SIRAH PULAU PADANG;35.5616;17.3489;47.8791;1.9523;0.7856;0;0;8.2411;0
1602121;JEJAWI;64.9668;40.0499;110.123;2.9755;0;2.9756;0.1439;10.6724;0
1602130;PAMPANGAN;233.8517;95.014;41.5375;0.9918;25.8029;1.9833;4.1885;79.3663;0
1602131;PANGKALAN LAPAM;684.7476;239.4612;73.5284;0;50.8557;18.4244;3.7375;18.8742;0
1602140;AIR SUGIHAN;846.5531;272.1886;249.4003;1.7863;135.954;235.5645;10.3323;4.962;178.4931
1603010;SEMENDO DARAT LAUT;237.2286;2.0982;0.9908;0.9908;0;0;0;0;0
1603011;SEMENDO DARAT ULU;495.5495;36.3627;15.3186;0;0.9907;0;0;0;0
1603012;SEMENDO DARAT TENGAH;114.2495;21.7504;6.4651;0;0;0;0;0;0
1603020;TANJUNG AGUNG;419.1511;5.9466;2.973;0.9911;0;4.0307;0.9911;0;0
1603021;PANANG ENIM;219.5985;0.8743;0;0;0;0;0;0;0
1603031;RAMBANG;367.9155;2.9159;0;0;0;0;0;0;0
1603032;LUBAI;465.2684;0;0;0.9913;0;0;0;0;0
1603033;LUBAI ULU;505.9319;1.9822;0;0;0;0.9912;0;0;0
1603040;LAWANG KIDUL;229.1779;4.956;0;3.9649;0;24.8424;2.5695;0;0
1603050;MUARA ENIM;168.5694;2.6396;5.952;3.9653;0;2.3713;0.7736;0;0
1603051;UJAN MAS;251.4767;3.2817;7.8656;0;0;0;0;0;0
1603060;GUNUNG MEGANG;431.4107;1.9826;1.983;0;0;0.2177;0.9915;0;0
1603061;BENAKAT;424.6559;2.547;0;0;0;0;0;0;0
1603062;BELIMBING;70.1139;0;0;0;0;0.1089;0;0;0
1603070;RAMBANG NIRU;591.2238;8.9802;0;0;0;7.8177;0;0;0
1603071;EMPAT PETULAI DANGKU;87.5297;0;1.9832;0;0;4.958;1.7888;0;0
1603090;GELUMBANG;522.5907;15.8464;1.653;0.9918;0;5.9783;0;3.0727;0
1603091;LEMBAK;186.7443;0;0;1.0694;0;0;0;0;0
1603092;SUNGAI ROTAN;245.8046;31.106;16.1382;0.3306;0;4.9322;1.6027;1.5677;0
1603093;MUARA BELIDA;72.3945;36.8916;57.668;0;2.9757;0.9919;5.5976;8.546;0
1603094;KELEKAR;139.2989;1.9562;0.3306;0;0;0;0;0.8945;0
1603095;BELIDA DARAT;140.7918;0;0;0;0;0;0;0;0
1604011;TANJUNG SAKTI PUMI;258.297;0;5.964;0.9908;0;0;0;0;0
1604012;TANJUNG SAKTI PUMU;205.0796;0;3.9437;0;0;0;0;0;0
1604040;KOTA AGUNG;182.6119;7.2504;3.9013;0;0;0;0;0;0
1604041;MULAK ULU;140.3222;0.9909;1.9818;0;0;0;0;0;0
1604042;TANJUNG TEBAT;53.1273;0.9832;3.9366;0;0;0;0;0;0
1604043;MULAK SEBINGKAI;39.2813;0;4.0494;0;0;0;0;0;0
1604050;PULAU PINANG;53.8191;0;0;0;0;0;0;0;0
1604051;PAGAR GUNUNG;122.7664;0.0039;3.9641;0;0;0;0;0;0
1604052;GUMAY ULU;179.6034;0.9911;0;0;0;0;0;0;0
1604060;JARAI;90.059;0;6.3037;0;0;0;0;0;0
1604061;PAJAR BULAN;176.0279;0;5.3397;0;0;0;0;0;0
1604062;MUARA PAYANG;49.9921;0;0.0039;0.9911;0;0;0;0;0
1604063;SUKAMERINDU;21.1646;0;5.0094;0;0;0;0;0;0
1604111;KIKIM BARAT;230.1888;1.6872;0;0;0;0;0;0;0
1604112;KIKIM TIMUR;526.4345;2.9741;0.1477;0;0;0;0;0;0
1604113;KIKIM SELATAN;269.4392;0;5.6132;0;0;0.9913;0;0;0
1604114;KIKIM TENGAH;104.7908;1.283;1.9165;0;0;0;0;0;0
1604120;LAHAT;188.7464;0.9913;0.0117;7.0045;0;0;0;0;0
1604121;GUMAY TALANG;248.1569;0;0;0;0;0;0;0;0
1604122;PSEKSU;239.9024;0;0.2488;0;0;0;0;0;0
1604123;LAHAT SELATAN;86.4499;0;2.8647;0.9173;0;0;0;0;0
1604131;MERAPI BARAT;140.537;0.9912;0;0.9912;0;10.4292;0;0;0
1604132;MERAPI TIMUR;383.9157;5.9135;4.0198;0;0;16.568;0.6142;0;0
1604133;MERAPI SELATAN;110.5024;0;0.0972;0;0;0;0;0;0
1605030;SUKU TENGAH LAKITAN ULU;575.3829;0.992;7.1261;0;0;0;0;0;0
1605031;SELANGIT;695.7265;0;0;0;0;0;0;0;0
1605032;SUMBER HARTA;98.1687;0;12.0508;0;0;0;0;0;0
1605040;TUGUMULYO;39.8249;0;17.1992;1.9253;0;0;0;0;0
1605041;PURWODADI;36.4043;0;13.5285;0;0;0;0;0;0
1605050;MUARA BELITI;165.131;0;12.504;0.0583;0;0;0.385;0;0
1605051;TIANG PUMPUNG KEPUNGUT;322.0455;0;0;0;0;0;0.8284;0;0
1605060;JAYALOKA;155.5306;0;0;0;0;0;0;0;0
1605061;SUKA KARYA;118.7282;0;0.1167;0;0;0;1.754;0;0
1605070;MUARA KELINGI;628.3236;0;0.9919;0;0;0;0;0;0
1605071;BULANG TENGAH SUKU ULU;779.5795;4.9588;3.8462;0;0;0;0;0;0
1605072;TUAH NEGERI;264.6853;0;0;0;0;0;0;0;0
1605080;MUARA LAKITAN;1682.4999;20.0968;7.9317;0;0;2.3264;2.1243;0;0
1605090;MEGANG SAKTI;422.3715;0;19.0456;0;0;0;0;0;0
1606010;SANGA DESA;577.8686;12.7507;9.9764;0.9922;0;1.8793;4.817;0.9922;0
1606020;BABAT TOMAN;412.9848;11.0002;4.9609;2.9766;0;1.9845;5.1516;0;0
1606021;BATANGHARI LEKO;2374.3125;7.2304;2.977;0;0;0;0;0;0
1606022;PLAKAT TINGGI;464.4678;0;0;0;0;0.6497;0;0;0
1606023;LAWANG WETAN;375.1568;4.4121;4.9606;0;0;0.9765;9.7307;0;0
1606030;SUNGAI KERUH;528.9519;0.4863;0;0;0;0;0;0;0
1606031;JIRAK JAYA;403.9104;0.2022;0;0;0;0;0;0;0
1606040;SEKAYU;666.4631;14.5154;16.8654;3.9683;0;1.9958;7.9367;1.9842;0
1606041;LAIS;554.5956;41.5977;13.2853;0.9921;6.8272;0;5.7187;8.9282;0
1606090;SUNGAI LILIN;403.1017;13.3633;2.6656;0;0;2.8603;1.2024;0;0
1606091;KELUANG;440.377;8.3858;0.9923;0;0;0;0;0;0
1606092;BABAT SUPAT;513.6218;40.0249;5.9145;0;1.9845;0.9923;8.3703;1.9845;0
1606100;BAYUNG LENCIR;4141.3553;294.4086;34.7454;2.978;13.8863;16.2024;6.3371;0;0
1606101;LALAN;702.9424;101.2833;179.9375;0;7.617;1.0315;27.6893;0;17.6363
1606102;TUNGKAL JAYA;1030.7827;0;0.9925;0;0;1.9849;0;0;0
1607010;RANTAU BAYUR;260.2115;29.6109;78.4349;0;2.9759;0.2062;31.8712;44.2957;0
1607020;BETUNG;342.8336;27.6376;7.9376;0;0;0;0;0;0
1607021;SUAK TAPEH;250.3585;56.1971;16.8248;0.9922;0;0.9922;0.0078;0;0.0311
1607030;PULAU RIMAU;370.8251;99.8;12.4132;0;6.2154;0.0778;6.1484;0;0
1607031;TUNGKAL ILIR;566.966;73.4619;11.0128;0;0;4.0045;4.6852;0;0
1607032;SELAT PENUGUAN;228.9776;88.5234;75.2931;0;8.0058;0;24.0708;0;9.8779
1607040;BANYUASIN III;305.7902;11.2751;0.992;0.9921;0;0;0;0.0895;0
1607041;SEMBAWA;192.8555;23.0056;4.7661;0;0;0;0;0;0.5136
1607050;TALANG KELAPA;356.8731;56.7924;12.361;9.4266;0.9921;5.9527;6.9334;0;0.4436
1607051;TANJUNG LAGO;443.9882;130.7662;140.8177;0;1.0858;2.9767;53.4794;0;32.159
1607060;BANYUASIN I;149.6274;14.0172;27.3921;1.8245;0;0;21.405;0;0
1607061;AIR KUMBANG;304.0115;33.2386;13.2836;0;0;0;0;0;0
1607070;RAMBUTAN;257.0323;115.3794;59.581;3.3337;11.5608;3.9674;0.5252;8.2461;0
1607080;MUARA PADANG;475.839;318.6344;83.3744;0;84.1457;0.6225;1.8016;1.7623;0
1607081;MUARA SUGIHAN;128.0088;43.0132;281.7919;0.1985;7.9395;16.8715;37.9119;4.9623;190.8642
1607090;MAKARTI JAYA;152.0813;12.0185;73.4299;0.9924;0.9923;1.9849;49.5999;0;36.4996
1607091;AIR SALEK;106.1952;7.3313;181.3025;0;0.9924;0;27.7524;0;22.4529
1607100;BANYUASIN II;1191.5666;493.0391;114.4399;0;200.9967;50.8584;277.717;29.4814;1388.1837
1607101;KARANG AGUNG ILIR;34.829;7.6292;90.5291;0;0.035;0.7045;0;0;7.3916
1607110;MUARA TELANG;97.0667;2.4746;254.0824;0.9922;0;0;17.7272;0;0
1607111;SUMBER MARGA TELANG;76.6811;14.5352;99.0997;0;0.8951;0.9923;18.8853;0;0.0078
1608010;MEKAKAU ILIR;428.4584;0;0.99;0;0;0;0;0;0
1608020;BANDING AGUNG;235.9163;0;0.9899;0;0;0;3.1249;0;0
1608021;WARKUK RANAU SELATAN;251.9873;2.9074;2.9694;0.9898;0;0;5.4886;0;0
1608022;BUAY PEMATANG RIBU RANAU TENGAH;191.4787;0.9899;0;0;0;0;0.7026;0;0
1608030;BUAY PEMACA;497.4613;0.1902;0.9902;0;0;0;0;0;0
1608040;SIMPANG;145.1872;4.3143;3.6003;0;0;0;0;0;0
1608041;BUANA PEMACA;185.3823;2.3998;0.3573;0;0;0;0;0;0
1608050;MUARADUA;215.1345;1.9806;0;0.9903;0;0;0.9903;0;0
1608051;BUAY RAWAN;163.5109;0;0;0;0;0;0;0;0
1608060;BUAY SANDANG AJI;209.0936;0;1.798;0;0;0;0;0;0
1608061;TIGA DIHAJI;182.9133;0;0;0;0;0.9901;0;0;0
1608070;BUAY RUNJUNG;102.426;0;4.144;0;0;0;0;0;0
1608071;RUNJUNG AGUNG;137.1214;0;0;0.9904;0;0;0;0;0
1608080;KISAM TINGGI;275.419;8.2473;0.9905;0;0;0;0;0;0
1608090;MUARADUA KISAM;195.2512;0;0;0;0;0;0;0;0
1608091;KISAM ILIR;62.6722;0;0.9904;0;0;0;0;0;0
1608100;PULAU BERINGIN;245.2017;0.9903;0.9904;0;0;0;0;0;0
1608101;SINDANG DANAU;244.1371;0;1.9807;0;0;0;0;0;0
1608102;SUNGAI ARE;184.3199;1.9806;0;0;0;0;0;0;0
1609010;MARTAPURA;150.669;0.9596;8.2431;2.9717;0;0;0.9906;0;0
1609011;BUNGA MAYANG;187.8882;0.3069;22.4121;0;0;0;2.9714;0;0
1609012;JAYA PURA;155.0154;1.196;0.2952;0.9904;0;0;0;0;0
1609020;BUAY PEMUKA PELIUNG;140.0643;0.9907;26.5215;1.9812;0;0;2.1872;0;0
1609030;BUAY MADANG;19.5136;0;52.3954;0;0;0;0.7809;0;0
1609031;BUAY MADANG TIMUR;77.3692;0.9791;68.4632;3.3101;0;0;0;0;0
1609032;BUAY PEMUKA BANGSA RAJA;80.0173;0.9985;18.5059;0.9908;0;0;0.9907;0;0
1609040;MADANG SUKU II;113.8447;0;46.917;0;0;0;1.4805;0;0
1609041;MADANG SUKU III;226.3891;0.9908;10.4262;0;0;0;0.4974;0;0
1609050;MADANG SUKU I;150.4751;7.3995;65.7435;0;0;0.9909;1.9819;0;0
1609051;BELITANG MADANG RAYA;78.9161;1.3912;36.3587;0.307;0;0;0;0;0
1609060;BELITANG;11.3181;0;53.5559;2.6654;0;0;0;0;0
1609061;BELITANG JAYA;92.3634;0;11.6243;0;0;0;0;0;0
1609070;BELITANG III;120.4552;0;23.314;0;0;0;0;0;0
1609080;BELITANG II;158.0689;0;30.5566;0;0;0;0;0;0
1609081;BELITANG MULYA;28.0441;0;25.5226;0.9909;0;0;0;0;0
1609090;SEMENDAWAI SUKU III;70.4175;0;52.1547;0.991;0;0;0;0;0
1609091;SEMENDAWAI TIMUR;192.8385;0;27.6832;0;0;0;0;0;0
1609100;CEMPAKA;361.0754;32.667;39.5426;0;0;0.96;0;0;0
1609101;SEMENDAWAI BARAT;241.1936;4.1784;45.3606;0;0;0.0311;0;0;0
1610010;MUARA KUANG;245.5146;12.7939;10.6529;0.9914;0;0.7037;0;1.9829;0
1610011;RAMBANG KUANG;485.6573;1.3997;0;0;0;0.2877;0;0.9914;0
1610012;LUBUK KELIAT;128.6101;18.2049;37.4297;0;0;0;0;0;0
1610020;TANJUNG BATU;181.8172;19.8644;36.9011;0.9917;0;0;0;11.7252;0
1610021;PAYARAMAN;179.789;0;4.8838;0;0;0;0;0;0
1610030;RANTAU ALAI;61.9553;7.3141;3.7018;0;0;0;1.9831;0;0
1610031;KANDIS;21.2975;3.5541;6.3889;0;0;0;0;0;0
1610040;TANJUNG RAJA;61.2805;5.1294;5.9733;0.9917;0;0;0.5056;0;0
1610041;RANTAU PANJANG;18.9475;0;32.719;0;0;0;0.6767;0;0
1610042;SUNGAI PINANG;18.5925;0;19.5142;0;0;0;1.4739;0.49;0
1610050;PEMULUTAN;3.3607;18.3168;75.3051;2.6024;0;0;3.6096;0;0
1610051;PEMULUTAN SELATAN;13.4804;1.6958;34.9845;0;0;0;1.3068;0;0
1610052;PEMULUTAN BARAT;10.4199;16.7095;38.5213;0;0;0.9918;1.198;0.9918;0
1610060;INDRALAYA;40.2806;8.3309;26.8823;2.9753;0;0.9918;0;8.2762;0
1610061;INDRALAYA UTARA;200.5602;96.4358;5.3251;0.9918;0;3.9672;0;6.5923;0
1610062;INDRALAYA SELATAN;24.3025;3.959;3.3601;0.9917;0;0.9917;0;4.1417;0
1611010;MUARA PINANG;87.2118;0;1.9356;0.7812;0;0;0;0;0
1611020;LINTANG KANAN;118.0612;0;14.3109;0.2099;0;0;0;0;0
1611030;PENDOPO;118.5983;0;15.4583;1.893;0;0;0;0;0
1611031;PENDOPO BARAT;90.3269;0;0;0.0894;0;0;0;0;0
1611040;PASEMAH AIR KERUH;83.1573;0.9912;21.661;0;0;0;0;0;0
1611050;ULU MUSI;212.7144;0;2.1223;0;0;0;0;0;0
1611051;SIKAP DALAM;105.0874;0.9912;0;0;0;0;0;0;0
1611060;TALANG PADANG;119.7842;0;1.9826;0;0;0;0;0;0
1611070;TEBING TINGGI;349.5114;0;0.9914;0;0;0;0;0;0
1611071;SALING;113.4914;0;0.9915;0;0;0;0;0;0
1612010;TALANG UBI;691.2478;0;0;0.9917;0;0;0;0;0
1612020;TANAH ABANG;161.8755;3.3835;6.942;1.575;0;0;1.1822;0.9917;0
1612030;ABAB;331.8819;17.609;2.2523;0.9918;0.9919;3.7615;3.9871;7.9782;0
1612040;PENUKAL;337.0869;4.8041;0;0.9919;1.9333;0;0.0583;1.0231;0
1612050;PENUKAL UTARA;305.398;17.1044;0;0;3.1354;3.9677;0;2.9447;0
1613010;ULU RAWAS;1448.0841;0;0;0;0;0;0;0;0
1613020;KARANG JAYA;1397.9317;0;0;0;0;0;0;0;0
1613030;RAWAS ULU;481.637;0;0;0;0;0.9923;0;0;0
1613040;RUPIT;391.3296;0.9921;0.4591;0;0;0;0;0;0
1613050;KARANG DAPO;501.436;9.0972;3.5095;0;0;3.9688;0.9923;0;0
1613060;RAWAS ILIR;977.405;9.9425;10.8524;0;0;1.0974;0.9923;0.9923;0
1613070;NIBUNG;610.6762;1.9847;0;0;0;0.8446;0;0;0
1671010;ILIR BARAT II;0;0;0;3.4739;0;0;0.7625;0;0
1671011;GANDUS;26.9703;3.6022;7.1693;7.3795;0;0;4.9014;0;0
1671020;SEBERANG ULU I;0;0;0.6652;3.7967;0;0;0.1984;0;0
1671021;KERTAPATI;1.1631;10.4057;23.3126;5.835;0;0;2.159;0;0
1671022;JAKABARING;1.7311;2.5091;0.3696;8.8732;0;0;0.9764;0;0
1671030;SEBERANG ULU II;0;0.5757;0;6.3643;0;0;0.9103;0;0
1671031;PLAJU;3.2365;1.1592;2.902;8.4337;0;0;4.3764;0;0
1671040;ILIR BARAT I;21.1785;0.9453;0;16.1637;0;0;0;0;0
1671041;BUKIT KECIL;0;0;0;2.3925;0;0;0.0311;0;0
1671050;ILIR TIMUR I;0;0;0;5.1895;0;0;0;0;0
1671051;KEMUNING;0.105;0;0;6.3606;0;0;0;0;0
1671060;ILIR TIMUR II;0;0;0;7.8388;0;0;0.9453;0.3462;0
1671061;KALIDONI;2.5015;0.0934;8.9164;17.9886;0;0;2.2447;0.6419;0
1671062;ILIR TIMUR TIGA;0;0;0;7.8583;0;0;0;0;0
1671070;SAKO;6.6837;4.0344;0;6.8159;0;0;0;0;0
1671071;SEMATANG BORANG;14.4372;5.8005;0;4.7423;0;0;0;0;0
1671080;SUKARAMI;16.9741;7.2635;0;26.6961;0;0;0;0;0
1671081;ALANG ALANG LEBAR;15.0515;4.5244;0;12.9159;0;0;0;0;0
1672010;RAMBANG KAPAK TENGAH;126.6257;0;0;0;0;0;0;0;0
1672020;PRABUMULIH TIMUR;62.897;0;0;7.4544;0;0;0;0;0
1672021;PRABUMULIH SELATAN;46.4264;0;0;1.3143;0;0;0;0;0
1672030;PRABUMULIH BARAT;115.5035;0;0.9917;0.4588;0;0;0;0;0
1672031;PRABUMULIH UTARA;14.8933;0;0;2.1076;0;0;0;0;0
1672040;CAMBAI;78.1288;0;0;0.5561;0;0;0;0;0
1673010;DEMPO SELATAN;207.9009;0.0117;2.9726;0.9909;0;0;0;0;0
1673011;DEMPO TENGAH;186.0133;0;1.4766;0;0;0;0;0;0
1673020;DEMPO UTARA;112.3182;0.2448;3.746;0.0855;0;0;0;0;0
1673030;PAGAR ALAM SELATAN;40.8332;1.7292;3.6799;2.9339;0;0;0;0;0
1673040;PAGAR ALAM UTARA;38.4756;0;3.1594;1.9274;0;0;0;0;0
1674011;LUBUK LINGGAU BARAT I;53.361;0;0;2.0612;0;0;0;0;0
1674012;LUBUK LINGGAU BARAT II;6.3898;0;0;1.2756;0;0;0;0;0
1674021;LUBUK LINGGAU SELATAN I;81.9398;0;0.1595;0;0;0;0;0;0
1674022;LUBUK LINGGAU SELATAN II;26.194;0;3.7609;0.984;0;0;0;0;0
1674031;LUBUK LINGGAU TIMUR I;8.801;0;0;3.1735;0;0;0;0;0
1674032;LUBUK LINGGAU TIMUR II;7.4552;0;0;3.3251;0;0;0;0;0
1674041;LUBUK LINGGAU UTARA I;125.4367;0;2.8393;0;0;0;0;0;0
1674042;LUBUK LINGGAU UTARA II;33.171;0;0;2.0534;0;0;0;0;0
