idkec;nmkec;Trees;Grass;Crops;Shrub and Scrub;Built Area;Water;Flooded Vegetation;Bare Ground;Cloud
6303100;PENGARON;238.6059;10.4343;2.9751;8.0576;0.9918;0;0;0;0
6303101;SAMBUNG MAKMUR;75.5698;0;2.9754;2.9326;0.0078;1.3185;0;0;0
6303110;MATARAMAN;145.0026;26.251;35.5265;18.8425;1.9833;0.6922;6.9575;0.9917;0
6303122;CINTAPURI DARUSSALAM;74.0462;45.5838;178.7796;41.0368;1.9837;2.7615;82.8019;1.9836;0
6303120;SIMPANG EMPAT;105.906;7.5921;7.7124;1.5441;0.984;0.7234;18.5529;0.9918;0
6303121;TELAGA BAUNTUNG;89.0457;0;0;0;0.9919;0;0;0.9919;0
6311010;LAMPIHONG;95.0378;2.0162;4.7134;4.2189;0.7629;0;5.9781;0;0
6311020;BATU MANDI;91.9858;0.9925;16.5638;1.0158;1.6307;0;0;0;0
6311031;TEBING TINGGI;234.1032;0;0;0;0;0;0;0;0
6311030;AWAYAN;111.2556;0;9.4691;0;0.9924;0.9924;0;0;0
6311040;PARINGIN;93.5738;0;0.9925;31.4818;4.7913;3.1372;7.9638;8.1196;0
6311041;PARINGIN SELATAN;58.5372;0.9925;3.9661;0.7395;1.6386;0;0.9925;0;0
6311050;JUAI;184.008;0;3.2851;18.89;1.8605;2.9777;2.9621;9.9607;0
6311060;HALONG;823.5813;0;1.6698;0;1.9851;0;0;0;0
6301010;PANYIPATAN;224.5156;24.3139;24.7078;84.2878;2.9728;7.9304;19.6806;0;0
6301020;TAKISUNG;106.3193;12.5898;29.9675;27.7247;19.0566;12.1106;11.0342;0;0
6304100;BARAMBAI;33.9613;10.8616;77.3323;26.3906;4.4697;3.0886;4.4073;0;0
6301030;KURAU;12.0865;2.0527;40.6879;0.5054;0.5482;5.6097;1.9904;0;0
6301031;BUMI MAKMUR;9.3272;6.9127;54.2147;6.7923;0;1.699;9.93;0;0
6304110;RANTAU BADAUH;22.9452;4.5198;85.0842;8.7948;0.9919;1.8399;6.3948;0;0
6301040;BATI-BATI;124.2967;10.6065;43.5376;45.6563;19.5719;0;26.7643;0;0
6304120;CERBON;26.4754;0.953;68.012;1.6065;3.5672;3.4466;5.0608;0;0
6301050;TAMBANG ULANG;115.5884;11.9546;27.7111;23.3026;4.6535;0;17.2496;0;0
6304130;BAKUMPAI;45.3287;9.7845;50.297;36.7627;2.373;10.9634;23.6541;0;0
6301061;BAJUIN;230.6545;0.9913;11.813;4.9448;8.1395;0;5.9478;0;0
6301060;PELAIHARI;213.7975;8.2913;57.75;28.322;26.5524;0;4.7927;0;0
6304140;MARABAHAN;59.0373;19.9267;89.4494;7.7262;5.563;1.5444;1.4473;0;0
6301070;BATU AMPAR;367.7337;1.9821;12.8252;1.9821;7.9285;0;3.9643;0;4.3732
6304150;TABUKAN;62.0018;11.2865;56.7052;13.2403;0.9921;7.7701;12.968;0;0
6301080;JORONG;527.5221;14.6086;100.7801;100.5225;13.8742;12.5837;28.5843;3.1637;1.174
6304160;KURIPAN;41.8744;5.712;44.2514;17.2882;1.9846;16.5728;10.2887;0;0
6301090;KINTAP;669.3109;8.6332;31.1167;48.4207;13.8756;15.3291;11.9907;18.6417;0
6309010;BANUA LAWAS;102.9395;1.9851;35.2168;4.8848;1.8838;2.0006;2.9892;0;0
6309020;PUGAAN;10.509;0;4.729;0;1.121;1.5413;13.3153;0;0
6309030;KELUA;29.166;0;12.4283;0;5.9124;0.4437;5.8112;0;0
6309040;MUARA HARUS;17.4184;0;3.5615;0.0039;1.8956;0;3.616;0;0
6309050;TANTA;136.4566;0;4.5035;3.1645;2.1603;1.0354;0.0156;2.7792;0
6309060;TANJUNG;171.961;0.9927;3.1258;0.9926;5.7961;0;0;0;0
6309070;MURUNG PUDAK;108.5006;0;0.9926;31.6817;22.8067;1.7789;4.7179;1.993;0
6309081;BINTANG ARA;1178.0123;0;0;0.9928;0;0;0;0;0
6309080;HARUAI;247.7871;0;1.5338;17.8905;3.3129;0;1.2379;0.1946;0
6309090;UPAU;176.6532;0;0.4477;2.0359;1.6466;0.9926;0;1.7478;0
6306010;PADANG BATUNG;173.5479;0;16.1197;2.5094;5.0814;0;0;1.9764;0
6306020;LOKSADO;310.8564;0;0;0;0;0;0;0;0.8054
6306030;TELAGA LANGSAT;46.4964;0;16.9221;0;2.7704;0;0;0;0
6307010;HARUYAN;78.5185;0;31.0982;0.6382;4.2569;0;1.0195;0;0
6307020;BATU BENAWA;30.3914;0;19.6127;0;6.3507;0;0;0;0
6307030;HANTAKAN;222.855;0;0;0;0;0;0;0;0
6307041;BATANG ALAI TIMUR;737.2472;0;0;0;0;0;0;0;6.1364
6307040;BATANG ALAI SELATAN;39.9387;0;31.6343;0;4.9617;0;0;0;0
6307050;BARABAI;0.5837;0;30.2991;0;11.5693;0;0;0;0
6307060;LABUAN AMAS SELATAN;17.892;0.9923;53.3104;1.3464;4.1053;0;6.2922;0;0
6307070;LABUAN AMAS UTARA;16.161;8.5261;35.4037;0.2063;9.0008;6.9655;90.3129;0;0
6307080;PANDAWAN;14.434;0;54.1232;5.6585;5.3625;6.9465;20.9757;0;0
6307090;BATANG ALAI UTARA;35.9674;0;29.7402;0.8834;3.985;0;0;0;0
6307091;LIMPASU;46.1558;0;15.7654;0;0;0;0;0;0
6302121;KELUMPANG HILIR;226.7076;13.539;10.7311;6.5497;10.3222;5.2546;14.7558;0.6534;0
6302120;KELUMPANG SELATAN;259.6717;17.2388;7.6043;3.2129;2.9757;38.5555;32.2759;0;0
6302130;KELUMPANG HULU;1007.489;9.6233;0.5951;16.6138;0;8.1266;0;0.9919;0
6302140;HAMPANG;1479.8734;35.8096;10.312;26.0818;0;0;3.9681;0;0.9921
6302150;SUNGAI DURIAN;780.4908;11.7991;4.2766;5.8683;1.9848;0.9924;0;0.9923;0
6302161;KELUMPANG BARAT;442.3161;0;0;6.1243;0;5.8516;0;0;0
6302160;KELUMPANG TENGAH;269.1279;5.124;5.9526;1.9957;1.5562;14.8768;0;0;0
6302170;KELUMPANG UTARA;196.5321;3.9684;5.0109;0.4163;0;3.8517;0;2.9765;0
6302180;PAMUKAN SELATAN;225.6678;27.5101;29.3289;10.1604;3.8059;18.7613;10.9163;0.9922;0
6302190;SAMPANAHAN;381.3222;6.0313;0.0817;0.6343;0.9923;17.8617;1.6344;0;0
6308011;PAMINGGIR;7.2233;12.3838;1.9848;10.2666;0;2.5881;160.0962;0;0
6308010;DANAU PANGGANG;34.4626;6.1218;0;6.3475;1.9848;0.467;83.0953;0;0
6308020;BABIRIK;15.4189;3.6776;2.9576;0;4.9618;8.8145;41.3608;0;0
6308031;SUNGAI TABUKAN;0;0;1.2882;0;3.6039;4.4912;14.649;0;0
6308030;SUNGAI PANDAN;0;0;7.8808;0;7.8069;18.5868;24.7978;0;0
6308040;AMUNTAI SELATAN;92.66;0;3.1913;5.3128;7.1728;5.546;46.6262;0;0
6308050;AMUNTAI TENGAH;28.1412;0;5.468;0.397;9.3756;7.7758;34.2163;0;0
6302200;PAMUKAN UTARA;566.8242;15.9143;14.5444;16.5485;2.9774;1.9849;0;0;0
6302201;PAMUKAN BARAT;397.2206;0.9924;2.9774;2.09;2.9775;0;0;0;0
6308060;BANJANG;41.8723;1.9537;27.9939;0.9924;1.6424;1.6191;22.9118;0;0
6308071;HAUR GADING;12.9451;0;5.1298;0;4.1489;7.4805;10.7693;0;0
6308070;AMUNTAI UTARA;5.6475;0;5.6942;0;4.2617;6.0288;14.4123;0;0
6304010;TABUNGANEN;19.279;0;118.3918;2.5819;4.9579;34.9179;53.9243;0;0
6304020;TAMBAN;6.6851;7.8439;135.4665;3.3017;2.6601;7.6106;3.675;0;0
6304030;MEKAR SARI;24.9919;12.4489;71.6525;27.5433;2.9129;0;0.07;0;0
6304040;ANJIR PASAR;12.0893;9.0862;46.5824;14.8665;2.1471;0;22.4503;0;0
6304050;ANJIR MUARA;4.0527;3.6989;73.0402;0.634;2.1392;3.87;0.6184;0;0
6304060;ALALAK;17.3268;0;54.6025;1.9718;15.8367;11.5551;1.9836;0;0
6304071;JEJANGKIT;24.9789;7.6466;87.4932;25.4759;0;0.9957;28.2682;0;0
6304070;MANDASTANA;5.1185;4.1693;76.0882;2.003;5.068;0.9918;21.9239;0;0
6304080;BELAWANG;13.5754;1.0152;31.8099;11.9533;1.8398;10.4089;0;0;0
6304090;WANARAYA;72.6273;15.7747;49.6494;12.5335;7.6478;0;0;0;0
6371010;BANJARMASIN SELATAN;0;1.4311;16.469;0;16.722;3.0877;0;0;0
6371020;BANJARMASIN TIMUR;0;0;2.1739;0;14.7079;0;0.7933;0;0
6305010;BINUANG;68.2981;1.2719;96.5444;2.9835;10.6109;1.9838;3.349;0;0
6305011;HATUNGUN;65.2087;0;1.9837;0;0;0.1478;0;0.9918;0
6371030;BANJARMASIN BARAT;0;0;0.0389;0;9.0612;3.889;0;0;0
6371031;BANJARMASIN TENGAH;0;0;0;0;6.619;0.0156;0;0;0
6305021;SALAM BABARIS;60.4717;0;0;2.439;1.9838;0;0;0;0
6305020;TAPIN SELATAN;47.5787;1.984;71.8333;17.3144;5.2514;0.992;0.992;0.992;0
6371040;BANJARMASIN UTARA;1.0617;0;4.0291;0;15.7079;0.3733;1.1862;0;0
6305030;TAPIN TENGAH;27.9118;0.9998;246.6306;30.4651;6.9441;0.1323;1.0153;0;0
