idkec;nmkec;Trees;Crops;Shrub and Scrub;Built Area;Cloud;Water;Grass;Flooded Vegetation;Bare Ground
1601052;LENGKITI;813.8003;0.9906;46.2487;0.9906;1.9814;0;0;0;0
1601070;SOSOH BUAY RAYAP;205.9849;1.9813;12.1447;0.3186;0;0.2292;0;0;0
1601080;PENGANDONAN;137.4873;1.7719;0;0.816;0;0;0;0;0
1601081;SEMIDANG AJI;381.9227;7.6285;1.8848;2.9726;0;0;2.9728;0;0
1601082;ULU OGAN;245.1666;1.9816;16.9931;0;4.2113;0;0;0;0
1601083;MUARA JAYA;253.9798;3.1747;2.1952;0.1749;0;0;0;0;0
1601090;PENINJAUAN;351.8108;0.0272;38.3968;3.9644;0;3.9643;0;0.9911;0
1601091;LUBUK BATANG;509.7788;5.4325;13.3564;0.9909;0;0.9909;0.9911;0;0
1601092;SINAR PENINJAUAN;114.8049;0.1982;10.3375;9.9104;0;0;0.0194;2.4483;0
1601093;KEDATON PENINJAUAN RAYA;198.4454;1.881;8.0806;0.9911;0;0.9911;2.6935;0;0
1601130;BATU RAJA TIMUR;110.6922;0.6373;5.9291;24.2066;0;0.6566;0.9907;0;0
1601131;LUBUK RAJA;135.5233;0;8.4585;1.9815;0;0;0;0;0
1601140;BATU RAJA BARAT;96.8832;2.0672;0.0971;2.207;0;0.101;0;0;0
1602010;LEMPUING;145.8817;126.55;0.9911;19.0838;0;0;1.5119;0.9911;0
1602011;LEMPUING JAYA;262.9657;162.7751;21.6097;20.8862;0;0.9912;10.1888;26.7557;0
1602020;MESUJI;546.6427;66.347;16.8804;8.0523;0;0;4.4345;0;0
1602021;SUNGAI MENANG;1181.7284;446.0273;122.0754;4.4786;1.9825;130.1747;94.4136;49.0152;0.9911
1602022;MESUJI MAKMUR;423.312;13.2688;24.485;18.9263;0;0;4.6313;0;0
1602023;MESUJI RAYA;366.3672;120.491;21.096;8.7963;0.9911;0;6.6624;6.9388;0
1602030;TULUNG SELAPAN;2876.8366;1090.4381;134.0625;7.9805;0;71.4214;213.6055;59.572;0
1602031;CENGAL;2019.5864;255.1154;155.9523;3.9155;0;53.8009;106.4699;35.6636;0.9914
1602040;PEDAMARAN;202.6224;80.148;39.1087;8.4762;0;9.9149;12.2829;31.0976;0
1602041;PEDAMARAN TIMUR;475.009;144.8103;32.2045;5.9486;0;0;6.691;3.9657;0
1602050;TANJUNG LUBUK;162.9553;11.5983;27.9782;1.983;0;0;8.1573;2.9396;0
1602051;TELUK GELAM;137.2542;16.5078;4.4789;2.0257;0;3.9656;0;1.9985;0
1602060;KOTA KAYU AGUNG;51.7548;88.1256;16.5695;13.8554;0;6.9179;7.797;39.8128;0
1602120;SIRAH PULAU PADANG;28.8374;16.3652;1.4546;2.9752;0;4.6591;0;57.3137;0
1602121;JEJAWI;52.4195;39.2614;9.3933;1.9836;0;18.9957;3.8546;106.1468;0
1602130;PAMPANGAN;201.2365;93.436;31.3285;0.9918;0;14.4061;2.2752;139.3769;0
1602131;PANGKALAN LAPAM;789.5256;162.4852;62.8958;1.9836;0;8.2729;21.5363;42.8245;0
1602140;AIR SUGIHAN;1212.5859;454.0434;133.2206;28.8743;0;17.3482;66.317;22.7708;0
1603010;SEMENDO DARAT LAUT;223.8035;9.815;6.6835;0.9909;0;0;0;0;0
1603011;SEMENDO DARAT ULU;475.5146;38.5353;16.8448;0.9907;0;0;16.1963;0;0
1603012;SEMENDO DARAT TENGAH;115.9203;19.0848;6.2283;0.1943;0;0;1.0607;0;0
1603020;TANJUNG AGUNG;411.2539;6.1367;11.3567;2.9732;0;1.4692;0;0;1.1233
1603021;PANANG ENIM;218.6775;0.2798;0.3109;0.9909;0;0;0;0;0
1603031;RAMBANG;351.8482;5.4617;6.4298;4.9571;0;0;2.2007;0;0
1603032;LUBAI;457.6024;0.4393;5.1585;2.974;0.1283;0;0;0;0
1603033;LUBAI ULU;492.7626;3.0163;9.0451;1.9823;0.863;0;0;0;0.9912
1603040;LAWANG KIDUL;204.4364;4.5907;33.2429;17.8419;0;1.4965;1.9824;0;1.8502
1603050;MUARA ENIM;145.3993;10.481;7.9536;18.4701;0;1.9828;0;0;0
1603051;UJAN MAS;215.1531;31.1603;3.9853;5.8748;0;1.9829;4.316;0;0
1603060;GUNUNG MEGANG;415.2989;9.2957;8.4953;0;0;3.5035;0;0;0
1603061;BENAKAT;376.9281;27.5305;14.1353;0;0;0.4627;8.1384;0;0
1603062;BELIMBING;65.3542;0;0;2.372;0;1.9832;0;0.5794;0
1603070;RAMBANG NIRU;576.3149;19.5887;7.2308;2.9745;0;0;1.8428;0;0
1603071;EMPAT PETULAI DANGKU;67.9776;2.6948;1.9716;3.9663;0;9.8734;0.976;8.9245;0
1603090;GELUMBANG;475.314;31.1943;24.7185;12.8929;0.6962;0;0.774;4.3913;0
1603091;LEMBAK;185.2626;0;0;2.0378;0;0.2761;0;0.3072;0
1603092;SUNGAI ROTAN;175.1152;63.8999;6.733;1.8475;0;0.7156;0;53.1901;0
1603093;MUARA BELIDA;64.3854;20.3596;22.324;1.9722;0;6.4262;3.1275;66.3577;0
1603094;KELEKAR;134.9744;2.1077;0.9916;0;0;0;0;4.4181;0
1603095;BELIDA DARAT;140.8112;0;0;0;0;0;0;0;0
1604011;TANJUNG SAKTI PUMI;251.7656;12.1146;1.3833;0;0;0;0;0;0
1604012;TANJUNG SAKTI PUMU;202.4219;6.7063;0;0;0;0;0;0;0
1604040;KOTA AGUNG;158.0163;17.4431;16.9172;0.7926;0;0;0.5711;0;0
1604041;MULAK ULU;128.2603;12.1939;2.9728;0;0;0;0;0;0
1604042;TANJUNG TEBAT;42.4366;14.8566;0.7695;0;0;0;0;0;0
1604043;MULAK SEBINGKAI;38.0066;5.2152;0;0;0;0;0;0;0
1604050;PULAU PINANG;50.6747;0;0;0.9173;0;0.9911;1.0999;0;0
1604051;PAGAR GUNUNG;116.6455;8.6509;0.2215;0.991;0;0;0;0;0
1604052;GUMAY ULU;176.8247;0.0039;3.7737;0;0;0;0;0;0
1604060;JARAI;83.4406;10.3727;0.4197;1.982;0;0;0;0;0
1604061;PAJAR BULAN;161.3735;2.0908;16.0418;1.7954;0;0;0;0;0
1604062;MUARA PAYANG;50.9521;0.0078;0;0;0;0;0;0;0
1604063;SUKAMERINDU;20.2474;5.503;0;0.3692;0;0;0;0;0
1604111;KIKIM BARAT;216.0912;8.9539;4.4438;0;0;0;2.3522;0;0
1604112;KIKIM TIMUR;517.2435;1.9829;7.3632;0.9914;0;0;1.9829;0;0
1604113;KIKIM SELATAN;260.8597;9.9243;4.0585;0.9912;0;0;0;0;0
1604114;KIKIM TENGAH;97.2294;5.9479;4.0782;0;0;0;0.9913;0;0
1604120;LAHAT;168.2994;7.433;1.9827;16.0419;0;1.3449;1.5625;0;0
1604121;GUMAY TALANG;243.8883;3.2075;1.1001;0.0117;0;0;0;0;0
1604122;PSEKSU;237.3139;0;0.894;0;1.9822;0;0;0;0
1604123;LAHAT SELATAN;70.1251;5.9003;0;3.8287;0;0.4975;10.2067;0;0
1604131;MERAPI BARAT;119.7991;1.901;12.1667;7.9297;0;4.0893;0;0;7.059
1604132;MERAPI TIMUR;345.3689;33.3847;19.1341;5.3842;0;1.9942;0.9915;0.9913;3.8446
1604133;MERAPI SELATAN;100.63;6.0711;2.9734;0.9911;0;0;0;0;0
1605030;SUKU TENGAH LAKITAN ULU;555.2535;16.7063;0.9919;6.9279;0;2.7072;0;0.9569;0
1605031;SELANGIT;693.8634;0;1.3419;0;1.0268;0;0;0;0
1605032;SUMBER HARTA;71.3596;33.383;0;4.5083;0;0.7196;0;0.035;0
1605040;TUGUMULYO;14.8192;33.5235;0;9.2803;0;1.198;0;0;0
1605041;PURWODADI;24.5444;21.024;0;4.4148;0;0;0;0;0
1605050;MUARA BELITI;149.6011;22.5968;0;4.0604;0;0.3306;0.9373;0.5017;0
1605051;TIANG PUMPUNG KEPUNGUT;311.9192;0;5.1018;0;0;0;1.3454;4.5698;0
1605060;JAYALOKA;148.6162;0.1867;0;3.9666;0;0;2.8117;0;0
1605061;SUKA KARYA;115.7414;0;0;0.9918;0;0;0;3.8425;0
1605070;MUARA KELINGI;609.6323;10.9113;2.9757;5.9517;0;0;0;0;0
1605071;BULANG TENGAH SUKU ULU;756.1644;4.768;12.8342;2.9745;0;0;11.3557;0;0
1605072;TUAH NEGERI;252.9038;2.9755;0;5.9511;0;0;2.9755;0;0
1605080;MUARA LAKITAN;1542.2623;108.191;45.1054;5.9511;0;3.9683;9.5789;0;0
1605090;MEGANG SAKTI;382.1868;49.5165;0.7353;8.928;0;0;0;0;0
1606010;SANGA DESA;556.2079;12.6802;18.6454;4.9609;0;5.6263;3.5797;7.9028;0
1606020;BABAT TOMAN;394.3548;20.5289;9.9222;4.961;0;5.4707;1.747;2.9765;0
1606021;BATANGHARI LEKO;2291.3782;26.5786;49.679;0.9922;0;1.9845;5.7046;7.9381;0
1606022;PLAKAT TINGGI;442.6779;2.7272;13.4955;3.9683;0;0;0.9921;0;0
1606023;LAWANG WETAN;348.5025;34.6615;0;0.9921;0;7.6024;0.5641;2.9764;0
1606030;SUNGAI KERUH;524.4358;0.992;1.4004;0.9919;0;0.8712;0.9918;0;0
1606031;JIRAK JAYA;391.9813;3.2826;5.8228;2.9754;0;0.07;0;0;0
1606040;SEKAYU;611.8415;25.3381;14.6976;14.8813;0;15.9823;3.9681;26.9732;0
1606041;LAIS;478.4276;25.6555;8.2549;4.7114;0;11.1222;13.3396;89.9316;0
1606090;SUNGAI LILIN;351.1473;6.9852;1.7123;24.8093;0;4.7009;33.4569;0;0
