idkec;nmkec;Trees;Barren Sparse Vegetation;Shrubland;Grassland;Cropland;Herbaceous Wetland;Open Water;Mangroves;Built-up
6301010;PANYIPATAN;0.6721;0.0192;0.0304;0.154;0.0306;0.0427;0.0194;0.0316;0
6301020;TAKISUNG;0.6412;0.0136;0.0094;0.0759;0.0965;0.0959;0.045;0.0226;0
6301030;KURAU;0.2126;0;0.0117;0.0817;0.5473;0.0531;0.0367;0.0413;0.0156
6301031;BUMI MAKMUR;0.135;0.0224;0.0153;0.0463;0.4911;0.2321;0.0427;0.0152;0
6301040;BATI-BATI;0.5995;0.0037;0.0002;0.1339;0.106;0.153;0;0;0.0037
6301050;TAMBANG ULANG;0.6813;0;0.0099;0.1423;0.1394;0.0223;0;0;0.0049
6301060;PELAIHARI;0.8367;0;0.0005;0.0677;0.069;0.0172;0;0;0.0088
6301061;BAJUIN;0.9876;0;0;0.0031;0.0093;0;0;0;0
6301070;BATU AMPAR;0.9876;0.0049;0;0.0049;0.0025;0;0;0;0
6301080;JORONG;0.8447;0.0504;0.0025;0.0431;0.0049;0.0086;0.0132;0.0313;0.0012
6301090;KINTAP;0.9062;0.066;0.0073;0.0024;0.0012;0.0024;0.0137;0;0.0009
6302010;PULAU SEMBILAN;0.78;0;0;0;0;0;0.22;0;0
6302020;PULAU LAUT BARAT;0.8116;0.0124;0;0.1436;0;0.0033;0.0291;0;0
6302021;PULAU LAUT TANJUNG SELAYAR;0.7194;0;0;0.0878;0;0;0.1216;0.0712;0
6302030;PULAU LAUT SELATAN;0.7628;0.0029;0;0.1342;0.0008;0;0.0213;0.0779;0
6302031;PULAU LAUT KEPULAUAN;0.8668;0.0028;0;0.0459;0.0073;0;0.036;0.0376;0.0036
6302040;PULAU LAUT TIMUR;0.7558;0.013;0.013;0.0868;0.0177;0.0277;0.0275;0.0585;0
6302050;PULAU SEBUKU;0.6814;0.0435;0;0.0273;0;0;0.0787;0.169;0
6302060;PULAU LAUT UTARA;0.7339;0.0101;0;0.0101;0;0;0.0477;0.1759;0.0223
6302061;PULAU LAUT TENGAH;0.8483;0.0052;0;0.0624;0.0086;0;0.025;0.0504;0
6302062;PULAU LAUT SIGAM;0.8666;0.0182;0;0;0;0;0.061;0.0145;0.0397
6302120;KELUMPANG SELATAN;0.4912;0;0.0082;0.0715;0.0003;0;0.0514;0.3746;0.0027
6302121;KELUMPANG HILIR;0.7268;0.0138;0.0034;0.0168;0.0031;0;0.0128;0.2233;0
6302130;KELUMPANG HULU;0.9351;0;0;0;0;0;0.0062;0.0588;0
6302140;HAMPANG;0.9994;0.0006;0;0;0;0;0;0;0
6302150;SUNGAI DURIAN;0.9659;0.0062;0;0;0.002;0;0.0028;0.0231;0
6302160;KELUMPANG TENGAH;0.7369;0.0033;0;0.0252;0;0;0.039;0.1956;0
6302161;KELUMPANG BARAT;0.8838;0.0022;0;0.0044;0;0;0.0082;0.1014;0
6302170;KELUMPANG UTARA;0.8604;0.0162;0;0.1024;0;0;0.0199;0.0012;0
6302180;PAMUKAN SELATAN;0.7115;0.0061;0;0.098;0.0182;0.0151;0.025;0.1261;0
6302190;SAMPANAHAN;0.7029;0.0024;0;0.0148;0;0;0.0279;0.252;0
6302200;PAMUKAN UTARA;0.9544;0;0;0.0273;0.0023;0;0.0004;0.0156;0
6302201;PAMUKAN BARAT;0.9967;0;0;0;0.0033;0;0;0;0
6303010;ALUH - ALUH;0.0404;0.0248;0.022;0;0.7346;0.0097;0.1686;0;0
6303011;BERUNTUNG BARU;0.0381;0.0146;0.0785;0.0353;0.644;0.1605;0.0289;0;0
6303020;GAMBUT;0.144;0;0.062;0.1233;0.6072;0.0325;0.0029;0;0.0281
6303030;KERTAK HANYAR;0;0;0;0.054;0.645;0.1552;0;0;0.1458
6303031;TATAH MAKMUR;0.0273;0.0486;0.0229;0;0.8352;0.05;0;0;0.016
6303040;SUNGAI TABUK;0.3236;0;0.0088;0.0481;0.374;0.2164;0.0067;0;0.0223
6303050;MARTAPURA;0.4123;0;0;0.1877;0.0782;0.1032;0;0;0.2187
6303051;MARTAPURA TIMUR;0.3013;0;0;0.0279;0.391;0.2353;0;0;0.0445
6303052;MARTAPURA BARAT;0.0486;0.0109;0.0473;0.2547;0.346;0.2923;0;0;0.0003
6303060;ASTAMBUL;0.5552;0.0053;0.0073;0.0943;0.2859;0.0519;0;0;0
6303070;KARANG INTAN;0.9489;0.0054;0;0.0303;0.0126;0.0001;0.0028;0;0
6303080;ARANIO;0.9414;0;0;0.001;0;0;0.0576;0;0
6303090;SUNGAI PINANG;0.9935;0.0065;0;0;0;0;0;0;0
6303091;PARAMASAN;0.9981;0;0;0.0019;0;0;0;0;0
6303100;PENGARON;0.9955;0.0045;0;0;0;0;0;0;0
6303101;SAMBUNG MAKMUR;0.9872;0.0128;0;0;0;0;0;0;0
6303110;MATARAMAN;0.7675;0.0247;0.031;0.1536;0.0232;0;0;0;0
6303120;SIMPANG EMPAT;0.7911;0.0266;0;0.034;0.0763;0.0721;0;0;0
6303121;TELAGA BAUNTUNG;0.9782;0.0218;0;0;0;0;0;0;0
6303122;CINTAPURI DARUSSALAM;0.4166;0.0274;0.1228;0.1834;0.0778;0.1719;0;0;0
6304010;TABUNGANEN;0.1117;0.0569;0.0086;0.0366;0.4675;0.0551;0.164;0.0996;0
6304020;TAMBAN;0.447;0;0.0291;0.0983;0.3849;0;0.0405;0;0.0002
6304030;MEKAR SARI;0.2925;0;0.0217;0.1174;0.5399;0.0285;0;0;0
6304040;ANJIR PASAR;0.1892;0;0.0001;0.0109;0.673;0.1176;0;0;0.0092
6304050;ANJIR MUARA;0.2405;0;0.0337;0.0006;0.6725;0.0037;0.049;0;0
