idkec;nmkec;Trees;Grass;Crops;Shrub and Scrub;Built Area;Water;Flooded Vegetation;Bare Ground;Cloud
6303100;PENGARON;0.914;0.04;0.0114;0.0309;0.0038;0;0;0;0
6303101;SAMBUNG MAKMUR;0.9126;0;0.0359;0.0354;0.0001;0.0159;0;0;0
6303110;MATARAMAN;0.6138;0.1111;0.1504;0.0798;0.0084;0.0029;0.0295;0.0042;0
6303122;CINTAPURI DARUSSALAM;0.1726;0.1063;0.4168;0.0957;0.0046;0.0064;0.193;0.0046;0
6303120;SIMPANG EMPAT;0.7354;0.0527;0.0536;0.0107;0.0068;0.005;0.1288;0.0069;0
6303121;TELAGA BAUNTUNG;0.9782;0;0;0;0.0109;0;0;0.0109;0
6311010;LAMPIHONG;0.8431;0.0179;0.0418;0.0374;0.0068;0;0.053;0;0
6311020;BATU MANDI;0.8199;0.0088;0.1476;0.0091;0.0145;0;0;0;0
6311031;TEBING TINGGI;1;0;0;0;0;0;0;0;0
6311030;AWAYAN;0.9067;0;0.0772;0;0.0081;0.0081;0;0;0
6311040;PARINGIN;0.6236;0;0.0066;0.2098;0.0319;0.0209;0.0531;0.0541;0
6311041;PARINGIN SELATAN;0.8754;0.0148;0.0593;0.0111;0.0245;0;0.0148;0;0
6311050;JUAI;0.8217;0;0.0147;0.0844;0.0083;0.0133;0.0132;0.0445;0
6311060;HALONG;0.9956;0;0.002;0;0.0024;0;0;0;0
6301010;PANYIPATAN;0.578;0.0626;0.0636;0.217;0.0077;0.0204;0.0507;0;0
6301020;TAKISUNG;0.4859;0.0575;0.137;0.1267;0.0871;0.0553;0.0504;0;0
6304100;BARAMBAI;0.2116;0.0677;0.4818;0.1644;0.0278;0.0192;0.0275;0;0
6301030;KURAU;0.1904;0.0323;0.6409;0.008;0.0086;0.0884;0.0314;0;0
6301031;BUMI MAKMUR;0.1049;0.0778;0.61;0.0764;0;0.0191;0.1117;0;0
6304110;RANTAU BADAUH;0.1757;0.0346;0.6516;0.0674;0.0076;0.0141;0.049;0;0
6301040;BATI-BATI;0.4596;0.0392;0.161;0.1688;0.0724;0;0.099;0;0
6304120;CERBON;0.2426;0.0087;0.6233;0.0147;0.0327;0.0316;0.0464;0;0
6301050;TAMBANG ULANG;0.5766;0.0596;0.1382;0.1162;0.0232;0;0.0861;0;0
6304130;BAKUMPAI;0.253;0.0546;0.2807;0.2052;0.0132;0.0612;0.132;0;0
6301061;BAJUIN;0.8787;0.0038;0.045;0.0188;0.031;0;0.0227;0;0
6301060;PELAIHARI;0.6297;0.0244;0.1701;0.0834;0.0782;0;0.0141;0;0
6304140;MARABAHAN;0.3196;0.1079;0.4843;0.0418;0.0301;0.0084;0.0078;0;0
6301070;BATU AMPAR;0.9175;0.0049;0.032;0.0049;0.0198;0;0.0099;0;0.0109
6304150;TABUKAN;0.3759;0.0684;0.3437;0.0803;0.006;0.0471;0.0786;0;0
6301080;JORONG;0.6571;0.0182;0.1255;0.1252;0.0173;0.0157;0.0356;0.0039;0.0015
6304160;KURIPAN;0.3035;0.0414;0.3207;0.1253;0.0144;0.1201;0.0746;0;0
6301090;KINTAP;0.8189;0.0106;0.0381;0.0592;0.017;0.0188;0.0147;0.0228;0
6309010;BANUA LAWAS;0.6777;0.0131;0.2318;0.0322;0.0124;0.0132;0.0197;0;0
6309020;PUGAAN;0.3367;0;0.1515;0;0.0359;0.0494;0.4266;0;0
6309030;KELUA;0.5425;0;0.2312;0;0.11;0.0083;0.1081;0;0
6309040;MUARA HARUS;0.6574;0;0.1344;0.0001;0.0715;0;0.1365;0;0
6309050;TANTA;0.909;0;0.03;0.0211;0.0144;0.0069;0.0001;0.0185;0
6309060;TANJUNG;0.9404;0.0054;0.0171;0.0054;0.0317;0;0;0;0
6309070;MURUNG PUDAK;0.6291;0;0.0058;0.1837;0.1322;0.0103;0.0274;0.0116;0
6309081;BINTANG ARA;0.9992;0;0;0.0008;0;0;0;0;0
6309080;HARUAI;0.9111;0;0.0056;0.0658;0.0122;0;0.0046;0.0007;0
6309090;UPAU;0.9626;0;0.0024;0.0111;0.009;0.0054;0;0.0095;0
6306010;PADANG BATUNG;0.8711;0;0.0809;0.0126;0.0255;0;0;0.0099;0
6306020;LOKSADO;0.9974;0;0;0;0;0;0;0;0.0026
6306030;TELAGA LANGSAT;0.7025;0;0.2557;0;0.0419;0;0;0;0
6307010;HARUYAN;0.6796;0;0.2692;0.0055;0.0368;0;0.0088;0;0
6307020;BATU BENAWA;0.5393;0;0.348;0;0.1127;0;0;0;0
6307030;HANTAKAN;1;0;0;0;0;0;0;0;0
6307041;BATANG ALAI TIMUR;0.9917;0;0;0;0;0;0;0;0.0083
6307040;BATANG ALAI SELATAN;0.5218;0;0.4133;0;0.0648;0;0;0;0
6307050;BARABAI;0.0137;0;0.7137;0;0.2725;0;0;0;0
6307060;LABUAN AMAS SELATAN;0.2132;0.0118;0.6351;0.016;0.0489;0;0.075;0;0
6307070;LABUAN AMAS UTARA;0.097;0.0512;0.2125;0.0012;0.054;0.0418;0.5422;0;0
6307080;PANDAWAN;0.1343;0;0.5035;0.0526;0.0499;0.0646;0.1951;0;0
6307090;BATANG ALAI UTARA;0.5096;0;0.4214;0.0125;0.0565;0;0;0;0
6307091;LIMPASU;0.7454;0;0.2546;0;0;0;0;0;0
6302121;KELUMPANG HILIR;0.7858;0.0469;0.0372;0.0227;0.0358;0.0182;0.0511;0.0023;0
6302120;KELUMPANG SELATAN;0.7182;0.0477;0.021;0.0089;0.0082;0.1066;0.0893;0;0
6302130;KELUMPANG HULU;0.9655;0.0092;0.0006;0.0159;0;0.0078;0;0.001;0
6302140;HAMPANG;0.9504;0.023;0.0066;0.0168;0;0;0.0025;0;0.0006
6302150;SUNGAI DURIAN;0.9679;0.0146;0.0053;0.0073;0.0025;0.0012;0;0.0012;0
6302161;KELUMPANG BARAT;0.9736;0;0;0.0135;0;0.0129;0;0;0
6302160;KELUMPANG TENGAH;0.9012;0.0172;0.0199;0.0067;0.0052;0.0498;0;0;0
6302170;KELUMPANG UTARA;0.9237;0.0187;0.0236;0.002;0;0.0181;0;0.014;0
6302180;PAMUKAN SELATAN;0.6898;0.0841;0.0897;0.0311;0.0116;0.0573;0.0334;0.003;0
6302190;SAMPANAHAN;0.9333;0.0148;0.0002;0.0016;0.0024;0.0437;0.004;0;0
6308011;PAMINGGIR;0.0371;0.0637;0.0102;0.0528;0;0.0133;0.8229;0;0
6308010;DANAU PANGGANG;0.2601;0.0462;0;0.0479;0.015;0.0035;0.6272;0;0
6308020;BABIRIK;0.1997;0.0476;0.0383;0;0.0643;0.1142;0.5358;0;0
6308031;SUNGAI TABUKAN;0;0;0.0536;0;0.15;0.1869;0.6096;0;0
6308030;SUNGAI PANDAN;0;0;0.1334;0;0.1322;0.3146;0.4198;0;0
6308040;AMUNTAI SELATAN;0.5773;0;0.0199;0.0331;0.0447;0.0346;0.2905;0;0
6308050;AMUNTAI TENGAH;0.3296;0;0.064;0.0046;0.1098;0.0911;0.4008;0;0
6302200;PAMUKAN UTARA;0.916;0.0257;0.0235;0.0267;0.0048;0.0032;0;0;0
6302201;PAMUKAN BARAT;0.9778;0.0024;0.0073;0.0051;0.0073;0;0;0;0
6308060;BANJANG;0.423;0.0197;0.2828;0.01;0.0166;0.0164;0.2315;0;0
6308071;HAUR GADING;0.3198;0;0.1267;0;0.1025;0.1848;0.2661;0;0
6308070;AMUNTAI UTARA;0.1567;0;0.158;0;0.1182;0.1673;0.3998;0;0
6304010;TABUNGANEN;0.0824;0;0.5058;0.011;0.0212;0.1492;0.2304;0;0
