idkec;nmkec;Trees;Crops;Shrub and Scrub;Built Area;Cloud;Water;Grass;Flooded Vegetation;Bare Ground
1601052;LENGKITI;0.9419;0.0011;0.0535;0.0011;0.0023;0;0;0;0
1601070;SOSOH BUAY RAYAP;0.9335;0.009;0.055;0.0014;0;0.001;0;0;0
1601080;PENGANDONAN;0.9815;0.0126;0;0.0058;0;0;0;0;0
1601081;SEMIDANG AJI;0.9611;0.0192;0.0047;0.0075;0;0;0.0075;0;0
1601082;ULU OGAN;0.9136;0.0074;0.0633;0;0.0157;0;0;0;0
1601083;MUARA JAYA;0.9786;0.0122;0.0085;0.0007;0;0;0;0;0
1601090;PENINJAUAN;0.8814;0.0001;0.0962;0.0099;0;0.0099;0;0.0025;0
1601091;LUBUK BATANG;0.9591;0.0102;0.0251;0.0019;0;0.0019;0.0019;0;0
1601092;SINAR PENINJAUAN;0.8336;0.0014;0.0751;0.072;0;0;0.0001;0.0178;0
1601093;KEDATON PENINJAUAN RAYA;0.9313;0.0088;0.0379;0.0047;0;0.0047;0.0126;0;0
1601130;BATU RAJA TIMUR;0.7735;0.0045;0.0414;0.1691;0;0.0046;0.0069;0;0
1601131;LUBUK RAJA;0.9285;0;0.0579;0.0136;0;0;0;0;0
1601140;BATU RAJA BARAT;0.9559;0.0204;0.001;0.0218;0;0.001;0;0;0
1602010;LEMPUING;0.4945;0.429;0.0034;0.0647;0;0;0.0051;0.0034;0
1602011;LEMPUING JAYA;0.5195;0.3216;0.0427;0.0413;0;0.002;0.0201;0.0529;0
1602020;MESUJI;0.851;0.1033;0.0263;0.0125;0;0;0.0069;0;0
1602021;SUNGAI MENANG;0.5819;0.2196;0.0601;0.0022;0.001;0.0641;0.0465;0.0241;0.0005
1602022;MESUJI MAKMUR;0.8735;0.0274;0.0505;0.0391;0;0;0.0096;0;0
1602023;MESUJI RAYA;0.6895;0.2268;0.0397;0.0166;0.0019;0;0.0125;0.0131;0
1602030;TULUNG SELAPAN;0.6459;0.2448;0.0301;0.0018;0;0.016;0.048;0.0134;0
1602031;CENGAL;0.7675;0.0969;0.0593;0.0015;0;0.0204;0.0405;0.0136;0.0004
1602040;PEDAMARAN;0.5281;0.2089;0.1019;0.0221;0;0.0258;0.032;0.0811;0
1602041;PEDAMARAN TIMUR;0.7104;0.2166;0.0482;0.0089;0;0;0.01;0.0059;0
1602050;TANJUNG LUBUK;0.7558;0.0538;0.1298;0.0092;0;0;0.0378;0.0136;0
1602051;TELUK GELAM;0.8257;0.0993;0.0269;0.0122;0;0.0239;0;0.012;0
1602060;KOTA KAYU AGUNG;0.2302;0.392;0.0737;0.0616;0;0.0308;0.0347;0.1771;0
1602120;SIRAH PULAU PADANG;0.2584;0.1466;0.013;0.0267;0;0.0417;0;0.5135;0
1602121;JEJAWI;0.2259;0.1692;0.0405;0.0085;0;0.0819;0.0166;0.4574;0
1602130;PAMPANGAN;0.4166;0.1934;0.0649;0.0021;0;0.0298;0.0047;0.2885;0
1602131;PANGKALAN LAPAM;0.7247;0.1491;0.0577;0.0018;0;0.0076;0.0198;0.0393;0
1602140;AIR SUGIHAN;0.6266;0.2346;0.0688;0.0149;0;0.009;0.0343;0.0118;0
1603010;SEMENDO DARAT LAUT;0.9275;0.0407;0.0277;0.0041;0;0;0;0;0
1603011;SEMENDO DARAT ULU;0.8676;0.0703;0.0307;0.0018;0;0;0.0296;0;0
1603012;SEMENDO DARAT TENGAH;0.8135;0.1339;0.0437;0.0014;0;0;0.0074;0;0
1603020;TANJUNG AGUNG;0.9469;0.0141;0.0261;0.0068;0;0.0034;0;0;0.0026
1603021;PANANG ENIM;0.9928;0.0013;0.0014;0.0045;0;0;0;0;0
1603031;RAMBANG;0.9486;0.0147;0.0173;0.0134;0;0;0.0059;0;0
1603032;LUBAI;0.9813;0.0009;0.0111;0.0064;0.0003;0;0;0;0
