Kecamatan,MNDWI,NDWI,BUI,NDBI,NDTI,UI,VIBI,ARVI,EVI,GNDVI,LAI,NDVI,SAVI,SIPI,residential_x,secondary_x,service_x,tertiary_x,track_x,unclassified_x,living_street_x,footway_x,path_x,motorway_x,motorway_link_x,services_x,trunk_x,trunk_link_x,primary_x,proposed_x,construction_x,secondary_link_x,primary_link_x,tertiary_link_x,pedestrian_x,raceway_x,cycleway_x,steps_x,corridor_x,road_x,residential_y,secondary_y,service_y,tertiary_y,track_y,unclassified_y,living_street_y,footway_y,path_y,motorway_y,motorway_link_y,services_y,trunk_y,trunk_link_y,primary_y,proposed_y,construction_y,secondary_link_y,primary_link_y,tertiary_link_y,pedestrian_y,raceway_y,cycleway_y,steps_y,corridor_y,road_y,sum,min,max,mean_x,median,std,CO_column_number_density,H2O_column_number_density,NO2_column_number_density,SO2_column_number_density,geo_id,rwi_weight,LST_Day_1km,mean_y,Trees_x,Grassland_x,Cropland_x,Built-up_x,Shrubland_x,Barren Sparse Vegetation_x,Open Water_x,Herbaceous Wetland_x,Mangroves_x,Trees_y,Grassland_y,Cropland_y,Built-up_y,Shrubland_y,Barren Sparse Vegetation_y,Open Water_y,Herbaceous Wetland_y,Mangroves_y,Trees_x,Crops_x,Shrub and Scrub_x,Built Area_x,Cloud_x,Water_x,Grass_x,Flooded Vegetation_x,Bare Ground_x,Trees_y,Crops_y,Shrub and Scrub_y,Built Area_y,Cloud_y,Water_y,Grass_y,Flooded Vegetation_y,Bare Ground_y
1601052,-0.045463773,-0.275277715,1570.308996,-0.241490988,0.252669116,75.85090119,0.758400204,0.255530923,0.444780463,0.275277715,1.491215714,0.332673952,0.498949896,0.791873978,106,3,64,6,134,26,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,18908.176,30047.105,47388.318,15601.426,135760.32,62511.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1200.661987,0.119704612,0.883132398,0.295802411,0.290701926,0.05323245,0.028073455,3557.709905,4.29e-05,3.3e-05,1601052,-0.402265259,28.76156638,42.65036313,854.1334,7.6446,1.9812,0.0,0.0,0.0,0.0,0.0,0.0,0.9889,0.0089,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,813.8003,0.9906,46.2487,0.9906,1.9814,0.0,0.0,0.0,0.0,0.9419,0.0011,0.0535,0.0011,0.0023,0.0,0.0,0.0,0.0
1601070,-0.054763109,-0.276792448,1524.516978,-0.233089975,0.261850937,76.69100238,0.76684852,0.260166107,0.44517233,0.276792448,1.49263349,0.338416857,0.507561767,0.762241534,152,8,14,19,35,4,2,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,32339.765,27267.761,9944.621,15166.914,34889.928,10470.393,254.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,384.3987732,0.197122395,2.529824257,0.371041287,0.333499998,0.158591834,0.028785884,3697.313068,4.46e-05,2.47e-05,1601070,0.248560131,29.8015261,42.44494727,216.5522,2.6807,0.9907,0.6683,0.0,0.0,0.0,0.0,0.0,0.9804,0.0121,0.0045,0.003,0.0,0.0,0.0,0.0,0.0,205.9849,1.9813,12.1447,0.3186,0.0,0.2292,0.0,0.0,0.0,0.9335,0.009,0.055,0.0014,0.0,0.001,0.0,0.0,0.0
1601080,-0.042367181,-0.285117255,1447.45127,-0.254176634,0.255822215,74.58233696,0.745738246,0.264689144,0.462761221,0.285117255,1.556270098,0.344750601,0.517062619,0.791716924,33,0,6,2,3,19,0,0,0,0.0,0.0,0.0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,,5289.812,0.0,941.131,38799.525,707.013,37482.763,0.0,0.0,0.0,0.0,0.0,0.0,29001.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,229.0083008,0.224454686,1.377472639,0.345412218,0.314278871,0.122287467,0.028594161,3603.418472,4.39e-05,2.58e-05,1601080,-0.095856872,28.7157307,45.57738051,137.8564,0.0,2.2071,0.0,0.0,0.0,0.0,0.0,0.0,0.9842,0.0,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,137.4873,1.7719,0.0,0.816,0.0,0.0,0.0,0.0,0.0,0.9815,0.0126,0.0,0.0058,0.0,0.0,0.0,0.0,0.0
1601081,-0.04771585,-0.291251939,1399.508836,-0.255208673,0.261695043,74.47913262,0.744688853,0.270406194,0.480875138,0.291251939,1.62180625,0.352650208,0.528912318,0.7683314,161,0,61,0,103,173,15,0,1,0.0,0.0,0.0,8,0,0,0.0,0,0,0,0,0,0,0,0,0,,61979.125,0.0,62635.578,0.0,61777.818,156181.394,1807.986,0.0,518.724,0.0,0.0,0.0,30971.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,666.1699219,0.179562598,1.235320449,0.357771172,0.323500305,0.123853035,0.028866768,3715.844132,4.47e-05,1.96e-05,1601081,-0.225955847,29.09792053,44.40995022,396.3671,0.0,0.9909,0.0,0.0,0.0,0.0,0.0,0.0,0.9975,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,381.9227,7.6285,1.8848,2.9726,0.0,0.0,2.9728,0.0,0.0,0.9611,0.0192,0.0047,0.0075,0.0,0.0,0.0075,0.0,0.0
1601082,-0.014501353,-0.245655307,1862.606019,-0.241921519,0.227809264,75.8078482,0.757978701,0.220848664,0.384969073,0.245655307,1.274818107,0.288925541,0.433335221,0.790672165,31,0,6,2,6,29,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,6526.803,0.0,6559.303,39709.623,9780.193,51983.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,430.98526,0.11804796,8.40124321,0.345064259,0.280658811,0.521744557,0.025660257,2826.725582,4.13e-05,4e-05,1601082,-0.531250807,25.58713928,45.70338788,265.6603,2.6457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.1666,1.9816,16.9931,0.0,4.2113,0.0,0.0,0.0,0.0,0.9136,0.0074,0.0633,0.0,0.0157,0.0,0.0,0.0,0.0
1601083,-0.015067502,-0.255507855,1757.942565,-0.251581899,0.242976625,74.84181024,0.748307357,0.234224037,0.409738634,0.255507855,1.364434377,0.304109649,0.456108795,0.807362725,39,0,3,0,2,6,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,7732.762,0.0,319.872,0.0,432.945,5582.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,344.6652527,0.167889774,0.884153366,0.28414283,0.277292132,0.058733192,0.027085528,3198.158225,4.33e-05,4.54e-05,1601083,-0.249205392,27.19234155,45.777247,258.7941,0.0,0.7577,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,253.9798,3.1747,2.1952,0.1749,0.0,0.0,0.0,0.0,0.0,0.9786,0.0122,0.0085,0.0007,0.0,0.0,0.0,0.0,0.0
1601090,-0.027099093,-0.252172155,1644.688954,-0.233960687,0.249857877,76.60393138,0.765799749,0.232129853,0.419911511,0.252172155,1.401239845,0.303464526,0.455141011,0.744001242,359,0,36,7,149,317,0,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,101093.777,0.0,32063.35,46330.397,51545.555,321693.799,0.0,0.0,98.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2032.721436,0.268429697,208.2788086,1.087598414,0.455206335,8.365627043,0.029451649,3824.974007,4.5e-05,-3.77e-06,1601090,-0.178661144,29.73757431,43.21974193,399.2323,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.8108,0.0272,38.3968,3.9644,0.0,3.9643,0.0,0.9911,0.0,0.8814,0.0001,0.0962,0.0099,0.0,0.0099,0.0,0.0025,0.0
1601091,-0.032728842,-0.26668369,1543.119658,-0.243243485,0.253134512,75.67565154,0.756680049,0.24690561,0.451313379,0.26668369,1.514851805,0.323487762,0.485173756,0.795941398,293,0,143,18,455,164,2,0,0,0.0,0.0,0.0,0,0,16,0.0,0,0,1,0,0,0,0,0,0,,88543.06,0.0,127724.831,45774.93,238338.508,154981.41,292.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34064.803,0.0,0.0,0.0,42.157,0.0,0.0,0.0,0.0,0.0,0.0,,1222.709717,0.228555873,21.77705765,0.491245366,0.389908284,0.727727287,0.029027856,3835.40865,4.49e-05,1.53e-05,1601091,-0.29372529,29.51717574,43.21702922,530.2114,0.9909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.7788,5.4325,13.3564,0.9909,0.0,0.9909,0.9911,0.0,0.0,0.9591,0.0102,0.0251,0.0019,0.0,0.0019,0.0019,0.0,0.0
1601092,-0.035352694,-0.240810985,1665.883325,-0.212941792,0.241457593,78.70582071,0.786959635,0.221324237,0.39215528,0.240810985,1.300817803,0.29055286,0.435774526,0.71799583,220,0,0,0,1,23,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,105018.041,0.0,0.0,0.0,1260.832,78221.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,390.2130737,0.346774012,2.112905264,0.605920922,0.502080381,0.268708487,0.029707568,3769.189253,4.51e-05,1.13e-05,1601092,-0.454515016,29.87141822,42.92636703,133.3777,0.0,4.2477,0.0,0.0,0.0,0.0,0.0,0.0,0.9691,0.0,0.0309,0.0,0.0,0.0,0.0,0.0,0.0,114.8049,0.1982,10.3375,9.9104,0.0,0.0,0.0194,2.4483,0.0,0.8336,0.0014,0.0751,0.072,0.0,0.0,0.0001,0.0178,0.0
1601093,-0.010685576,-0.249185946,1529.510851,-0.246743077,0.246551135,75.32569246,0.75306577,0.23354701,0.404684854,0.249185946,1.346149803,0.304222395,0.456275117,0.738255518,65,0,3,1,0,80,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,17355.388,0.0,12918.753,16095.594,0.0,156627.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,395.8300781,0.253653765,0.959547162,0.397419757,0.378920317,0.085508148,0.029829967,3884.100928,4.49e-05,5.96e-06,1601093,-0.512111541,29.701702,42.89313218,211.6952,0.0,0.4197,0.0,0.0,0.0,0.9911,0.0,0.0,0.9934,0.0,0.002,0.0,0.0,0.0,0.0047,0.0,0.0,198.4454,1.881,8.0806,0.9911,0.0,0.9911,2.6935,0.0,0.0,0.9313,0.0088,0.0379,0.0047,0.0,0.0047,0.0126,0.0,0.0
