;Provinsi;Kecamatan;Rata2 Kapita;SE;VAR;CI LOWER;CI UPPER;RSE;DEFF
1;16;1601052;650167.7759;97823.69976;9569476234;45843684.75;84189870.42;15.04591636;3.828686495
2;16;1601070;663019.5011;31499.6881;992230350.4;60128124.69;72475775.53;4.750944437;0.247503402
3;16;1601080;751243.2082;17023.34037;289794117.4;71787807.42;78460834.22;2.266022532;0.055053042
4;16;1601081;801639.5374;122577.7619;15025307706;56139153.88;104188753.6;15.29088277;3.532055367
5;16;1601082;914264.9892;244991.7823;60020973411;43408991.93;139444005.9;26.79658362;2.449377163
6;16;1601083;533493.2711;4629.276223;21430198.35;52442005.65;54256648.58;0.867729074;0.022074862
7;16;1601090;1046412.937;169039.1324;28574228274;71510232.58;137772354.9;16.15415161;2.562938158
8;16;1601091;910940.184;118755.6759;14102910561;67818333.62;114369703.2;13.03660526;2.906973563
9;16;1601092;1240636.405;179585.3529;32250898984;88865558.13;159261722.9;14.47526061;3.334787547
10;16;1601093;875128.4878;193586.9085;37475891151;49570511.93;125455185.6;22.1209698;4.756872233
11;16;1601130;1386903.539;103257.5238;10662116212;118452251.2;158928456.7;7.445184241;1.788082514
12;16;1601131;1070170.872;117107.1598;13714086877;84064505.68;129969668.8;10.94284687;2.196764336
13;16;1601140;1170048.718;184775.4832;34141979209;80789542.59;153220201.1;15.79211877;2.244368248
14;16;1602010;822889.2898;55857.76388;3120089786;71341008.44;93236849.53;6.788004726;0.862914197
15;16;1602011;1125861.257;88272.57925;7792048247;95285018.1;129887233.3;7.840449139;2.860640155
16;16;1602020;1077821.234;91189.16404;8315463638;89909375.64;125654871.1;8.460509144;1.699927342
17;16;1602021;899343.5604;29586.91031;875385261.7;84135428.18;95733283.9;3.289834009;0.077995769
18;16;1602022;1211118.49;93599.79404;8760921443;102766626.4;139457071.5;7.728376277;1.262908025
19;16;1602023;1190753.523;160843.5905;25870660604;87550587.82;150600116.7;13.50771486;2.163321458
